,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.37447648890246876,0.37447648890246876,0.02542667656294409,0.02542667656294409
16,sett_cutoff,sett_stratify_split,,,,,,,,0.2688542589548418,0.7264890923905865,0.04125926646466011,0.047817699177975716
0,sett_cutoff,,,,,,,,,0.08315834453327584,0.08315834453327584,0.011653332342036233,0.011653332342036233
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.009700480337404675,0.7506607144453106,0.007744125767964017,0.0476519235808554
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.00836788975411457,0.7476158038886966,0.004027086456894856,0.0490839794258149
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.006384969477138654,0.09364391612289705,0.003969584062071975,0.011176804803322136
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.006213514513665676,0.7425299532475083,0.003973445379448484,0.04820247590525746
2,sett_exclude_features,,,,,,,,,0.005057996182478477,0.005057996182478477,0.002712818183723986,0.002712818183723986
12,sett_cutoff,sett_model,,,,,,,,0.00501562995577641,0.0902974719665153,0.0036816816089716444,0.011019933663064701
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0046780808688109245,0.38311474288254477,0.002746516399832497,0.025039627775456996
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.004549986632269432,0.7411743933218672,0.003154031384074051,0.045492472557299275
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0043921583150949035,0.7844606909110926,0.002859348572996752,0.04757779304281325
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.004120567763919678,0.0912390854084606,0.0014663019571352761,0.012359164951141581
6,sett_preprocess_income,,,,,,,,,0.004100602112482547,0.004100602112482547,0.0031984959258759805,0.0031984959258759805
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0040996951433633685,0.7750532601043456,0.001776776097558461,0.04540807232980424
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.003985570127698369,0.3825626611426497,0.002766220119192279,0.024420165374729186
3,sett_exclude_subgroups,,,,,,,,,0.003960173111265066,0.003960173111265066,0.002434743685691257,0.002434743685691257
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0038950330162719265,0.779819930429845,0.0022254908108965436,0.05207237539301735
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.0035988115992816685,0.10759780835907838,0.0023466019050728047,0.012737862656395265
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.003554402850461695,0.7757352877404806,0.00265413575250199,0.04343019107654954
36,sett_model,sett_preprocess_income,,,,,,,,0.003215953203660202,0.0094400527936058,0.002704776459140612,0.004606336890363586
