,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.36071076784942047,0.36071076784942047,0.02293690148205443,0.02293690148205443
16,sett_cutoff,sett_stratify_split,,,,,,,,0.29940909119996495,0.7605245223583195,0.03572147217467039,0.04816264977001508
0,sett_cutoff,,,,,,,,,0.10040466330893404,0.10040466330893404,0.01721465028460445,0.01721465028460445
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007925289314855387,0.7782964060669758,0.006215233095048892,0.046667027341822195
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.006826159673714127,0.7806084017326909,0.0037764057499103322,0.04099718635613078
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.006714391758718022,0.7805651291465816,0.0033876053836392377,0.046916935353318104
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.005711830679738648,0.7732027322352006,0.005429268787583436,0.04992792894115259
10,sett_cutoff,sett_exclude_features,,,,,,,,0.005575578032341078,0.11139607635282947,0.004670951176883404,0.01590934634861019
2,sett_exclude_features,,,,,,,,,0.005415835011554371,0.005415835011554371,0.00485906313236489,0.00485906313236489
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.00531670748210511,0.11016738414889024,0.005594734077022115,0.018070110558817135
12,sett_cutoff,sett_model,,,,,,,,0.005063421100795352,0.10724550392788625,0.003709073751569923,0.015913432334289084
3,sett_exclude_subgroups,,,,,,,,,0.0044460133578511024,0.0044460133578511024,0.003966823697315075,0.003966823697315075
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.0036786373215744505,0.810864835568465,0.0029498315128918978,0.04155236105495657
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0035634941895879204,0.3687202753968595,0.001669207431560921,0.023971453348535388
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0034179702898500344,0.8107152314410815,0.0017054857357717184,0.03910505893794748
25,sett_exclude_features,sett_model,,,,,,,,0.0033298725379400816,0.010523127067651315,0.0033025933402746144,0.007808856028626336
38,sett_model,sett_stratify_split,,,,,,,,0.003005753774848817,0.3654939411424261,0.0027183961201325355,0.021865331702555443
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.002976059558133238,0.12454284906785501,0.002605719602521961,0.018018375094064516
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.002752913365185723,0.8072402827642509,0.0024231024303864998,0.03956672746897564
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.0027168841156549814,0.766692915022785,0.0021717023025307493,0.04973125185003912
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0026763238280235607,0.8008667690406239,0.0024103793178603407,0.048554173087670655
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0026736653544405867,0.10514926098480373,0.0022958105041223174,0.01614207580454162
171,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,0.002663480255334993,0.7935407169950144,0.0027873699191180165,0.05027270756363615
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.002652186043949884,0.800240967673693,0.0017659351744826453,0.04217386599051007
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0026465736774585477,0.7992601289017012,0.002790994019969919,0.04758628732578738
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.0025956751535415627,0.12578032927016378,0.0012819004356286463,0.017635400683888292
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.002590596724988342,0.14724481148479668,0.002499341956148568,0.017664089407712396
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.002499980709469915,0.37900593605815236,0.002460744218120162,0.023644784156767424
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.0023431591636648656,0.11632061077561148,0.002087081988053939,0.014109391231168791
161,sett_cutoff,sett_exclude_features,sett_preprocess_age,sett_stratify_split,,,,,,0.0023175614440712443,0.7924917582943157,0.0028033878630394954,0.042459129922688486
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.002266306656761855,0.3683929095177367,0.0016652613498662659,0.023304626763297486
