,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3722633807444541,0.3722633807444541,0.0067707275330681806,0.0067707275330681806
16,sett_cutoff,sett_stratify_split,,,,,,,,0.307822613616019,0.7626087511838296,0.009572324813147893,0.012561536963123131
0,sett_cutoff,,,,,,,,,0.08252275682335658,0.08252275682335658,0.004691394669254417,0.004691394669254417
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.009744666687363755,0.7805382778243873,0.0020020329108410063,0.012369909837711001
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0051671501383441475,0.09091326615898708,0.0013526032709687832,0.004410578584748033
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.004916073610925378,0.10455440539452479,0.0014568371957727833,0.00598245168804912
12,sett_cutoff,sett_model,,,,,,,,0.004465355848227311,0.08775329784196151,0.001121426574811696,0.00536598946248724
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.004275282942282828,0.801978618729914,0.0017196056053779495,0.012478586287256933
2,sett_exclude_features,,,,,,,,,0.004224518273007208,0.004224518273007208,0.0009814039332368299,0.0009814039332368299
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004159563343986969,0.8088605752002342,0.0012710927460221437,0.012700514262184465
25,sett_exclude_features,sett_model,,,,,,,,0.0035394765797040597,0.0085291800230889,0.001110461273116657,0.001810971181910639
36,sett_model,sett_preprocess_income,,,,,,,,0.003494524606007401,0.00748306897367139,0.0013362883602007316,0.0017947691411326601
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0034697311467799933,0.7763749878267616,0.0014795548541342042,0.011377007006392159
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0033971116706489933,0.1215245717829629,0.0016678640797517042,0.008490095906840295
6,sett_preprocess_income,,,,,,,,,0.003223359197286357,0.003223359197286357,0.0011958793808329036,0.0011958793808329036
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0031643365238185955,0.09885238798053603,0.0015499050120881647,0.004946556973843565
38,sett_model,sett_stratify_split,,,,,,,,0.002954318934588995,0.3759828848494208,0.000822113233864976,0.0066353596962333995
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0029520311846659344,0.7957471424807594,0.0008635839888373377,0.013233027309767286
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0028098989307941383,0.7706724328846282,0.0007337507579015028,0.012679394960621874
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0025876577716113162,0.38823809384121477,0.0009098633243886893,0.0067877369550321184
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0025402676697229383,0.7884426620226686,0.0008634861417457365,0.011202593299180906
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.002473713299621306,0.8317929409990514,0.0007545779061364836,0.012613550708421508
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0023361933681733415,0.0159636584604137,0.0010206110803547505,0.0038871862955943124
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0023056949684492154,0.008289412227680244,0.001001385807105238,0.0020804292832007614
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0022158867211976214,0.772022550574905,0.000600707966251921,0.011761716378521124
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.002187051243756915,0.83912178150654,0.0007088089809693492,0.011809715337123246
7,sett_scale,,,,,,,,,0.002170974663500141,0.002170974663500141,0.0008191711808512308,0.0008191711808512308
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0020869261042936868,0.832573035201796,0.0006774839726873834,0.013956006713608932
37,sett_model,sett_scale,,,,,,,,0.002009609658799852,0.004945769492677625,0.0007750391628885488,0.0013499676175412834
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0019858991719950525,0.386592663985231,0.000726533266007784,0.0068372241220544085
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0019671999837136745,0.7884241588975922,0.0008107239487236648,0.011790277440671149
42,sett_preprocess_income,sett_scale,,,,,,,,0.0019638117962689733,0.007358145657055471,0.0009049278291241918,0.002347186780697673
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0019059961605215007,0.377392736102262,0.00081264059001626,0.006446437982518426
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0019035563674714507,0.37839145538493274,0.0006996636262301134,0.006416125913147856
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.001901415237419554,0.08618337104699995,0.0005139400306508568,0.004617014111483501
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0018835126770147404,0.3859330305629815,0.0008507624488747152,0.007030793047219658
3,sett_exclude_subgroups,,,,,,,,,0.001759198986223821,0.001759198986223821,0.0008534902860250234,0.0008534902860250234
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.0016269544317781826,0.09541037674963358,0.0007202592337946026,0.0047060888597978
