,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.37633905458823597,0.37633905458823597,0.013584835090793466,0.013584835090793466
16,sett_cutoff,sett_stratify_split,,,,,,,,0.29695186516379635,0.7548891457578317,0.015950187904844322,0.025105447079341408
0,sett_cutoff,,,,,,,,,0.0815982260057994,0.0815982260057994,0.005560004822426879,0.005560004822426879
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.006612833358726096,0.7674726951515338,0.0013508492128253226,0.02510601250644618
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005799300214074439,0.0904013192362598,0.0013361744018953253,0.005151275360304387
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.004916362777941087,0.7910444611769543,0.002455871617017142,0.02800795922362095
2,sett_exclude_features,,,,,,,,,0.004846467591296903,0.004846467591296903,0.0014534667089125882,0.0014534667089125882
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.004497854364534974,0.10140643088632309,0.0017160155722662877,0.005526765673749522
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.003818954098143178,0.7691635240552515,0.0016649058450974403,0.023301567181265137
25,sett_exclude_features,sett_model,,,,,,,,0.0036089211198139137,0.009272886291566744,0.0019182863848857055,0.0028137808570410055
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0034915159504095464,0.7949034377544317,0.0013235283866266324,0.022203660525560453
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0034693955727683958,0.11972994728775627,0.0012236132818301004,0.007289356113196555
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.003455560106897715,0.0998705842049434,0.0018123250086748142,0.005426972004318703
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0034158287272810796,0.764823362462076,0.0011610186675765051,0.025518856003887973
36,sett_model,sett_preprocess_income,,,,,,,,0.003057038874456761,0.006878329471298656,0.0009787057340751274,0.0017085231066354882
7,sett_scale,,,,,,,,,0.003015839235829553,0.003015839235829553,0.0010635742815234717,0.0010635742815234717
3,sett_exclude_subgroups,,,,,,,,,0.0030146333619490567,0.0030146333619490567,0.0006703498069069601,0.0006703498069069601
6,sett_preprocess_income,,,,,,,,,0.003003793016385967,0.003003793016385967,0.0012871716316262194,0.0012871716316262194
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.002839096157383562,0.7837894243862169,0.0009994793127887107,0.0275195388399331
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.002772108632706177,0.783858584491921,0.0008839860956776339,0.026175216601028017
12,sett_cutoff,sett_model,,,,,,,,0.0026327208306156135,0.08504844441687094,0.0010827740822621607,0.005938150456829239
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.002564836165468414,0.7654794800757706,0.000595951984090996,0.02582691753564604
38,sett_model,sett_stratify_split,,,,,,,,0.0025204976239044186,0.3796770497925963,0.0011316003249517992,0.013414273317467054
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0024946018499023255,0.010355702803148285,0.0011098101294703608,0.0023039670411702092
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0024683447907362143,0.01623297729785155,0.0009276072435831957,0.003675203881733286
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.002467864191002718,0.3926188841549682,0.001218654515169564,0.013983496447198245
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.002348814803823055,0.8219040654881085,0.0008816828014009645,0.03151515027603368
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0021099551160768722,0.3895001677683321,0.0006636881289179666,0.012846495503684588
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0021032241926651736,0.8230484317119997,0.0007939629572230512,0.020495624793374412
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0020269105072478577,0.7833120049018024,0.0009376151937763781,0.022091198374893175
42,sett_preprocess_income,sett_scale,,,,,,,,0.0020191293906751417,0.008038761642890663,0.001020492018559729,0.0026375087178964972
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0020185814602583442,0.38320410363979124,0.0007477447702397198,0.014134459589373441
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0019882836187238126,0.0966525658476208,0.00106607940341709,0.007200428516774086
37,sett_model,sett_scale,,,,,,,,0.001851334409311984,0.005684671225597465,0.0009277240820444639,0.0013995582146964986
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.001847874373343543,0.8258692827265475,0.0006480308182612341,0.023723724605030402
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0017824440770696903,0.08639530344481816,0.000660315273116848,0.00546540431986639
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0017690559687111925,0.7830379695206505,0.0009019151048372729,0.022810489410290583
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.001721310537944535,0.38107499848812953,0.0007294339557546618,0.013701328074867576
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0016663358926467223,0.819293799888773,0.0008653592315491163,0.022387129862273075
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0016523309688161515,0.3809951785734381,0.0007301122156215439,0.013384475015698732
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0015953285214612574,0.39202997791104843,0.0006461731103716863,0.014893960737041172
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0014939013422041033,0.8087737011108573,0.0005766206703780304,0.023276470938128627
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.0014598586832923757,0.7830605024263131,0.000767621640605919,0.023029487254684976
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0014523035469127927,0.4065422114410048,0.0006130770118629407,0.015366203329745294
