,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.36779367799177304,0.36779367799177304,0.011418678464244738,0.011418678464244738
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3050277764502318,0.7579164048765659,0.01667302066086082,0.018798807586986196
0,sett_cutoff,,,,,,,,,0.08509495043456099,0.08509495043456099,0.004533606439348712,0.004533606439348712
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.008466281273331763,0.773986794545668,0.0019026155338621692,0.01843081778565166
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.005891110364515751,0.7985541781811538,0.0027568793392933246,0.017620826460723594
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0058855412006215135,0.0942836040900657,0.0014957383238813878,0.0050645193065479086
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.004348426871985422,0.10711657527861672,0.0013547436807736393,0.0071858125399062375
25,sett_exclude_features,sett_model,,,,,,,,0.004064040927161111,0.009238061104840047,0.001689916478225108,0.001963076971816415
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.003917539950257387,0.7726211812602323,0.0016152038977106657,0.018562241997199865
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0038513611770043038,0.8022232225661721,0.0013131230498624972,0.019372688329222273
12,sett_cutoff,sett_model,,,,,,,,0.003668347418464441,0.09035609791498603,0.000853081513184916,0.005150150822751987
2,sett_exclude_features,,,,,,,,,0.0035812201157183277,0.0035812201157183277,0.00042996218544025195,0.00042996218544025195
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0033258535149614616,0.7901730020694192,0.0013981189483593419,0.01558415425248525
6,sett_preprocess_income,,,,,,,,,0.0033031124548832014,0.0033031124548832014,0.0009325087959363939,0.0009325087959363939
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0033004084594304072,0.12197732748222825,0.0012065240869033346,0.009905342223051363
36,sett_model,sett_preprocess_income,,,,,,,,0.0032233968361405534,0.008119309352984362,0.0013254071931732682,0.00197296843334898
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0031727421810769495,0.7682872829053975,0.0015318993375630942,0.01793601781436875
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0030571946575142337,0.8308561676105848,0.0013466273077443445,0.014423626571347251
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0029247127889195637,0.7857863165499419,0.0013813337065100597,0.014845839201253107
3,sett_exclude_subgroups,,,,,,,,,0.0029172050201854475,0.0029172050201854475,0.000895547052230248,0.000895547052230248
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.002468314051052281,0.38387480075662694,0.0009585271398514343,0.010812034553353176
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0023597125659846102,0.10094286612470689,0.0011959105652008452,0.006453751296794328
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.002359593851272505,0.3730704768632309,0.0013105847822068827,0.010991052787726895
38,sett_model,sett_stratify_split,,,,,,,,0.002342960915345227,0.37172943896907884,0.0009485872994487649,0.010964311281373186
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0023123258517582152,0.015765483636762848,0.0008307648756974653,0.0035364750298228316
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0022331507865168505,0.008731575922420624,0.0009095000447974998,0.0016413665367905673
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0021491593688414364,0.383065793827924,0.0007480197195724849,0.010630746447154104
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0021084667517075498,0.38196299778971443,0.0008397655165893748,0.010915078905461744
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.002094337913232415,0.8351631983983088,0.0005413922153613034,0.018828844304257214
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0020317866936164046,0.3734066848011077,0.0005763195995191919,0.011411779998277492
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.002004675867436351,0.8274250822745979,0.0007048465543539012,0.015564901166999538
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0020011158389199213,0.7666502626007403,0.0007902232614976513,0.01733044776951727
7,sett_scale,,,,,,,,,0.0019820253744222997,0.0019820253744222997,0.0006653934393417368,0.0006653934393417368
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0019243211807108266,0.8234884030910813,0.0009510113868665491,0.022180551900404945
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0019190088998635776,0.7858071815228866,0.0007511394335893878,0.01690696412065175
42,sett_preprocess_income,sett_scale,,,,,,,,0.0018695353730508646,0.007154673202356366,0.0008074463854101608,0.0015966931847205064
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0018081825434516589,0.8126365081191522,0.0008318805191102932,0.013786477499106975
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0017730402639250555,0.10135952826021054,0.0008366353288558909,0.005082602524912596
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0017445757332362325,0.39947761338857657,0.0007635505968595986,0.00989262030214485
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.0017444632448855,0.7867147274341055,0.000686503213701075,0.01789181744352822
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0016716742190284295,0.3799073255273864,0.0007872538714437447,0.010144082302706034
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.001606995937779157,0.8843143139647776,0.0006304131649584535,0.011215296114672832
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0015985827779043053,0.3726953732245605,0.0005323536189019062,0.011460893983550107
4,sett_model,,,,,,,,,0.0015928000619606089,0.0015928000619606089,0.0005326493066132067,0.0005326493066132067
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0015851290384200094,0.09026129958869931,0.0005679210381600633,0.004459472771461516
37,sett_model,sett_scale,,,,,,,,0.0014822876845471066,0.0050571131209300145,0.0006163241983228808,0.0014389774376889206
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.0014581529760920257,0.09832575138529023,0.00036268663872375035,0.0045574772514812975
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.001455943013796591,0.089468098468543,0.0004702587791745887,0.004544608010884564
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0012980401850474946,0.016915870564411017,0.0005942028703103931,0.004003285028989286
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.0012507954095117189,0.11442763771694767,0.00040017376693117566,0.00626668862974129
30,sett_exclude_subgroups,sett_model,,,,,,,,0.0012294134678211771,0.005739418549967233,0.0006307293036036868,0.0016620750732115569
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0012254085977658226,0.09718406801455506,0.0003646115024534958,0.005313408071067077
321,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0012069488154212986,0.8125917461620388,0.00041477086931057173,0.019824458960150955
171,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,0.0011961079639522102,0.771717430499286,0.0009576458056597845,0.01612598204272004
317,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0011703396108743594,0.7964018405542697,0.0005459913367353903,0.015813213552630177
182,sett_cutoff,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.0011636876862059775,0.777711447232024,0.0005289290542970464,0.018606863782185814
65,sett_cutoff,sett_model,sett_scale,,,,,,,0.0011064681732345998,0.09537486786837346,0.0005085686307735841,0.005348571935135999
234,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0010694557631486974,0.39686717444538655,0.0003175439581989065,0.011153851103900337
117,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,,0.0010693910976934833,0.37957815490731284,0.0004892371268313092,0.010969640618679569
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0010329387457859462,0.11695557035650879,0.0003443790340017644,0.007112369310054634
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0010122358821893062,0.7815898405918247,0.0004967556420981727,0.019077452212412735
244,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0010115513413579591,0.39327276219228857,0.00041274323146285873,0.009952680525244251
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.0010044200174427515,0.12076331971913636,0.00037849896094307767,0.006649132330173371
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.0009649565970450711,0.778873139258022,0.0004030033004433161,0.01853373300107441
302,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0009476969020852648,0.8076941519156138,0.0003961881621871542,0.017770825823366185
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0009271508273219351,0.10012049466497053,0.0005225940911093039,0.004963423413653459
180,sett_cutoff,sett_model,sett_scale,sett_stratify_split,,,,,,0.0009070107533068786,0.781321541469752,0.0005823950917989693,0.018958540498097663
284,sett_cutoff,sett_encode_categorical,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0008922884405137941,0.8085351427932536,0.000631748842272341,0.020165967406319853
364,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0008838885145443451,0.4182827005957085,0.0004130275175400729,0.0097480168894546
291,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.000881550409120947,0.13951825674545437,0.00034519688385644857,0.006209091336364839
312,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0008793599630600797,0.7999589032287193,0.0004101977285807785,0.01422600708812603
148,sett_cutoff,sett_encode_categorical,sett_preprocess_income,sett_stratify_split,,,,,,0.0008713219828652106,0.775346317003735,0.0005621189029697085,0.018626188314949395
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.0008700193219840649,0.7602636419400547,0.0005124428943910678,0.018672816693471456
296,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,0.0008630718264330424,0.7949750261406897,0.0003887737844005133,0.013100022582132501
228,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.00085860436533042,0.39208763318986073,0.0004434208585360796,0.010799523861845042
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.0008559093879058513,0.11143914889502521,0.00038659577381248126,0.0043649208084713875
253,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0008521421202897039,0.39165160749568345,0.0004115138150355963,0.011301489970521989
161,sett_cutoff,sett_exclude_features,sett_preprocess_age,sett_stratify_split,,,,,,0.000840310764350406,0.7724903982129865,0.0005113936746238305,0.01777785155956193
143,sett_cutoff,sett_encode_categorical,sett_model,sett_stratify_split,,,,,,0.0008341937137321026,0.7763049766520984,0.0007125192922981026,0.018786268518271886
107,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,,0.0008210211800889928,0.37951602878108515,0.00028238463020306394,0.011666019175805595
315,sett_cutoff,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,0.0007924094269167928,0.8015888318935364,0.0004954318219599746,0.01617598522487971
427,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0007913064792784772,0.8535225921557712,0.0002769641001749992,0.019108393852515525
423,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0007879458184432593,0.8313052272750626,0.000427468073219879,0.012639961266700474
418,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,0.0007835168194613806,0.8491621866535066,0.00031463966763077783,0.012904671923831282
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.0007705561529661371,0.10060713696427108,0.00033733494797871203,0.004719395460288557
307,sett_cutoff,sett_exclude_features,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0007415150905936611,0.7954755673025191,0.0002861495232120533,0.018019638974525864
432,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0007218587106916176,0.8474229743027692,0.0002185357232762388,0.014477061785927883
421,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,0.000697816766799515,0.8490377005840841,0.0004732732526379893,0.017197908022035455
169,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,,,,,,0.0006927956992031508,0.10399807445052693,0.0003093112283625261,0.005160828017476999
174,sett_cutoff,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,,0.0006559086401114494,0.7721684231258887,0.0002879525025445935,0.017229390953351433
299,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,0.0006382541305817175,0.7948862670617984,0.0003546385006575823,0.014628348660417942
67,sett_cutoff,sett_preprocess_age,sett_preprocess_income,,,,,,,0.0006330137168603257,0.09623525836401986,0.0003685794860974864,0.004992587118851977
319,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.000632317528762961,0.7984275838543451,0.00025590867173028517,0.01703984626694538
115,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,,0.0006261676104593502,0.3749667046763564,0.00041947154343579683,0.01079533626221008
175,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,,0.0006209115045830761,0.11104602630657637,0.00022878237673606549,0.007431432292218088
251,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.0005942233332918718,0.38571356659098244,0.0001952583422649771,0.01099777972411507
126,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,,0.0005933007392116991,0.37454013400552855,0.00028396994138327837,0.011489385849836902
434,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,0.0005893184120114748,0.8557437254517727,0.00028943179273672114,0.017795708948960348
247,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.0005858523627031844,0.3833420371401317,0.0002769434052077484,0.010973179142174478
395,sett_cutoff,sett_encode_categorical,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0005810496923575513,0.845919397587931,0.00029605755614719927,0.020249646734964714
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.0005796326867254511,0.09236153063356413,0.00040206079599277927,0.005463855375970289
13,sett_cutoff,sett_preprocess_age,,,,,,,,0.0005787844657733705,0.08606056422562994,0.0003417505755741726,0.004600862687551712
232,sett_exclude_features,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.0005599307196612733,0.3873008576624382,0.0002542718362482017,0.01047314891930718
151,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,,,,,,0.0005509159168994901,0.10170265356124407,0.00024612098962245414,0.004609296456280096
155,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,0.0005460736065270726,0.10487104754316721,0.0003265199642754432,0.005503513097237555
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.0005365917136008676,0.006756909188669516,0.0002610944129856008,0.0012665247260326496
121,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,,0.0005343321243110911,0.3736223906099051,0.00026464792023985547,0.010785632541857814
59,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.0005260283337106998,0.09133136752025728,0.0003066337058662623,0.004682420928448248
294,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,,,,,0.0005218878632668384,0.11834049694404356,0.0003187886989752285,0.004868357581349831
487,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,0.0005203247718547617,0.9201938970805887,0.00015790972287073944,0.008415125608231964
72,sett_cutoff,sett_scale,sett_stratify_split,,,,,,,0.0005184250829000162,0.7613438282195224,0.0002332352971403487,0.018926401641698825
110,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,,0.0005143436916142809,0.013316863246206137,0.00020121595883651833,0.0025328885415604675
41,sett_preprocess_age,sett_stratify_split,,,,,,,,0.0005116039504358478,0.36869211126750445,0.00023471668602432317,0.01129376257402277
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.0005071301435083654,0.005406360538116113,0.0003262905316790606,0.0012675758275002868
226,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,0.0005049219055489302,0.3864428223414106,0.0003106840374740742,0.010285580367870542
305,sett_cutoff,sett_exclude_features,sett_model,sett_scale,sett_stratify_split,,,,,0.000503187963685432,0.8087720604705204,0.0002971556297475442,0.018748837562631907
165,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,,0.0005007458193416475,0.10088824362617499,0.00017331447756944098,0.00573960884750929
367,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0005007454552655808,0.3988230100992524,0.00041702292829647833,0.011003125282259068
242,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.0004991780164324419,0.3835975915350939,0.00027422068216613704,0.009748442340363227
118,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,,,0.0004981473068996234,0.3765367638525121,0.0003283280327616149,0.010876407783674791
221,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0004904345888964975,0.02629999597976721,0.00019907748010532358,0.0037630954108568006
49,sett_cutoff,sett_encode_categorical,sett_preprocess_income,,,,,,,0.0004890710456283056,0.09517255742502803,0.0003534745959918544,0.0049737340903643346
290,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,0.0004879741215487477,0.12130840307355457,0.0001647860611953559,0.006723966080077113
97,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,,0.00048783980621782796,0.012166718790713486,0.00038113475509551215,0.002650626759848244
310,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,0.00048541282034481373,0.1243788116506313,0.00022124671913658047,0.007579732454201151
100,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,,0.0004817103577853272,0.016632908320750046,0.00021188612033481663,0.0022858511945413004
44,sett_scale,sett_stratify_split,,,,,,,,0.0004789841644508387,0.37025468753064616,0.00032647918407737,0.011365515593196282
429,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,0.0004779577113507845,0.861485260170062,0.00018236981377661745,0.021504754493306088
278,sett_cutoff,sett_encode_categorical,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.00047575839993818246,0.7905140561787922,0.00029792141204182566,0.0168355706425443
214,sett_encode_categorical,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0004752755827322424,0.38404188271933093,0.0003667019457613642,0.011355080085960076
164,sett_cutoff,sett_exclude_features,sett_scale,sett_stratify_split,,,,,,0.00047430697756778233,0.7732898514458189,0.0002508489445089869,0.017971063102395372
92,sett_encode_categorical,sett_preprocess_income,sett_stratify_split,,,,,,,0.00047246249192726497,0.37356274729106037,0.00022745881849806234,0.011580568209151395
425,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_scale,sett_stratify_split,,,,0.00046900626232807154,0.8310094021976941,0.0002496000408147086,0.012309528341531055
229,sett_exclude_features,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,,0.0004665979270718801,0.3883734795106778,0.0003565862705530442,0.01086731274804667
35,sett_model,sett_preprocess_age,,,,,,,,0.0004601862407836924,0.0024398156280398832,0.00032678279406741487,0.0008844792195513329
139,sett_cutoff,sett_encode_categorical,sett_exclude_subgroups,sett_stratify_split,,,,,,0.00046018032026497933,0.7683037080892545,0.0002646482381797134,0.017249976856843752
28,sett_exclude_features,sett_scale,,,,,,,,0.0004581475441443675,0.006021393034284995,0.00041986571373906644,0.001155893560862652
376,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.00045671392796858124,0.40048005050468266,0.00023413671866939097,0.00995487001403904
300,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,0.0004527173909439053,0.12756397918536277,0.00020050937804445409,0.006982039495214104
268,sett_cutoff,sett_encode_categorical,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,0.00045130842559225294,0.7914231077888365,0.0002210457078577078,0.01813359541583361
309,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.00044963923975097195,0.7982827044689463,0.00015941837479665702,0.01798031714716764
15,sett_cutoff,sett_scale,,,,,,,,0.00044798872118341997,0.0875249645301667,0.00023444215463730512,0.00472579863141782
96,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.00044790820533455324,0.013405815863340165,0.0002971530234331485,0.001664959873422485
362,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.00044447512946426955,0.4062819948384424,0.0002628632556374717,0.009077577064658681
405,sett_cutoff,sett_encode_categorical,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.00044209286740863596,0.8377951755545769,0.0002472478695883378,0.016889283004730287
61,sett_cutoff,sett_exclude_subgroups,sett_scale,,,,,,,0.0004295510916724353,0.09283479379932955,0.0001871741783785301,0.0048500263497143845
108,sett_exclude_features,sett_scale,sett_stratify_split,,,,,,,0.0004288134160385893,0.37675465530016383,0.00038413813416710675,0.01146740547685854
371,sett_exclude_features,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.00042712076692954414,0.4034920750065037,0.0001440844836520518,0.010996700450900114
263,sett_cutoff,sett_encode_categorical,sett_exclude_features,sett_model,sett_stratify_split,,,,,0.00042426268913337635,0.802798728604428,0.00014101799382420436,0.018254035227094383
245,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,,0.00041918156698039365,0.3860645464070678,0.00027942313371105834,0.010006090008444515
141,sett_cutoff,sett_encode_categorical,sett_model,sett_preprocess_income,,,,,,0.00041586307986724513,0.10910023977201347,0.0003167364537864061,0.007173297869661842
153,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,0.000413952925371962,0.10326626425152491,0.00027209289095820634,0.005601667003098719
365,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,0.0004125339539965099,0.40883299507065346,0.0003218008266042584,0.01117822597488425
237,sett_exclude_features,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.00041217692880035736,0.382652619435763,0.00019025024955807564,0.011770333696524105
