,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.36514583580473103,0.36514583580473103,0.009341044774249527,0.009341044774249527
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3031162606610578,0.7466461621848124,0.009898555698133095,0.01749341463465391
0,sett_cutoff,,,,,,,,,0.07838406571902357,0.07838406571902357,0.0036521669095704594,0.0036521669095704594
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.0073750743866873225,0.7621424064877447,0.0020391115995182455,0.016461262546641976
2,sett_exclude_features,,,,,,,,,0.005782360757018996,0.005782360757018996,0.0015224524836236417,0.0015224524836236417
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005344658136262094,0.10047679353009767,0.0019483786764583782,0.005615102563910935
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.004868042995483723,0.7590957225429986,0.0017657696169592794,0.016220485203733676
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004550617301063952,0.0854615913452237,0.0013078200863650064,0.0036643048025387518
36,sett_model,sett_preprocess_income,,,,,,,,0.004526079572831833,0.008175309561179653,0.0013464231636486834,0.00148763140001538
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.004343971187822696,0.7867853833215522,0.0017655841684207094,0.014315510261082222
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.004226896960991932,0.7597907960996884,0.00236924870371969,0.016832350574333903
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.004078434816148991,0.7844661276300207,0.0014704900455523185,0.015053415494464498
25,sett_exclude_features,sett_model,,,,,,,,0.004064179568545396,0.010968861988776037,0.0020817993592199633,0.002505137050477023
12,sett_cutoff,sett_model,,,,,,,,0.004022142812568398,0.08352853019480362,0.0013941269516381481,0.0036588201626768482
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0039766709115664645,0.7910251790085912,0.0015159234264005958,0.018887773656080586
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0036320021288992602,0.8296907818458565,0.001298187375506001,0.01320839073768525
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.003443073986156113,0.012667054524545213,0.001015173688163288,0.003218032210462785
3,sett_exclude_subgroups,,,,,,,,,0.0034416197813701035,0.0034416197813701035,0.0013059641516730946,0.0013059641516730946
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.003166782522487412,0.11374041939361103,0.0021391096499613093,0.00821363124462406
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.003161637281404283,0.7825667140715862,0.001248715718229972,0.014088365330062946
38,sett_model,sett_stratify_split,,,,,,,,0.002976705440464956,0.36924486290840763,0.0006343300608089354,0.008946637026714976
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.002930684028721528,0.385388816328446,0.0013449821496406625,0.008630898898468355
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0028446590705691905,0.7584948295650253,0.0012966034817191259,0.016319864397436643
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0027373527780772474,0.38415843055319754,0.001174970095453215,0.008187679310973766
6,sett_preprocess_income,,,,,,,,,0.002526908325136176,0.002526908325136176,0.0007625106705069012,0.0007625106705069012
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.002329674541148255,0.37325787110289826,0.0010178608279114475,0.009080074587285275
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.002315567429300002,0.3709030230154011,0.001165517311740376,0.008605466441164706
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0022500406666586554,0.01500949045981643,0.0013713734197080048,0.002828702215208806
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0022442083210037125,0.823086324039153,0.0008620813084823912,0.017643186241255254
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.00222305115192854,0.3792190733361278,0.0008461641997216563,0.008094061385096293
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0021991677688548883,0.8120360789680894,0.0009344221658997689,0.020521778041043114
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0021474031737560564,0.824417713814634,0.0009851709919744792,0.01785193993523968
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.002140483738175647,0.7768673022027638,0.0010315957071024054,0.015359235667025689
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.00211335831524256,0.40423873317152026,0.000775144451815309,0.00927527265623372
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.002086928852092581,0.09585435225917038,0.0007698990411249721,0.005160543986420349
30,sett_exclude_subgroups,sett_model,,,,,,,,0.00199397206512149,0.006557913509703238,0.0009212898772178645,0.001902179797653692
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0018907299853101096,0.38002879211936963,0.001088213340405774,0.009981257536663702
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0018790409654481125,0.8082619811267974,0.0010500862556807127,0.013485255819373168
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0018759486130813985,0.8857525134438369,0.0007940503353967135,0.01807832547480046
