,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.37128056347735305,0.37128056347735305,0.010764545031447451,0.010764545031447451
16,sett_cutoff,sett_stratify_split,,,,,,,,0.30101918132820094,0.7417776486980611,0.014667616305988701,0.01452541288291987
0,sett_cutoff,,,,,,,,,0.06947790389250705,0.06947790389250705,0.004776728582197662,0.004776728582197662
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.0065003560591359675,0.7547636241691988,0.0008729888441642922,0.014970811995227831
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.00512848458563696,0.08916879211580143,0.0014156210682500225,0.006040758780302111
2,sett_exclude_features,,,,,,,,,0.0050947049529998165,0.0050947049529998165,0.0012796781111497184,0.0012796781111497184
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.004622886822828892,0.7559046742557316,0.001964827069940055,0.013655340598273107
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004181311297050608,0.07700204639582163,0.0012816276230274545,0.005072503424375
25,sett_exclude_features,sett_model,,,,,,,,0.004156746159749092,0.00979093039750172,0.001657579693554528,0.002487246857010711
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004062736986555237,0.7832801320870821,0.0013591788660972637,0.015475125615423866
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.003845597337103379,0.7529437635310565,0.0014861350704227986,0.013590853580687937
3,sett_exclude_subgroups,,,,,,,,,0.003565200753561866,0.003565200753561866,0.001048124821299573,0.001048124821299573
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.0035145633450609287,0.7780517347478493,0.0015224133723416777,0.016070948537223146
6,sett_preprocess_income,,,,,,,,,0.0033428312062639756,0.0033428312062639756,0.0011607012957445917,0.0011607012957445917
36,sett_model,sett_preprocess_income,,,,,,,,0.003282801018500525,0.007165111509517312,0.0012709485725613879,0.0017728638566840186
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.003253735098104598,0.7527353713278664,0.0011183588954589052,0.015169585000898817
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.003237699908944411,0.7743496978576341,0.0012112223420914178,0.015122073072589464
12,sett_cutoff,sett_model,,,,,,,,0.0032159808310895143,0.07323336400834936,0.0007926504878672296,0.0048690914296133795
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0031860900138578727,0.3886123162096712,0.001350981842560465,0.010413027692210848
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0031697217363506943,0.7734218097864509,0.0009591256731940101,0.013345540111801954
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0031579080985281666,0.10404861598041829,0.0015625207081797611,0.009901318488212353
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0031419352715434576,0.8155581791402977,0.0009663704124458946,0.01519698884479002
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0029071764472998027,0.011567082153861485,0.0007764832766761413,0.002244880950658256
38,sett_model,sett_stratify_split,,,,,,,,0.002730159296159601,0.37455020205826545,0.0008892152573407627,0.010771576051825415
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0023860547233859855,0.08381409866381664,0.001190230994380828,0.006060075365669357
7,sett_scale,,,,,,,,,0.0023390948496607228,0.0023390948496607228,0.0008931707731324361,0.0008931707731324361
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0023231752271251223,0.38863560797450014,0.0006021834750586111,0.011634577223925522
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.002177908932813106,0.8113217714680692,0.0009370058089261868,0.012920465294415902
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.002157776723735788,0.8066458754905201,0.001013166686080815,0.018643028044244763
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.00211888334196439,0.7715776693779892,0.0009825712734288312,0.011860082811627598
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0020379901365962416,0.015027821601726755,0.0008804070598377203,0.003800545312830221
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.00203425518639679,0.8014972756618846,0.0009385542539949172,0.013728587489430972
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.0019801601134026834,0.08592495836464202,0.0008268071392144829,0.003199728181624966
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0019799962315271485,0.37660339091514416,0.000629902535191551,0.010647502659561688
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0019369783491522345,0.4056750386299342,0.0006780226273915745,0.011169623878843564
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.001915459769519923,0.38507129028407705,0.0006845603288569668,0.011100044134263333
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0019151026509686884,0.07495820729703759,0.0006335698048297612,0.004124922678519164
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0018879659525690281,0.8152284602256047,0.0008221845652648983,0.01600810304533654
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.0018877039519362966,0.7710072604809651,0.0007878226666353939,0.014155798367922566
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.001840214091361549,0.37668597832227646,0.0006178185849121935,0.011160856159535142
42,sett_preprocess_income,sett_scale,,,,,,,,0.0017835212878055252,0.007465447343730224,0.0007519147333832078,0.0017752437742105057
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0017141388438853473,0.8707632170967567,0.0005902106419710688,0.014499418746006602
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.0017139513316827204,0.10133456841665317,0.0005142855886260936,0.004899920482765458
37,sett_model,sett_scale,,,,,,,,0.0017021038181469542,0.004580677952560489,0.0007601808303176322,0.0014162987488763486
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0016245730247989405,0.37799984145515175,0.0008116177501683708,0.010919550921943277
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0016190671593918505,0.38283841232890536,0.000435333456582016,0.011140331231369986
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0016071821260459484,0.019134217990734052,0.0008063072192340316,0.0036671311636931004
180,sett_cutoff,sett_model,sett_scale,sett_stratify_split,,,,,,0.001598618136592004,0.7639861004321337,0.0008844485690248866,0.01605465357132954
421,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,0.0015186308322276895,0.8458590790887011,0.0008048613592817065,0.016777218690891722
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.00147298843017703,0.08494251310517743,0.0007809754425160139,0.004928165985313829
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0014395536221893169,0.08141694930139395,0.00044090327508677576,0.004215588410156061
174,sett_cutoff,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,,0.0013856471015876602,0.7606185153895927,0.0007245465142052553,0.01371925152017715
315,sett_cutoff,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,0.0013643153717825913,0.7899354278080848,0.0005416823357830939,0.013950745192287563
312,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0013427694691690276,0.7837817487050937,0.0005332519821522454,0.012321428409608648
321,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.00133351262443962,0.7939168303723962,0.0008192800855848839,0.015740857419626556
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.0012674548296666165,0.10406913465107143,0.0009336463820227176,0.006160202664326614
30,sett_exclude_subgroups,sett_model,,,,,,,,0.001263728266324714,0.005368408304639392,0.0003764121757502229,0.0012134207430121663
182,sett_cutoff,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.0012407034342762386,0.7605488085659222,0.0007670607209182197,0.013087623878793841
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.0012343604270003213,0.7595815377295838,0.00042138426099306035,0.014903154506927937
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0012265367947904625,0.7656622266579975,0.0005900256608382626,0.013611513449303845
305,sett_cutoff,sett_exclude_features,sett_model,sett_scale,sett_stratify_split,,,,,0.0012137000273367,0.793226128473664,0.000590834987457345,0.017923281090675057
65,sett_cutoff,sett_model,sett_scale,,,,,,,0.0011697695433504614,0.07874771362665028,0.0005814767183955168,0.0057102310453577
299,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,0.001153426727940322,0.7886044339397567,0.0006313282109638368,0.01638636449029582
302,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0011357711111272231,0.7874597190429611,0.0006173480410787401,0.016422937660633963
