,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3791759153121288,0.3791759153121288,0.008811678541931434,0.008811678541931434
16,sett_cutoff,sett_stratify_split,,,,,,,,0.30100034510677487,0.7616563353982804,0.011642033660934725,0.014166944288832011
0,sett_cutoff,,,,,,,,,0.0814800749793767,0.0814800749793767,0.0033151412161679383,0.0033151412161679383
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.005410089896004139,0.773236906734914,0.0013078201157733526,0.014387297356259132
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.00515630617102531,0.7962665584037979,0.00281997723088428,0.01393859686905631
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0050667444420948405,0.7776589291011194,0.001959514937647731,0.01407487962200887
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005036880525073307,0.10203928316669304,0.002093162146605237,0.006553352650579352
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005010369428609947,0.09056441590459104,0.0018808198290084018,0.0037806183637810378
2,sett_exclude_features,,,,,,,,,0.004423421811872403,0.004423421811872403,0.0009481535083177431,0.0009481535083177431
6,sett_preprocess_income,,,,,,,,,0.004073971496604389,0.004073971496604389,0.001474531104025625,0.001474531104025625
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.003549469237666914,0.8026004062942786,0.001369887586659008,0.01735666323145119
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0033082607634787207,0.11848624854807571,0.0017996764057442818,0.011332623297588674
25,sett_exclude_features,sett_model,,,,,,,,0.003260415358103159,0.008180896710595527,0.0014330181674441949,0.0016637024653470864
12,sett_cutoff,sett_model,,,,,,,,0.003126322911134044,0.08510345743113072,0.0011717996299143235,0.0036272343092322843
36,sett_model,sett_preprocess_income,,,,,,,,0.0028146042852746902,0.007385635322499043,0.0009122792950744923,0.0017934279846375317
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0027864009594116474,0.7724270544734877,0.0011823205724217957,0.013363374093139386
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0027839187241050717,0.7698458083862987,0.001231656335459513,0.013829827248567156
3,sett_exclude_subgroups,,,,,,,,,0.002740979127031257,0.002740979127031257,0.0006758714226777597,0.0006758714226777597
38,sett_model,sett_stratify_split,,,,,,,,0.0025470989888754436,0.38222007384162426,0.0007722576507177083,0.00869808138158112
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0025407661884432192,0.01697163550433608,0.0014736962295945845,0.005122118200256536
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.002509212837652346,0.39417122223843615,0.0010367499888571717,0.007860033514354934
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.002500635767211043,0.7885268594048512,0.0009607520548474241,0.01257267852324372
7,sett_scale,,,,,,,,,0.002468819824354062,0.002468819824354062,0.0010426549316406044,0.0010426549316406044
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.002316777286232193,0.8250022501299913,0.0008711292588977829,0.0143922771426701
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0023157736383522514,0.7878126024222187,0.0007089114924084874,0.014078216701317247
42,sett_preprocess_income,sett_scale,,,,,,,,0.0023034564859171765,0.008846247806875627,0.0013810204960588027,0.0028084903560522995
37,sett_model,sett_scale,,,,,,,,0.0022729576831225784,0.0052388370480966045,0.0010280716335384372,0.0017804627521551845
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0022507415252781948,0.009415142464181856,0.0009222014551282995,0.0013947482887820663
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0022438425889685556,0.7904193054977706,0.0014503616875037079,0.012066011227400357
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.002156608322694868,0.09805456108044694,0.0012092504369388972,0.005478728602760997
