,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.36496524351160897,0.36496524351160897,0.009742170245930012,0.009742170245930012
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3097502217342794,0.7579103925985671,0.009815926715077918,0.01571752925252129
0,sett_cutoff,,,,,,,,,0.0831949273526788,0.0831949273526788,0.0052578766073600285,0.0052578766073600285
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.00787472783128318,0.7735401282443326,0.0016041239147264923,0.015462667172774062
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0062479714532462215,0.09145852136845024,0.0016869968704090127,0.004380883446196932
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.006227946943165145,0.797994237210162,0.0020206879253604456,0.017415088997361536
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005338711860530877,0.10582517858377449,0.0019236788362643148,0.004839090903589563
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.003976985665727048,0.7722079059751861,0.0014180234229062803,0.014910428264699373
36,sett_model,sett_preprocess_income,,,,,,,,0.003906411209001639,0.007485390451928427,0.00172294080666709,0.0022724375325280373
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.00370265753974465,0.8027373304318659,0.0010825107159338281,0.013683615307081693
2,sett_exclude_features,,,,,,,,,0.0036165118305308787,0.0036165118305308787,0.0007620228294688365,0.0007620228294688365
12,sett_cutoff,sett_model,,,,,,,,0.0035581774653901835,0.08831646149847056,0.000848823518867944,0.00553432115754887
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0034511043258603183,0.8313825957619911,0.0011813716115642485,0.015347570728978051
25,sett_exclude_features,sett_model,,,,,,,,0.0034356010186547036,0.00861546952958715,0.001395573666234987,0.002034133303796
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0033027730341919173,0.7870359592375686,0.001655673979626688,0.014399773691158172
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.003291841922456289,0.7675724947074207,0.0009264116632406649,0.01491644871792484
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0031456436418971787,0.7679893171998304,0.0010570557095139264,0.016181031037451218
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.003019391705693928,0.12173455358420393,0.0013572718623167583,0.008549227410332193
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.003016732530849406,0.7900220494680881,0.0008318891900508933,0.014294293010332021
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0027118765645711275,0.09956177714101079,0.0019262933723603439,0.005707961910321007
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.002704406762304535,0.3806427276430785,0.000891029842103019,0.009856390945382739
38,sett_model,sett_stratify_split,,,,,,,,0.002633473668690476,0.36916207386070105,0.000827377201967326,0.00974488855253792
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0025280492901468767,0.008625434406865109,0.0008807720118624555,0.001837316993806392
3,sett_exclude_subgroups,,,,,,,,,0.0024808732861873544,0.0024808732861873544,0.0007437708536337987,0.0007437708536337987
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0024424483676717115,0.8358632616194959,0.001278275966019199,0.015001342545066335
42,sett_preprocess_income,sett_scale,,,,,,,,0.0023492559403027946,0.006592641952389575,0.0012045638624657736,0.0027317218116787926
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0023174849127053274,0.3697636017105017,0.0006333758499122077,0.00908483479901492
7,sett_scale,,,,,,,,,0.002227763449561562,0.002227763449561562,0.0010855085625303986,0.0010855085625303986
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.002154678526232505,0.015863190404369697,0.0011313710767610423,0.0046987184749292255
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.002056933695120544,0.36903779976925477,0.0008582494100735227,0.01006607723931297
6,sett_preprocess_income,,,,,,,,,0.002015622562525219,0.002015622562525219,0.0009190829368614566,0.0009190829368614566
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0020072296404417406,0.09896843894604582,0.0009014605024065256,0.00659960503819547
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.001951908201637166,0.3790929495289856,0.0005593800705932807,0.009709347979178337
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0019479311317796306,0.37958022813384645,0.0007442270054683804,0.008553501099285635
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.001893292817054838,0.786456860777619,0.0007557180131077965,0.01450242508474704
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.001873896830027094,0.8284272166510621,0.0007617160774652401,0.013235520493050896
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0017241341708873782,0.3703058895130273,0.0009251304401335946,0.009405532830900074
37,sett_model,sett_scale,,,,,,,,0.0016461020363444092,0.005437222166307539,0.0007431059015221715,0.00186999105337443
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0016334814051349933,0.395201541507462,0.00044429437778837136,0.009582654189870855
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.0016057864727660972,0.09659068517776262,0.000884465274930539,0.005664265769480868
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0015941105485637822,0.8129963545791469,0.0006695055714280081,0.013820511893177406
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0015926349579479361,0.08840407414115761,0.0007177740155736506,0.005386333355840916
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.001571901987504683,0.08724770262637084,0.0005054229122135088,0.005163702019634455
4,sett_model,,,,,,,,,0.0015633566804015679,0.0015633566804015679,0.0006888684750095029,0.0006888684750095029
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0015527492100980492,0.8256578735044116,0.0006689175041148907,0.014282441184024292
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0015519671615817038,0.8858269898992465,0.0007436796469191876,0.013074056566769642
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0015150869010720637,0.3764928136512785,0.00042209961474881733,0.009041235823952993
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.0014841155506478943,0.7856183051508017,0.0006949518704434175,0.015262559990285056
174,sett_cutoff,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,,0.001433062884541557,0.7754868365067471,0.0007576899084766338,0.014324940062243238
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0014222163155593562,0.7835167368339402,0.0012910051973446875,0.014784542894966165
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.0013186994214493919,0.11188036133382505,0.0005143825804576689,0.007471864060521883
