,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3779428760488442,0.3779428760488442,0.009115675625776408,0.009115675625776408
16,sett_cutoff,sett_stratify_split,,,,,,,,0.29939570116419856,0.7558124285004716,0.010486168978889276,0.010532619780829418
0,sett_cutoff,,,,,,,,,0.07847385128742884,0.07847385128742884,0.00455756942379713,0.00455756942379713
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.006528148741462939,0.7678700654444409,0.0014752375540136595,0.010651251732370899
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004956045478058108,0.08600079673429348,0.001411945847889899,0.004001672109155643
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004440898958033933,0.7951992658658232,0.0016684712611691836,0.009992761912472045
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.0042393131416513605,0.09754415144464057,0.0010775947658113268,0.004465164890130342
36,sett_model,sett_preprocess_income,,,,,,,,0.004109175726876541,0.007629415342026393,0.0012835288337435607,0.0015411097966529428
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.0038768236755882647,0.7871848334516708,0.001678828033944825,0.010937100951531527
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.003513111883521996,0.7645504808611809,0.0008309725150798418,0.010331171349130933
25,sett_exclude_features,sett_model,,,,,,,,0.0033489906127827903,0.007254729544897302,0.0017720795563986242,0.002549990494281897
7,sett_scale,,,,,,,,,0.003115973984559176,0.003115973984559176,0.0017799322685705487,0.0017799322685705487
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0031093905207408437,0.7684415648429761,0.0011388816206688588,0.009864113750513711
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0030567147541317946,0.11409133350087239,0.002026271769436846,0.010158432659808385
2,sett_exclude_features,,,,,,,,,0.0029563992857711855,0.0029563992857711855,0.0011260152912930346,0.0011260152912930346
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0028959844233212018,0.7821690754039379,0.0013073827528738357,0.010832189302254968
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0027075619679840564,0.7635427182178414,0.0009710619779852185,0.010723852952646072
3,sett_exclude_subgroups,,,,,,,,,0.0026134049283148605,0.0026134049283148605,0.0007492395537788554,0.0007492395537788554
6,sett_preprocess_income,,,,,,,,,0.0025708999688065243,0.0025708999688065243,0.0009189759739925001,0.0009189759739925001
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.002511846456219366,0.09466190499378341,0.0013513345789306246,0.00487223928288504
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.002495015847357669,0.8143624063289112,0.00150106223221729,0.013165019977211515
42,sett_preprocess_income,sett_scale,,,,,,,,0.0024830981519156133,0.008169972105281314,0.0014828780013937041,0.003683844666143536
38,sett_model,sett_stratify_split,,,,,,,,0.002334622360687241,0.38122683805587476,0.0008601169911408763,0.009049399203062575
12,sett_cutoff,sett_model,,,,,,,,0.0022455261954758715,0.08166871712924804,0.000687833686094111,0.004614778336353396
