,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.37058638653339265,0.37058638653339265,0.011077081059550558,0.011077081059550558
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3012887394920378,0.743969146638443,0.010229726784738359,0.016524688262509364
0,sett_cutoff,,,,,,,,,0.0720940206130126,0.0720940206130126,0.004865840266457509,0.004865840266457509
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.0072939515087219195,0.7586524891412936,0.002008117366594132,0.016390501455046644
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005151360984868476,0.08022848051477009,0.0016179644675110953,0.005391936609148853
2,sett_exclude_features,,,,,,,,,0.004827866420538597,0.004827866420538597,0.0008905299696794532,0.0008905299696794532
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.004441827877635571,0.0926048825320786,0.001551701778849874,0.0073640447175982076
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.0043314126857387555,0.7820745782310559,0.0014768813637056875,0.016422733289034614
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0037486882902219992,0.7773460715611634,0.0020931818865212583,0.01562296864059738
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.003707316471780233,0.7861798421696509,0.0012569537673335796,0.016793192341595795
25,sett_exclude_features,sett_model,,,,,,,,0.003593397682734197,0.009392133166084705,0.0014241222220469924,0.0013061750355093853
12,sett_cutoff,sett_model,,,,,,,,0.0035426674784097773,0.07660755715423427,0.001281486162283312,0.004834807023861666
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.003471687478839319,0.7553360198588428,0.001353910319641535,0.016378034082058287
36,sett_model,sett_preprocess_income,,,,,,,,0.003421037598451258,0.007375005578152193,0.001971018367876975,0.0023624091399806445
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.003352396319572109,0.758055350798384,0.0013807100797500554,0.015939586305555954
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0033222843675416247,0.011020783339135708,0.001345839928639465,0.0022974942992351247
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0032978788731372246,0.7540722039584841,0.0010637210084477647,0.016833371780425828
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0031225496351213232,0.10841570793472277,0.0017472610894318891,0.01195057707960946
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.003086283706771571,0.8187211182779093,0.0012711023030417508,0.015343708390550805
6,sett_preprocess_income,,,,,,,,,0.0029830989168890243,0.0029830989168890243,0.0012494126847012064,0.0012494126847012064
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.002912570158600384,0.08816237075412321,0.0015397383685843253,0.0066480094238913325
38,sett_model,sett_stratify_split,,,,,,,,0.002875854452906923,0.37443311004911145,0.001016482851452493,0.010974015458899197
3,sett_exclude_subgroups,,,,,,,,,0.0028706325510554857,0.0028706325510554857,0.0008975754427706257,0.0008975754427706257
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.002776415741134109,0.7753040888513212,0.0012317862087497208,0.016383997006126583
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.002700615873636058,0.08962000979697729,0.001405167501325504,0.00505010246377563
7,sett_scale,,,,,,,,,0.0026338414031093003,0.0026338414031093003,0.0010913420559519316,0.0010913420559519316
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.002610861556219983,0.3869533740933832,0.0009147981204178434,0.011286442660868885
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0025993479386114105,0.37616883338889306,0.0013666580557504331,0.011869043165466851
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0023574761872598524,0.7732456442197597,0.0016034422491395734,0.01581212569812038
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.00232913999150395,0.7708885129267293,0.0016459156060814964,0.016069978944359593
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.002225409034950082,0.07719006219901815,0.000519653971403723,0.004756785202779763
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0021848089638027584,0.8188991286050794,0.0010766879995248904,0.017762586060543036
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0021354058508799663,0.38693985096908556,0.0010111532592982243,0.011344041187613858
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0020326653820174406,0.015674417757398706,0.0013262215748447383,0.004855478803940689
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0020312950994916686,0.8127560915569936,0.0007523438795170213,0.01672197766970575
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.002005228494548199,0.8117906761420961,0.0006030894084729564,0.018593707893184343
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.001950020056111647,0.8053780678121165,0.0008573056512338555,0.01440370104930864
42,sett_preprocess_income,sett_scale,,,,,,,,0.0018999494018929822,0.007516889721891307,0.0009670730140857266,0.0021655036818893454
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0018709669205493101,0.38530756142361244,0.0010182900125106855,0.011375621955137949
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.001764817702997237,0.8751361675830376,0.0006293849642745422,0.01798706470904702
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.0017509720924180924,0.7733546662187445,0.0009161042404241796,0.015309481498746324
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.001743926778527863,0.40267895121347547,0.0007617701626066656,0.012365715471358407
37,sett_model,sett_scale,,,,,,,,0.0017329559922267884,0.005337666458148,0.000612773240353873,0.0012396755888732568
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0017091368608982442,0.37516615594534636,0.0004948127671672804,0.011696573050436138
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.0017006309810501503,0.10492582924975288,0.0006518096086558952,0.004720261179125062
10,sett_cutoff,sett_exclude_features,,,,,,,,0.001579180936242847,0.07850106796979403,0.0006122426184504607,0.004911561017707634
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.001557104488196396,0.018178719961921733,0.0008018104812852672,0.0033610375318928252
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.001519543944669668,0.08812754613841958,0.00043495497645328567,0.004661866125154843
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0014881383847789999,0.37690239133871023,0.0006706060384104782,0.010979583987486932
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.001385040425859975,0.08412520455514334,0.0005306838381625804,0.004728569110071985
291,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.0013771586485457478,0.13155688771935217,0.0006594496675089501,0.008545083354671164
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.0013561876166692404,0.746600142373246,0.0006161186324547787,0.016436265606216083
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0013505208339490832,0.38139996568405776,0.0005260459688476965,0.011691279320894948
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.0013367388073897844,0.1074788651286282,0.0005277126698304877,0.007490614145779621
171,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,0.0013013778271399538,0.7596271872738726,0.0007764490170635595,0.016665934392259017
180,sett_cutoff,sett_model,sett_scale,sett_stratify_split,,,,,,0.0012880640010050918,0.7681601811826477,0.0005961764720927526,0.0157990531769489
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0012123267148828477,0.103544860683732,0.0005675594261912386,0.007586345618870466
234,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0011803149024404722,0.40096780415994504,0.0005794838264354474,0.011650194193183664
