,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3563272383669697,0.3563272383669697,0.011574545284943684,0.011574545284943684
16,sett_cutoff,sett_stratify_split,,,,,,,,0.30913489919281206,0.7475807321343079,0.01115870982293787,0.016567536089402795
0,sett_cutoff,,,,,,,,,0.08211859457452608,0.08211859457452608,0.0044730516660841145,0.0044730516660841145
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007861646485909209,0.7641160826560224,0.0020571780863460685,0.01744881489863716
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.005551513396208485,0.787719893054071,0.0030151130071792826,0.02012439636755377
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005479464159130337,0.10672201731157997,0.0017023069243959602,0.0058133811325084455
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005239587379427916,0.09098281703028134,0.0016025371307126126,0.004135051325346373
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.004467521213038554,0.7624623376277025,0.0027247001396037826,0.01356800594456476
12,sett_cutoff,sett_model,,,,,,,,0.004405851069512542,0.08806223614395686,0.0010320381695155226,0.00493021896763325
2,sett_exclude_features,,,,,,,,,0.004348497144352016,0.004348497144352016,0.0012655459715929973,0.0012655459715929973
36,sett_model,sett_preprocess_income,,,,,,,,0.004316094552737519,0.009478520128983104,0.002370650467624904,0.003125395951403361
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004266879187066789,0.7952477298768494,0.0018104945852357615,0.012810250788213833
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.003979681977064809,0.1258946804765529,0.002019086744103917,0.011818008585644794
25,sett_exclude_features,sett_model,,,,,,,,0.0038881903068110893,0.009774477951081346,0.001745367704160103,0.002456871335786092
6,sett_preprocess_income,,,,,,,,,0.0036246350763273457,0.0036246350763273457,0.0010733888714178615,0.0010733888714178615
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.003335995418536418,0.7811545865897157,0.0012121854399554952,0.018534032686992077
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.003080458954225044,0.10005547763980563,0.0012235829248957528,0.005495010941353377
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0030448492393865593,0.822179411045542,0.0013094248241141675,0.024978001057380763
7,sett_scale,,,,,,,,,0.002921588029356967,0.002921588029356967,0.0014625422251895713,0.0014625422251895713
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.002809866545448702,0.7573431605396141,0.0008729992727493172,0.016315980744370535
38,sett_model,sett_stratify_split,,,,,,,,0.0027300624663744444,0.3605950913332624,0.0010628388665806592,0.011606412773542284
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0027072723545025976,0.009264422457054711,0.0012382022138483833,0.0025130417204152437
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0025888027977726304,0.019373486064825043,0.0014720717843235826,0.006558158686427039
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0025387412276549424,0.7749312337302572,0.0012310310821085134,0.018186903434836487
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.002467904760114081,0.09684193462805524,0.0012818451929137175,0.005021006159896892
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0024260232840250077,0.37266005754422193,0.0010228054935783337,0.012239733100827923
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0023994559504017087,0.7557380886985623,0.0013424698053297953,0.017120396342095126
42,sett_preprocess_income,sett_scale,,,,,,,,0.002396470291810306,0.008942693397494619,0.0012673822940754325,0.0026980182792532502
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0023478278625909416,0.8274412192097171,0.0013048144723904645,0.015818857993805682
3,sett_exclude_subgroups,,,,,,,,,0.002208652958200098,0.002208652958200098,0.0006366800126776551,0.0006366800126776551
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.002187603828497757,0.3722732866154259,0.0007435671302001754,0.01102280892394755
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0020135444973947503,0.36850219562919617,0.0008145941041029203,0.010836179886100982
37,sett_model,sett_scale,,,,,,,,0.001988104816902036,0.0064474833461772435,0.0011640978720588646,0.002799915529831709
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0019756550056978274,0.0994763878405519,0.0007457618342891118,0.004890793202919946
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0019505545235038997,0.822559832478725,0.0010135143629769795,0.0167383138890643
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0019496059689980531,0.8201054554065528,0.0008159492705396704,0.012358953710859622
30,sett_exclude_subgroups,sett_model,,,,,,,,0.0019248627813125024,0.00567130623943084,0.001165157505349868,0.00175210566912155
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.0017903329762192623,0.11549840643678885,0.0006285549065191376,0.007024464279627974
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.001789203596626253,0.08611645112935243,0.0008551619891523974,0.00443606191707498
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0017600440590264162,0.36029593538419624,0.0008870052062597303,0.011384148695506784
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0017167982841168892,0.3704707586429392,0.0007909944264936175,0.011197561834816893
