,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3715012257909164,0.3715012257909164,0.008667643022162606,0.008667643022162606
16,sett_cutoff,sett_stratify_split,,,,,,,,0.30172598711468707,0.7482321892162082,0.008748795543524174,0.01403862794686783
0,sett_cutoff,,,,,,,,,0.07500497631060465,0.07500497631060465,0.004491610061034889,0.004491610061034889
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007847652859117966,0.7624530253019786,0.0024467550618964677,0.013725698720098965
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.006386210442874866,0.7919553263636241,0.0025050910593756893,0.01589332347292241
2,sett_exclude_features,,,,,,,,,0.005807541292794587,0.005807541292794587,0.0013071580831681086,0.0013071580831681086
25,sett_exclude_features,sett_model,,,,,,,,0.00568084681352885,0.012462628016898226,0.0016226227161795614,0.00270877477844461
3,sett_exclude_subgroups,,,,,,,,,0.004467129585970104,0.004467129585970104,0.0009654183623182907,0.0009654183623182907
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.004433390290077891,0.8379332542473406,0.0017434041479313896,0.018306535778440654
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.004280275528112559,0.01455494640687725,0.0010346854275883404,0.0027209149335025687
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.003939570056935065,0.3916879282434409,0.001135018947820622,0.008135224564664468
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.003722442935184654,0.7845258718948447,0.000873789647172304,0.013061140684097984
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.0036313184948077353,0.09187810473175831,0.001333661277774874,0.005882165713110306
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0035542975652175955,0.081436154362501,0.0012141720404783402,0.004910971522549062
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0033891511031099372,0.7590128350751788,0.0012903701250759393,0.012710357692521216
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.003239325147518183,0.7847819561808506,0.0010809560805285993,0.013497191560913026
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.003179156669687256,0.7599395833376928,0.0007854783595603349,0.014284231745610469
36,sett_model,sett_preprocess_income,,,,,,,,0.0030074565801014135,0.006858576977354947,0.0005668275282014959,0.0015494849750847459
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.002946700495782454,0.10641917664045651,0.0015513345498550028,0.010017411409148073
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.002935408469535966,0.7838182423968528,0.0006167582979158479,0.014425063822162658
6,sett_preprocess_income,,,,,,,,,0.0028768804866787442,0.0028768804866787442,0.0011311853354835112,0.0011311853354835112
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.002873278259769938,0.7598167475286997,0.0008035713488012618,0.013575795699928285
12,sett_cutoff,sett_model,,,,,,,,0.0028289353837733736,0.07880815160495282,0.0008664432834108836,0.004407517295057376
30,sett_exclude_subgroups,sett_model,,,,,,,,0.002746557475783922,0.008187926972328816,0.0009940794845444355,0.0018494348006891199
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.002717191928461036,0.09603415662369953,0.0007086082543946724,0.005550088304278334
38,sett_model,sett_stratify_split,,,,,,,,0.0025700079323043032,0.3750454736337955,0.0007650928256389015,0.008394577042965508
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0025020765291478356,0.41480971269474515,0.0006813045565589231,0.009522444145647839
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0024383948975824823,0.026394985504347296,0.0010407496429546827,0.005765741604607762
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0023612248205589627,0.39162520166635034,0.0005661228849661283,0.008551226362737589
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0023328174125374877,0.3865852863096979,0.0005529182939964345,0.007928844951686623
42,sett_preprocess_income,sett_scale,,,,,,,,0.002294897326059799,0.007339476008697759,0.0009478506189975003,0.0022427508558850212
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0022508422651405704,0.08172294816171533,0.0005798843994443935,0.004340326035793778
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.002237118827373666,0.1164150000160072,0.0006994321907873362,0.007853343467157574
7,sett_scale,,,,,,,,,0.0021676981959592146,0.0021676981959592146,0.000926152031884176,0.000926152031884176
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.002157112259302375,0.08864700011704793,0.0012150494012274963,0.005896122204627343
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0020000241153956314,0.8223341653290989,0.000821327472348685,0.01518561822241364
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.001993308201610855,0.3779616635784973,0.000584601078671031,0.008361695897897726
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.001963868765331252,0.8158310675317251,0.0006135208240523278,0.01220082492440331
37,sett_model,sett_scale,,,,,,,,0.0018305693362679967,0.004972507442802001,0.0011788223614919379,0.001849506638773889
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.00178827962682199,0.09359101905071426,0.0007309524466172306,0.005973456548126263
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0017814179552869975,0.806350195178401,0.0009183580582099328,0.015466631636824608
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0016864704568686044,0.08995915138871602,0.0005434300145243825,0.004571756894398589
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.00168136843270131,0.014833110268343268,0.0008568310188016699,0.004020329080096745
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.001670184797473921,0.38356031220201403,0.0007036940018314115,0.008037823665971812
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0016300834506597006,0.7746091917336402,0.0006813859753771864,0.011763830139000595
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0015061997126160128,0.08231871731601526,0.0006893141923673261,0.005097222008668696
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0015020746473050207,0.8843225006327408,0.0005780495318603822,0.018020599290591983
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.0013293234220834204,0.7740381348050588,0.0005092455538849298,0.012831421733642833
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0013141555565015233,0.805131728550434,0.0005373786594761413,0.012464912801669815
315,sett_cutoff,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,0.001279704826192342,0.7988882340030363,0.0005718803712520099,0.011885738684213864
