,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.356513315122458,0.356513315122458,0.009142700098432068,0.009142700098432068
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3040518352196885,0.7435434471498168,0.012384961176643457,0.020771944183724276
0,sett_cutoff,,,,,,,,,0.08297829680767027,0.08297829680767027,0.007026370148183669,0.007026370148183669
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.008851645780546317,0.7617118041271863,0.002406997923155206,0.021609305291081574
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005556779551576193,0.09191519597362802,0.0011313416208838453,0.007136439549606551
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.005293398611776761,0.7850214003553475,0.0017816365676060094,0.020978484257829
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005151362893522436,0.1060510158752816,0.0021034240228265818,0.006051020199881062
2,sett_exclude_features,,,,,,,,,0.005045812708701107,0.005045812708701107,0.001014225937121427,0.001014225937121427
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.004988679601029473,0.7595554391748977,0.002407855927091108,0.021326227773037724
38,sett_model,sett_stratify_split,,,,,,,,0.0041952565062278605,0.36208200889465403,0.0010571905211563127,0.00892242046739316
36,sett_model,sett_preprocess_income,,,,,,,,0.003863002317535686,0.008616559197885499,0.0010835465507845455,0.0020379773865082814
7,sett_scale,,,,,,,,,0.003817738205695212,0.003817738205695212,0.0009304175153931853,0.0009304175153931853
12,sett_cutoff,sett_model,,,,,,,,0.0037480174246271995,0.08809975149826574,0.0009785437841734299,0.006650266613401406
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.003685612065854142,0.12662703443574413,0.0014710158084795925,0.007954180067353392
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0035482735012214027,0.7918087384471959,0.0012877616477683176,0.020430554854130797
42,sett_preprocess_income,sett_scale,,,,,,,,0.0034324619562750474,0.010630319776351805,0.0011744289394604714,0.0025356451761672214
6,sett_preprocess_income,,,,,,,,,0.0033801196143815456,0.0033801196143815456,0.0012249687352492362,0.0012249687352492362
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.003220270770387895,0.10287309347932004,0.001354676989069173,0.007039769584208741
25,sett_exclude_features,sett_model,,,,,,,,0.0031316750832613245,0.009550925057930697,0.000964227833619234,0.0014080017974814826
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0029035124902209975,0.020687946089131153,0.0009531917845752952,0.004310624167034137
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.002871127186451727,0.010598537645797818,0.0010953118820876474,0.0016607718384290416
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0027622642799801068,0.7765991317682881,0.0013252594503873562,0.020337489826623156
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0027539080778748487,0.7544684516870281,0.0008487090188730834,0.020963844146773845
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.002718869825804963,0.7766953367122389,0.0008610967429629465,0.021377829820848685
3,sett_exclude_subgroups,,,,,,,,,0.002681597750644984,0.002681597750644984,0.0011799265065357211,0.0011799265065357211
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0025970901069973097,0.3745678275577157,0.0008008162415196944,0.00783320172272796
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0025192122586506437,0.7521313367505214,0.0007214739911502279,0.020043570599447436
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.00240698527580102,0.8241643650880665,0.0008163797604732703,0.01903176448021237
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0023859169417109593,0.7716195411420823,0.0007033615146845518,0.019380521505175795
