,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.36512675500954667,0.36512675500954667,0.01138012524810974,0.01138012524810974
16,sett_cutoff,sett_stratify_split,,,,,,,,0.30047524603586817,0.7424448127696863,0.009017952029504776,0.01728093584145554
0,sett_cutoff,,,,,,,,,0.07684281172427147,0.07684281172427147,0.005742080739846555,0.005742080739846555
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.00702298259366319,0.7567656362928945,0.0024254605282592596,0.016965901008676277
2,sett_exclude_features,,,,,,,,,0.006514638032253548,0.006514638032253548,0.0018627059688980287,0.0018627059688980287
6,sett_preprocess_income,,,,,,,,,0.005334548996847361,0.005334548996847361,0.0016413715844734759,0.0016413715844734759
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005011065642210611,0.10075631445430662,0.0017920456917192345,0.007439502073813163
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0049940562903279685,0.08717141701144679,0.0013161105985663756,0.006072664659701368
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.004711658480923664,0.7836409976471919,0.0028866898900569335,0.019211432979548724
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.004339593705594499,0.1211587214310042,0.0019296290102087821,0.011085141213356514
36,sett_model,sett_preprocess_income,,,,,,,,0.004285977519863816,0.010054845454615376,0.002184041432822731,0.003446728459845873
25,sett_exclude_features,sett_model,,,,,,,,0.004035801483333852,0.0109847584534916,0.0018087367660322043,0.0031701869037344794
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.003863156556159838,0.7873765366152764,0.0010057841571530395,0.015972675398065052
12,sett_cutoff,sett_model,,,,,,,,0.0038535353428811913,0.08113066600505686,0.001414770640810778,0.005440706400368191
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.003615588549708934,0.758048007081262,0.0014311071170405626,0.01643360965079105
3,sett_exclude_subgroups,,,,,,,,,0.003520759049358479,0.003520759049358479,0.0011283925233091339,0.0011283925233091339
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.00349432563678622,0.8211471927982809,0.00146928962984595,0.02057388326285039
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0034857446224892913,0.7556155148404379,0.0011181619416767812,0.017416834889173415
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0033307805246698455,0.09729736012546072,0.0014013531317117192,0.006953857859837258
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0032480987180999385,0.7762305065885138,0.001456223929818265,0.017129355999022038
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.003230712287609261,0.3847122073812731,0.0013036305805091554,0.010883152263503438
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0032059296424677263,0.7537197534065373,0.0011741070848827475,0.016367548731395523
42,sett_preprocess_income,sett_scale,,,,,,,,0.0030955337508875476,0.011326038539978675,0.0015028641249956371,0.0031619168613523283
