,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.36470615857373845,0.36470615857373845,0.012530276756726627,0.012530276756726627
16,sett_cutoff,sett_stratify_split,,,,,,,,0.30833331296835464,0.750229649158334,0.013542429066738247,0.02064969861940373
0,sett_cutoff,,,,,,,,,0.07719017761624102,0.07719017761624102,0.00418031044201747,0.00418031044201747
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007216311179474286,0.763779156552253,0.0019831478442461,0.021120119709767998
2,sett_exclude_features,,,,,,,,,0.005732778089902428,0.005732778089902428,0.0017394290888366373,0.0017394290888366373
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005577166756077296,0.08570870752153904,0.0015782858878309524,0.0054686904285876645
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.005100478274603887,0.7895269379246552,0.0019557781690984033,0.02230041977134516
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.004954707403187805,0.09784311470944689,0.0016739401117141389,0.00766936634198301
25,sett_exclude_features,sett_model,,,,,,,,0.004813372419196046,0.011248947651650184,0.0020933250059430144,0.002422725311923227
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004580900975555471,0.7921362732248829,0.0012947904957568061,0.024116640398034836
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.00383920508777738,0.3845868904306157,0.0017322393418304216,0.013991157689153164
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.003761849235546945,0.09629513588736785,0.0013982458157726276,0.006780493191896614
36,sett_model,sett_preprocess_income,,,,,,,,0.0036738605253089957,0.007318020817081446,0.0010367861926591003,0.0013162408086029645
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0034387201155284194,0.11709648919917226,0.0011543414970120137,0.010630753307260776
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0032648127501994123,0.7593236327119318,0.0011276357026580538,0.01919255930504471
42,sett_preprocess_income,sett_scale,,,,,,,,0.0031346726189523297,0.008907061479282373,0.0009292412176474639,0.0014731883731815484
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0030006754242638757,0.76329153148161,0.0008494024442821522,0.021678052157195028
6,sett_preprocess_income,,,,,,,,,0.00294136314922074,0.00294136314922074,0.0009220977495605067,0.0009220977495605067
7,sett_scale,,,,,,,,,0.0028310257111093034,0.0028310257111093034,0.0008138360728949009,0.0008138360728949009
38,sett_model,sett_stratify_split,,,,,,,,0.0028273569550336325,0.3682363126713238,0.0009320129090050786,0.012445230259824481
12,sett_cutoff,sett_model,,,,,,,,0.0028030421168593295,0.08069601687565205,0.0008566620693086256,0.0046975275779899935
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.002788584986580482,0.7800705770702909,0.0009000974282482155,0.01928111675221445
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.002766748260967857,0.8217153302780611,0.0008855288911790752,0.022088371536482358
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.002730966971379832,0.7786157187138503,0.0006514510989276174,0.01971954645276288
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.002590858230005714,0.827493389216685,0.000839222773400259,0.023871925219752805
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0025240920636239164,0.017658944550573628,0.0011299535918290029,0.002992297683217744
3,sett_exclude_subgroups,,,,,,,,,0.0025076955688041335,0.0025076955688041335,0.0007978356414394207,0.0007978356414394207
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.002308805077020472,0.8211919494416526,0.0010333757642705672,0.024529939185841336
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0022564136190704213,0.010496887277776984,0.000696538267624084,0.002337672274855958
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.002164210769202234,0.7610902689438457,0.0007963808699606827,0.020443025376876034
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0020857654453015654,0.3784799787848691,0.0007939586129359379,0.012267454239586216
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0019658619520354827,0.8160022165377728,0.0004896359609689078,0.021473892268800542
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0019652221624160597,0.37240415882605693,0.0006545001793210218,0.012787270187960146
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.001948876438804471,0.3994419026119163,0.0006706171978229802,0.015773600451650206
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0018578074481794555,0.3807056610979941,0.0005763056662117485,0.013517214009438084
37,sett_model,sett_scale,,,,,,,,0.0018511333398066325,0.005384956193467646,0.0010297597253304288,0.001640992734882532
