,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3594070700167237,0.3594070700167237,0.009980058385758606,0.009980058385758606
16,sett_cutoff,sett_stratify_split,,,,,,,,0.30256981991708654,0.7452469900005673,0.01420164909349578,0.01966255688169641
0,sett_cutoff,,,,,,,,,0.083270100066757,0.083270100066757,0.004315530210487446,0.004315530210487446
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.006993196309518909,0.759391619975464,0.0017946670086522807,0.019974656986818547
2,sett_exclude_features,,,,,,,,,0.004974455520726619,0.004974455520726619,0.0011236987701519236,0.0011236987701519236
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004591233485650331,0.08977685582374878,0.0020209721072419464,0.004004667043543662
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0044281786871105105,0.757873273577544,0.002376515559792609,0.02038014809582089
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.004186936191440938,0.10240507872119962,0.0021880030341352944,0.005292263245610779
25,sett_exclude_features,sett_model,,,,,,,,0.0040637970795236325,0.009803918015714987,0.002311130219577026,0.0023474809772939214
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.0040393164453788885,0.7827843381434589,0.002062138931971404,0.01889646587575654
36,sett_model,sett_preprocess_income,,,,,,,,0.003979079714096688,0.006660267400902871,0.0015518127857132424,0.0021638737848974723
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0038208688339961988,0.7560890479461424,0.002320926858423715,0.01859267562049896
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0037344508771469734,0.7860818704088541,0.0009417132926494971,0.021130496850962157
12,sett_cutoff,sett_model,,,,,,,,0.0036965415764484725,0.08773230705867022,0.0012699237516734445,0.004230102095308191
3,sett_exclude_subgroups,,,,,,,,,0.0030530018842534305,0.0030530018842534305,0.000752107728381158,0.000752107728381158
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.002722399049137255,0.010749856454117305,0.0008848099740248997,0.0018875127198666494
38,sett_model,sett_stratify_split,,,,,,,,0.002689226673464713,0.36286196210565314,0.0009126995837910259,0.009948209212445937
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0026145760549617747,0.3754653496587558,0.0012196918097340521,0.010137302534651204
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0025998721755808364,0.8158963277295406,0.0006578471343306704,0.018994256766405548
7,sett_scale,,,,,,,,,0.002584696679754003,0.002584696679754003,0.0009156808476726793,0.0009156808476726793
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0024788773487882006,0.7759853198793173,0.0005885568396958334,0.019997229498369688
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0024751024975909327,0.8190379643358701,0.0006471523147364407,0.018515044502709337
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0023914788476020812,0.753992340275831,0.0007538263154926926,0.01997140767383525
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.002322469099417586,0.1158112684212315,0.0013587454410629786,0.008545320316006303
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0023080720377553184,0.8116157568007826,0.0007726081049886041,0.02177486515925527
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0022801275576842953,0.7733000698369005,0.0005035305578315509,0.018903492723173265
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0021635000737289193,0.37261141329769454,0.0008354816739688661,0.010673624528280908
37,sett_model,sett_scale,,,,,,,,0.0021615055111728937,0.005511867606391631,0.0009590963040413988,0.0015793858561821115
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.001958063676641852,0.015110053911033976,0.0013015533163319277,0.004925275321622526
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0019485266968022217,0.09605262758792989,0.000614565199594238,0.004435045084611351
6,sett_preprocess_income,,,,,,,,,0.0019155222713414485,0.0019155222713414485,0.0009827917346151892,0.0009827917346151892
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.0018609051906070824,0.11614111376887204,0.0007588192379195265,0.008690375053205211
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0018396482554660437,0.3915683602588115,0.0006962445304366675,0.010437541923639581
