,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3706539908656446,0.3706539908656446,0.008592985975735006,0.008592985975735006
16,sett_cutoff,sett_stratify_split,,,,,,,,0.30145475983967446,0.7513309457718995,0.013496722648413825,0.01833604475106521
0,sett_cutoff,,,,,,,,,0.07922219506658047,0.07922219506658047,0.006496549856633132,0.006496549856633132
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.008912357526621267,0.766736348991064,0.0027787551897177337,0.020849923276047577
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.004845602373913055,0.765469358042886,0.0033027121363725614,0.017978197530784508
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004812764544823118,0.08721867385574465,0.0018414972364276792,0.00706660759905343
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.004362797900206284,0.09880711469014634,0.0012881598363742263,0.007894595121263802
25,sett_exclude_features,sett_model,,,,,,,,0.003979535027631501,0.00787515442022623,0.0014250251204685669,0.002267471724070853
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.0039018510054126916,0.7878529421806992,0.001444409815366329,0.022100422953977045
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.003895920926629701,0.7941017517394673,0.0018221823819161145,0.02012971989905486
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0036215598433567407,0.11705179117888023,0.0020338016359797563,0.0112761583765281
36,sett_model,sett_preprocess_income,,,,,,,,0.0034266215383045775,0.007319606578070516,0.0014651619392990962,0.002111389099950374
2,sett_exclude_features,,,,,,,,,0.003186348597169839,0.003186348597169839,0.001285077219597184,0.001285077219597184
6,sett_preprocess_income,,,,,,,,,0.0031837142443410494,0.0031837142443410494,0.001261850577159562,0.001261850577159562
12,sett_cutoff,sett_model,,,,,,,,0.003089750600465949,0.08302121646247132,0.000815959236916846,0.006600374490544985
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.002959575403836063,0.09598098235699601,0.0010993595759208657,0.007209915535026906
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0028460192766165326,0.016857960809044156,0.0015503494044311137,0.005304658357046167
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0027543615156766102,0.38576324863957057,0.0007672673229374222,0.00898989697808766
38,sett_model,sett_stratify_split,,,,,,,,0.002694024296652399,0.37405728595772186,0.0011182286229526007,0.008520577587459189
42,sett_preprocess_income,sett_scale,,,,,,,,0.0025784072275990117,0.007964385938481701,0.001585801549637575,0.002933625387776492
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0025418010268815463,0.7602221915671351,0.0007440015177010541,0.01831112872022964
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0024122761075586153,0.7584625169812808,0.0007488197122948845,0.017838842561063405
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0023341601968556907,0.7745665934022368,0.0007309033746539548,0.017642952298671803
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0022994635374288773,0.8134223421618896,0.0005678697384526514,0.021490815375994808
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.00221968242945289,0.8243542313828384,0.0007572026183291262,0.020983526431050375
7,sett_scale,,,,,,,,,0.00220226446654164,0.00220226446654164,0.0009887045244920047,0.0009887045244920047
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.002177737378341466,0.7792887766073437,0.0004945676480905139,0.019737770303920415
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0021595312240660102,0.7778664590322679,0.0015024086984927261,0.015621404793390699
3,sett_exclude_subgroups,,,,,,,,,0.0021104268198082355,0.0021104268198082355,0.0007531418926775642,0.0007531418926775642
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.0020731239564189185,0.7784534704175112,0.0007906786365151881,0.017801972299101045
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0019915410661191053,0.00728831648309718,0.0010441085273645422,0.0024812468316161964
37,sett_model,sett_scale,,,,,,,,0.0019116632602164572,0.004823198522182987,0.0009538103866245945,0.0016854650811249426
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0019091921284070984,0.8202989623221904,0.0006858310453471318,0.018045383558756747
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.001785717541370731,0.37562605700418517,0.0005090255446712055,0.008967131406972736
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.001763977541060312,0.8143547164576144,0.0007055127274910452,0.01800573553872531
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.001673643928812908,0.8000526456324382,0.0006365482032056518,0.015944905989561862
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0015905746340893572,0.38253281994945215,0.0004622986801911099,0.009296180224990038
