,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3695446582710993,0.3695446582710993,0.007639330502730566,0.007639330502730566
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3041932993273373,0.7494390022130837,0.014321365842118152,0.016161402755768946
0,sett_cutoff,,,,,,,,,0.07570104461464708,0.07570104461464708,0.0035955122040630173,0.0035955122040630173
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007805712218476055,0.7647349277356863,0.0012543191698657218,0.01701976369093
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005255981255080466,0.08319714969127602,0.0016852514381173445,0.0036938997786000673
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.004807864690684193,0.09592661548839199,0.0016762305857464346,0.005530142264036162
2,sett_exclude_features,,,,,,,,,0.004425943339968535,0.004425943339968535,0.0014127652066707685,0.0014127652066707685
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.004152986919912485,0.7876289356956776,0.0015150521499814626,0.0200893053235348
7,sett_scale,,,,,,,,,0.0036085950280380368,0.0036085950280380368,0.0014832518610807155,0.0014832518610807155
36,sett_model,sett_preprocess_income,,,,,,,,0.0035684423159778513,0.006715843328369317,0.0016307823054443633,0.0019585345988436705
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0035092309586521606,0.7610902452398293,0.0017815475740099462,0.017309504188603317
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0034777205540241244,0.11416819965929964,0.0014213998756505337,0.008536428839329336
12,sett_cutoff,sett_model,,,,,,,,0.003445881599610929,0.080054203405101,0.0013452901237984362,0.0038634641155927112
25,sett_exclude_features,sett_model,,,,,,,,0.003392827855574095,0.008726048386385622,0.0012506812742030375,0.002302436317339362
38,sett_model,sett_stratify_split,,,,,,,,0.0031370545136726524,0.37358898997561496,0.0013156091514644659,0.007807785612534095
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0029732686340935752,0.789624016329886,0.001071124402428198,0.016703657162973878
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.002843649541505232,0.8189386580668734,0.0012633269665217395,0.021804464339437828
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.002829845958590957,0.7788022038493686,0.0013341485049405421,0.016861745256051264
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0028222238354950304,0.7797842762696646,0.0009648952398726385,0.017434277106288486
3,sett_exclude_subgroups,,,,,,,,,0.0027637427733902117,0.0027637427733902117,0.0010842008322356374,0.0010842008322356374
42,sett_preprocess_income,sett_scale,,,,,,,,0.0026966204076784165,0.008545339257264927,0.0014242330761054889,0.0025785745831815015
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.00246297309091134,0.092407278877354,0.001093764211393051,0.00435983196989449
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0024620425220401015,0.7581788580820046,0.0012967096272869301,0.015612047637512897
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0024012890527182335,0.37637189066378607,0.0009568589526013159,0.007923835323300167
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.002380970093809897,0.7612410863749406,0.0010447780742020567,0.015680765243323798
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.002372181280257072,0.38618123150413286,0.000970709619863032,0.00911300020706818
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0022442118994085076,0.3745526129438981,0.0009400010418812647,0.007245822882788588
6,sett_preprocess_income,,,,,,,,,0.002240123821548473,0.002240123821548473,0.0009603159330613582,0.0009603159330613582
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0022320906161852738,0.00942177672954402,0.0007989307800823828,0.0022566546698575933
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0021795916176727327,0.01728404340116505,0.0009389791036731404,0.004445296477493191
37,sett_model,sett_scale,,,,,,,,0.0020833930194065486,0.006599265238287577,0.0010333796351867184,0.00256901891313051
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0020758330753485937,0.38568776902811863,0.000906266844954118,0.007954817201910103
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0020746902055864564,0.8173987591067812,0.0008432481288034904,0.01604376090950064
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.001946405411607109,0.8126916321619196,0.0009227707387268782,0.01812786847345842
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0019250089914180164,0.37370979108406577,0.0007413126536149601,0.0077623192144859205
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.001834333090493523,0.0895417927841734,0.000864877492638985,0.004504908428691084
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.001830042481019754,0.40091825380460416,0.0005895278564001628,0.010048515488892679
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.0017720009901301885,0.776878319362942,0.001018718543915541,0.01660401549432842
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.001770082820645974,0.820528309022158,0.0008446531306514331,0.019822379021726982
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0017374287915872463,0.38305999389614653,0.0007014934503145452,0.008239200158370798
174,sett_cutoff,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,,0.0016275908953934663,0.7681382046737651,0.0008213307829110741,0.013807089977119122
315,sett_cutoff,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,0.0016175251527067184,0.7991833198495565,0.0005793551475520805,0.014630335276094447
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0015623666931214603,0.8021277792486321,0.0005234031834352092,0.016963868682488687
180,sett_cutoff,sett_model,sett_scale,sett_stratify_split,,,,,,0.0015576345305575567,0.7767225307721459,0.0006692191681898634,0.015232617965268256
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0014718724420725911,0.7736912698306293,0.0006053231798823744,0.01552309477275499
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0014002575585814027,0.7744913372759844,0.0007590962385093238,0.01500453236958833
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.0013995039382918002,0.10337844320601378,0.00043341597384377,0.006359052743669867
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.0013375960470807403,0.7519708625122421,0.0008754863050966895,0.016031801656135936
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0013359530053262206,0.3809729709677501,0.00047232837166542825,0.00770862298661661
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0013247688775019787,0.09051252315355228,0.0006877438308762294,0.005326049680221588
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.00132383210156448,0.7700162111498525,0.0008257641551834004,0.016933256453195676
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0013147796754066636,0.08144176763002228,0.00047468422370295114,0.004149236379870418
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.00129928436395797,0.8667722726197993,0.00039255950230238237,0.023188041809230227
65,sett_cutoff,sett_model,sett_scale,,,,,,,0.0012907497937262621,0.08747888190572205,0.0006903969644803848,0.0038495423694308644
421,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,0.0012753187529280282,0.8506160149634518,0.00044676658164708214,0.01917879573761752
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0012698586740821185,0.07973464606211941,0.0004835056719924199,0.0033493867087785976
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0012150751357824555,0.01597703022575381,0.0003606378005304978,0.0033921610190321087
312,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0011881432239315684,0.7903363975077671,0.0008649789302136856,0.01664461273055344
299,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,0.0011786549751569967,0.7949026034544436,0.00041373730077804864,0.015012338282411289
72,sett_cutoff,sett_scale,sett_stratify_split,,,,,,,0.001177831600312173,0.7556125678506163,0.0005657185144782806,0.015138723481546205
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0011112425102258678,0.08623912067680944,0.0004411220715539678,0.003957323224687813
171,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,0.0011101712437675696,0.763186047869874,0.0005894717651072326,0.01519593065906484
321,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0011081918017501655,0.7992868892362697,0.0006659564665528828,0.016058449909428275
