,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3616381004068049,0.3616381004068049,0.01056746388076268,0.01056746388076268
16,sett_cutoff,sett_stratify_split,,,,,,,,0.30379691306200673,0.745688011743646,0.01205250619168089,0.017191119021049153
0,sett_cutoff,,,,,,,,,0.08025299827483441,0.08025299827483441,0.004538848779102622,0.004538848779102622
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007994577190839527,0.7619318568774917,0.002161254902302603,0.016985746875918688
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005338787232385074,0.10305664197168454,0.0019157028712072064,0.006183465388098962
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005138832821856787,0.08868595332585692,0.0012890483756106059,0.004349889640571733
2,sett_exclude_features,,,,,,,,,0.005057848930457813,0.005057848930457813,0.0014736594762024653,0.0014736594762024653
36,sett_model,sett_preprocess_income,,,,,,,,0.004585107044629775,0.009159169097618956,0.0013305940628589189,0.0024831888264763013
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.004520482232332443,0.1223239287617567,0.001546884570052606,0.008868012306646538
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.004036186284430284,0.7840521803272454,0.0019666801714480426,0.017772545765719718
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.00392664632519739,0.790737418071317,0.0013980560986842304,0.01493873382998408
38,sett_model,sett_stratify_split,,,,,,,,0.00380247357419329,0.3667205138048216,0.0011845990101521675,0.010294816785617432
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0035258886944353495,0.019290151378199748,0.0015146416364097267,0.0042735290085799205
6,sett_preprocess_income,,,,,,,,,0.0032941222291657263,0.0032941222291657263,0.0011749110120192216,0.0011749110120192216
12,sett_cutoff,sett_model,,,,,,,,0.0031668545449893117,0.08469979264364717,0.0007302634600431297,0.004799394618467767
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0031373078869193945,0.7588355755109356,0.0013905545661847842,0.01563988078530155
25,sett_exclude_features,sett_model,,,,,,,,0.0030117445205325435,0.009349533274813814,0.0014131463744956904,0.0019530158603659885
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0028432286501545645,0.7730973734382764,0.0013278113484274784,0.017207628541187212
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0028135928446647992,0.8132576031726138,0.0015222798977398717,0.019421430164646696
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.002699814614882318,0.7540312673324856,0.0009752855406279562,0.01745524001040038
3,sett_exclude_subgroups,,,,,,,,,0.0026782088783578436,0.0026782088783578436,0.0012484194808768773,0.0012484194808768773
