,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3730106730667266,0.3730106730667266,0.010570710022068363,0.010570710022068363
16,sett_cutoff,sett_stratify_split,,,,,,,,0.30467795162544475,0.757671028418534,0.010444581112275086,0.015427707822683545
0,sett_cutoff,,,,,,,,,0.07998240372636267,0.07998240372636267,0.004781821195081897,0.004781821195081897
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.005557386519505754,0.7693232676563495,0.0016728830277612384,0.015004759819743816
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005413468212722403,0.08891367519415591,0.0016427488054394728,0.004070347826979697
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.004898727729416337,0.1014796622466613,0.0018779139715768096,0.005018419706016714
2,sett_exclude_features,,,,,,,,,0.0044356118945943525,0.0044356118945943525,0.0011015414370378956,0.0011015414370378956
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.004023870017069786,0.099973777115023,0.0017132168760010129,0.005336253994882117
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0037155519864306274,0.7983595421984115,0.0010953619764544457,0.01253178063619963
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0036900617456376472,0.77239029835749,0.001974323999296073,0.01329636410457185
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.003676106080048761,0.7883298475532596,0.0015738942113630312,0.015428990111309326
36,sett_model,sett_preprocess_income,,,,,,,,0.0035959843933097545,0.0078990223333059,0.001357764269738541,0.002284519927959922
6,sett_preprocess_income,,,,,,,,,0.0035178032550708368,0.0035178032550708368,0.0008623396108535673,0.0008623396108535673
42,sett_preprocess_income,sett_scale,,,,,,,,0.0032937882145879843,0.009605038614463603,0.0011824890241354498,0.002541743544092417
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0032897223149293375,0.12073103228973334,0.0012740419653573633,0.00677772278244181
12,sett_cutoff,sett_model,,,,,,,,0.0032860402448539874,0.08405367865614197,0.0013075003651706475,0.004243052853307991
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0029379071262234362,0.8192873609144739,0.0012523227726871271,0.01644231132744759
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.00289326327657107,0.7850065370514347,0.0012166492302205132,0.014265987061044108
25,sett_exclude_features,sett_model,,,,,,,,0.0028198339782561574,0.00804068055777582,0.0012514187149037213,0.001959997900087094
7,sett_scale,,,,,,,,,0.0027934471448047837,0.0027934471448047837,0.0012134846376535826,0.0012134846376535826
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.002755448649931871,0.7659450422009659,0.0011046907944296637,0.014756243376541309
3,sett_exclude_subgroups,,,,,,,,,0.0027165068451998828,0.0027165068451998828,0.001280007621389004,0.001280007621389004
