,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3699709160979988,0.3699709160979988,0.008499177970230812,0.008499177970230812
16,sett_cutoff,sett_stratify_split,,,,,,,,0.30537137253522073,0.7576464896826788,0.013713147069003175,0.017330439106864416
0,sett_cutoff,,,,,,,,,0.08230420104945937,0.08230420104945937,0.005776729327527997,0.005776729327527997
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007068274405958091,0.771759460449759,0.0014084827733121207,0.017101312133312972
2,sett_exclude_features,,,,,,,,,0.005859727043296998,0.005859727043296998,0.0014310518588314812,0.0014310518588314812
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.004317731691619878,0.10138885747782328,0.0017881266796624974,0.0069432617037282
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0040658776224304005,0.08948056197251589,0.0012514555096852552,0.005858007507986033
12,sett_cutoff,sett_model,,,,,,,,0.004023853041923403,0.08711338552949269,0.0013431308786267702,0.006106806153939892
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.00393883482438267,0.7936216283282462,0.0016150118560878367,0.013838297554921499
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.003577786925370711,0.11980632038633142,0.0015795430432284183,0.009371243280334998
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.003144548870708119,0.7872793911389835,0.000984473428827519,0.016857298345452198
6,sett_preprocess_income,,,,,,,,,0.0031104833006261297,0.0031104833006261297,0.0008530314403203153,0.0008530314403203153
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.003066752636362539,0.09871873110880675,0.0013542932061268098,0.0062022062953751645
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0030224498759527504,0.8264287014253009,0.0010145821354104697,0.015287535150890107
