,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3694181412872083,0.3694181412872083,0.012700727268605166,0.012700727268605166
16,sett_cutoff,sett_stratify_split,,,,,,,,0.29805638130711665,0.751799704903821,0.017596567790938253,0.02188307144011669
0,sett_cutoff,,,,,,,,,0.08432518230949618,0.08432518230949618,0.0039303744468527435,0.0039303744468527435
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.0062101819915996925,0.764698171788234,0.0015694355036757054,0.022582990483927284
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005466404147210465,0.09375217467004497,0.0021025169374164696,0.003232460217788962
2,sett_exclude_features,,,,,,,,,0.005437737669381799,0.005437737669381799,0.0013131569124960117,0.0013131569124960117
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.004728884934561655,0.7877570849424761,0.0022345521332620714,0.021880240920217488
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.0043546788502225155,0.10420757932983632,0.0017310585097633818,0.0044131529996647816
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.004192760855425644,0.7668500333708121,0.00116368534182006,0.022169726117158957
6,sett_preprocess_income,,,,,,,,,0.003960588213338327,0.003960588213338327,0.0013978741168645106,0.0013978741168645106
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0036977464778808213,0.7923624604008228,0.0009492957826940871,0.02384710664737238
38,sett_model,sett_stratify_split,,,,,,,,0.00331014977011818,0.3732365622615399,0.0011910702868655606,0.012484418720615377
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.003064301571811505,0.7636146299423586,0.0016554356261721816,0.020788396262488434
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.002948838045051723,0.12118269153629743,0.0015051628185447814,0.008713800646341115
3,sett_exclude_subgroups,,,,,,,,,0.0029310101438827702,0.0029310101438827702,0.0008301820816103365,0.0008301820816103365
12,sett_cutoff,sett_model,,,,,,,,0.0028698639184814296,0.08770331743219109,0.0011943415386773595,0.0036392273366717743
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0028243756296438506,0.10273487550010936,0.0012398939593570354,0.00454567675011891
7,sett_scale,,,,,,,,,0.0027999807017753623,0.0027999807017753623,0.001633187459919745,0.001633187459919745
42,sett_preprocess_income,sett_scale,,,,,,,,0.0027858648673498923,0.009546433782463582,0.001174628690236561,0.0035302816098529708
36,sett_model,sett_preprocess_income,,,,,,,,0.0027225906868739236,0.007191450104425736,0.0008657636340966351,0.002173522843599275
25,sett_exclude_features,sett_model,,,,,,,,0.002658870292445834,0.008604879166041116,0.0012239482066250871,0.0022364296621505573
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.002650220271511808,0.011018968084776377,0.0010325920895378822,0.0025900970250375193
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0025222471696560865,0.7602872359574815,0.00122398236870601,0.02169962404445394
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0023613019787962868,0.780779503383009,0.0012893893141459568,0.02020182307006615
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.002310684822361588,0.8158728294404496,0.0007438060419452585,0.021438607933878626
37,sett_model,sett_scale,,,,,,,,0.0022522357326212866,0.005560487638610132,0.0012661995577189157,0.002778485890271574
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0022388716378945583,0.8238018242737957,0.0010723323061787742,0.023045542908109232
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.002227958835333412,0.38571715012932806,0.0007939712966772151,0.012312412349307569
