,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.379489965254586,0.379489965254586,0.009206436186979585,0.009206436186979585
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3134758757222106,0.7729203484459135,0.010228524120989065,0.014172612973526262
0,sett_cutoff,,,,,,,,,0.07995450746911696,0.07995450746911696,0.003912174064348795,0.003912174064348795
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.006632183221865729,0.7860629716601347,0.001442901316712893,0.014097180480659983
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.004876192345000871,0.8087109211827572,0.0016576389861515312,0.015340437633730726
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.004483255167862506,0.09878636229465446,0.0015524523421853924,0.0062990345812613474
2,sett_exclude_features,,,,,,,,,0.0044540164260356094,0.0044540164260356094,0.0011669358776570978,0.0011669358776570978
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004069597952549979,0.0871564537652961,0.0011674028060263695,0.004405068100595702
25,sett_exclude_features,sett_model,,,,,,,,0.003613013687366647,0.008814286608046815,0.0009997207061163726,0.0016522414756053635
36,sett_model,sett_preprocess_income,,,,,,,,0.0036007403009726277,0.007480345139246346,0.0010698127691617558,0.0014683849990338206
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0033970769084121053,0.8110827198150674,0.001035894763729271,0.015864157801288376
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0031995672270039074,0.7845194881534066,0.0012451736438157971,0.014782352037477629
6,sett_preprocess_income,,,,,,,,,0.00313234834362916,0.00313234834362916,0.0010935369798879373,0.0010935369798879373
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.003049301877859987,0.1160374673849554,0.0012354306734009097,0.00821685586711418
38,sett_model,sett_stratify_split,,,,,,,,0.002964526931832228,0.38320174868106277,0.0009980537168111396,0.009063668186592868
7,sett_scale,,,,,,,,,0.0029569411534340817,0.0029569411534340817,0.000619941779176909,0.000619941779176909
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.002928071100773807,0.3965734967357548,0.0009799677168476268,0.009838479875438105
42,sett_preprocess_income,sett_scale,,,,,,,,0.002871705868916472,0.008960995365979715,0.0015817646333831758,0.0026105957075553926
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.002844829417331638,0.09650642554272375,0.001436485378282518,0.005775233527143419
12,sett_cutoff,sett_model,,,,,,,,0.002798656565878665,0.08350042052964018,0.0007930578345740663,0.004229802930556581
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.002674471872706198,0.7804457026173384,0.0014606483039639414,0.012618577305586501
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0025094295393156183,0.7829852344194671,0.0009919914845872132,0.013571092419498101
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.00237664684051593,0.3863206285211376,0.0010219421203339818,0.00900857074192872
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0023432094698799446,0.8354303685909876,0.0009054315525002519,0.013768365671316495
3,sett_exclude_subgroups,,,,,,,,,0.002236342897396807,0.002236342897396807,0.0006477955783435315,0.0006477955783435315
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0022184912382444575,0.7997480281382341,0.0011672292254990585,0.011443627047381779
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0020072125936549338,0.016928106907153233,0.0008094168036828137,0.003469800617020182
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.001939536070192395,0.39307199958016686,0.0008837150841341813,0.009735754216703436
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0018644356189717068,0.7967537218516614,0.0006684142580276824,0.01180615921955583
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0018481758419129533,0.8319200898575976,0.00109609989371876,0.013151408382248056
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.001772815980195466,0.8357901532586622,0.0006372389896384606,0.018522219902527073
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0016809743708188565,0.008371333694251273,0.0008368662230656489,0.0018808556080361668
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0016391994498537116,0.08383004981636749,0.0008845314812136302,0.0036537619459057423
