,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.36666093134581695,0.36666093134581695,0.013904497746835096,0.013904497746835096
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3007280713666892,0.7434602196543973,0.01634486145783121,0.01519988637359584
0,sett_cutoff,,,,,,,,,0.07607121694189117,0.07607121694189117,0.006875913220473653,0.006875913220473653
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007616808585250852,0.7581053138994369,0.002078269672053551,0.014764568096083458
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.006459566805269223,0.7604046139210858,0.002421411985900269,0.015903201476924343
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0055857539454112915,0.08454111900886313,0.0015040074214345363,0.007049676841224123
2,sett_exclude_features,,,,,,,,,0.005426649166550699,0.005426649166550699,0.0013296664680468465,0.0013296664680468465
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.004759881801803775,0.09656169736020831,0.0017319191473864008,0.007901771359976504
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.0046544285851221725,0.7814954110420729,0.0015623617101552176,0.013807186055917305
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.004400740461146642,0.7556576768780894,0.0015584247642046964,0.013773426140760872
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004365015210747149,0.7897391989719668,0.001690892108636866,0.01687109060033523
36,sett_model,sett_preprocess_income,,,,,,,,0.003771055156469884,0.007101879059819943,0.001424272087143705,0.0017187455949551544
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0036098735105061642,0.7547450284129599,0.0014951870089311673,0.014689824527209681
38,sett_model,sett_stratify_split,,,,,,,,0.0035386442667171025,0.37064625139432344,0.0010099719179556936,0.013606663650719206
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0033987223551325395,0.8180760500019332,0.0006815869731088762,0.014301524957977867
3,sett_exclude_subgroups,,,,,,,,,0.003123480699896917,0.003123480699896917,0.001175482746035246,0.001175482746035246
12,sett_cutoff,sett_model,,,,,,,,0.003042965611282143,0.0795608583349627,0.00108215139118738,0.00675530641836213
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0030097734620750925,0.7762666474599373,0.0013082230687698575,0.01274957786047777
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0029329652343733055,0.092466589057235,0.0011832724038591976,0.0078072530332386385
6,sett_preprocess_income,,,,,,,,,0.0028841481215606743,0.0028841481215606743,0.001302317020347828,0.001302317020347828
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0028774187099368277,0.11167216880366432,0.0013883765362398095,0.010773044965203593
25,sett_exclude_features,sett_model,,,,,,,,0.002837828129848329,0.008711153078188413,0.0012853506624199641,0.0020326122921467994
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0027944509329141166,0.7764886069973348,0.0007045566222892595,0.014342845888127545
