,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.38036891531257067,0.38036891531257067,0.005144616720776145,0.005144616720776145
16,sett_cutoff,sett_stratify_split,,,,,,,,0.30365774027568,0.7654479617791778,0.005720057132257033,0.008336709195113699
0,sett_cutoff,,,,,,,,,0.08142130619092716,0.08142130619092716,0.00440779823015967,0.00440779823015967
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007394888284432369,0.7801559611416998,0.0015003285494592895,0.00901368429564325
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005384924138179896,0.10198754540464625,0.0016395608255320717,0.005778318230972113
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004622991727648416,0.809094257815046,0.0016012165882797313,0.009968438462598234
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.004353140784100238,0.8027583777403602,0.0015486785939235563,0.009704543843352046
2,sett_exclude_features,,,,,,,,,0.004351959043859087,0.004351959043859087,0.0012170125971607518,0.0012170125971607518
36,sett_model,sett_preprocess_income,,,,,,,,0.004138369907556998,0.007857653489612934,0.0010259226956879114,0.0014803065462604314
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.003966588100404171,0.08858437840244635,0.0011124353341474065,0.0050059508665434875
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.003839336484601546,0.11840103210272328,0.0011409979084909872,0.009606864266485018
25,sett_exclude_features,sett_model,,,,,,,,0.003807649028466196,0.008682407543266215,0.00085279596492691,0.0016160317663605082
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.003699970724523252,0.7780618483974335,0.0017203560857446346,0.008495157979602775
3,sett_exclude_subgroups,,,,,,,,,0.0036390829708141145,0.0036390829708141145,0.0010497408032771611,0.0010497408032771611
38,sett_model,sett_stratify_split,,,,,,,,0.003433238121626692,0.38432495290513824,0.0015468595920757713,0.005581806648142193
12,sett_cutoff,sett_model,,,,,,,,0.0033570734855220847,0.08530117914739017,0.0011519655446568253,0.004365761477505657
6,sett_preprocess_income,,,,,,,,,0.0031964841111150047,0.0031964841111150047,0.000870729134566053,0.000870729134566053
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.003022296871058031,0.7761662751343592,0.0006905067024662456,0.008275036728018739
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0029262477430037613,0.0955261518321659,0.001581860642534024,0.007110166594575
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.002656616303874681,0.010647658318547883,0.0006513297200181195,0.002198761918556048
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0026288133575550843,0.7957455515825936,0.0009189810875532723,0.009253593814637464
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.002620487366298263,0.39679917618671195,0.0007826987087403266,0.006255356496655496
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0024984296826682157,0.8341260086263329,0.0006997553558265331,0.010160005645627615
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.002477702464363289,0.015507180880020767,0.0008849905752340131,0.0028449791883614797
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0023787387706615355,0.8334510467683715,0.0008498693843652688,0.0114589853722517
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.00236484705843817,0.7936243267001907,0.0005627522642802156,0.00825911537846657
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0021884594226049747,0.38619645770598976,0.0010168042152936191,0.005291900529306381
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.00217812428170503,0.3955887748877287,0.0006362880564426901,0.006188507611864525
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0021516180627602225,0.8400128846473603,0.0007779652019391652,0.01105068838934661
37,sett_model,sett_scale,,,,,,,,0.001965942961221516,0.003962072623095039,0.0006465607375056125,0.0009575574708814653
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.0019091100933341489,0.0968368380466714,0.0008495349094786409,0.0037856795758487456
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0018794108941096333,0.4131401929306451,0.0008219666500506669,0.00647033200304437
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0018289460388602,0.7743132840580051,0.0006916039324607036,0.008776342066528602
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0017508436822133808,0.385316243105899,0.0007341099689961376,0.005290641635406254
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.00174474629237574,0.3930741309313973,0.0004128731458102059,0.005329429291152859
42,sett_preprocess_income,sett_scale,,,,,,,,0.0017325517738904354,0.006402366075938032,0.0008008941567777986,0.0013277126812981613
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.001694127842950169,0.38641500219937985,0.0008135823660415473,0.005439229254624825
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0016621558313571635,0.39656131672803085,0.0006620720929499219,0.005687756813993488
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0016499295973141266,0.08742319483210037,0.0005483515391554513,0.004420518829339462
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0016027119028332458,0.7908094478257232,0.0007243990977014725,0.00963657220006747
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0015533257675713749,0.8324818598863164,0.0005751083102996637,0.010397598733492103
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.001490855603872375,0.7879090771337732,0.0007174501996502296,0.009774942694247796
7,sett_scale,,,,,,,,,0.0014733301909325915,0.0014733301909325915,0.0005791933179664552,0.0005791933179664552
