,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.37643543980602007,0.37643543980602007,0.010107934940608621,0.010107934940608621
16,sett_cutoff,sett_stratify_split,,,,,,,,0.2960418960477508,0.7534884587547361,0.015139023663647607,0.01919526732470132
0,sett_cutoff,,,,,,,,,0.0810111229009654,0.0810111229009654,0.006340061591276694,0.006340061591276694
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.006116906366225136,0.7650381834207323,0.0014405273616984533,0.01997853987579343
2,sett_exclude_features,,,,,,,,,0.0054986444567816034,0.0054986444567816034,0.0012923634857715627,0.0012923634857715627
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005340849086423732,0.08921987209333082,0.0021782812849558872,0.007893560110616971
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.004426339917592426,0.788096058569367,0.0029375888892049563,0.015224498381495212
3,sett_exclude_subgroups,,,,,,,,,0.004126434967460435,0.004126434967460435,0.0016205051235271993,0.0016205051235271993
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004029411701878199,0.7909097962113436,0.0017922810627883964,0.021706080593899342
25,sett_exclude_features,sett_model,,,,,,,,0.003705883974006209,0.009867755167713073,0.002518193885294369,0.003083600510069137
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.003536752431516667,0.09876204406879441,0.0017518523143986563,0.009512862589519368
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0033896828037722404,0.7672444643535581,0.000928038675083056,0.019948704536558066
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0031718130394968974,0.7648928592801838,0.0012226429094750347,0.01764248048913143
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.003110523473990159,0.7648892530479265,0.0011362174535177257,0.018367016939735192
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0030632260824912053,0.8250904166542837,0.002185041594156441,0.013860054457023678
6,sett_preprocess_income,,,,,,,,,0.002867900105941679,0.002867900105941679,0.001500989702654389,0.001500989702654389
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0028258335751493524,0.7838329870022238,0.0007609910693326015,0.018119040810772213
12,sett_cutoff,sett_model,,,,,,,,0.0028175498298240497,0.08449189946771471,0.0008346923566989914,0.006336027891871236
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.002594577006474586,0.012219656430716623,0.0009741263181166623,0.0025558014141278972
7,sett_scale,,,,,,,,,0.0025899657030621975,0.0025899657030621975,0.0009826363115214606,0.0009826363115214606
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.002571999216692732,0.7857907230100436,0.0010040034426760211,0.01489223090463324
36,sett_model,sett_preprocess_income,,,,,,,,0.0025246429771975977,0.006055769820064539,0.0009218057155390898,0.00215906550176232
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0023181700330314747,0.382880044806512,0.001062502620287331,0.008880435066228114
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0022769990218081924,0.8191400919222753,0.0009897115196718974,0.020357123367786875
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.002271423171360215,0.39195293740189174,0.001577319668143612,0.008763660538891915
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0022423358294531622,0.8225192970629951,0.0012288185940252337,0.01495103131845652
37,sett_model,sett_scale,,,,,,,,0.0022278656035872,0.005481058043574661,0.00109938245875472,0.001954681489488549
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0021993663723985507,0.3945989101659436,0.0012774826779344275,0.009167021065022976
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0021579069275095234,0.09606311017516869,0.0015459283232046534,0.009915235754144333
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.002157573602684212,0.38146091351464595,0.0008448518500706132,0.009457990476167548
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.0021311268411034322,0.09851523749688613,0.0007356294952694739,0.004024081814711428
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.002110548582105648,0.020291591520391672,0.001432723529544728,0.0060152805723529155
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0020872889085271264,0.11230684831832113,0.0013173984882588466,0.014487267027658809
