,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.37324602197501644,0.37324602197501644,0.005549412647452673,0.005549412647452673
16,sett_cutoff,sett_stratify_split,,,,,,,,0.310771908459978,0.7642518095359047,0.007702902743176527,0.0103574162858073
0,sett_cutoff,,,,,,,,,0.08023387910091019,0.08023387910091019,0.002573762085360844,0.002573762085360844
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.007117710975258281,0.10456362460319928,0.001487150716826356,0.003926404399991161
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.006669899227476886,0.7783881692405057,0.0012069948451559908,0.011039581482949583
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005709820407104207,0.0892648290909461,0.0012938714959202194,0.0027657076335269493
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.005125659912704986,0.8028296484839385,0.00114098810053171,0.011725673686118364
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.005084771527783784,0.8106659215706281,0.0010570674776110341,0.010976634395553924
2,sett_exclude_features,,,,,,,,,0.004880507224995477,0.004880507224995477,0.0007335855810467006,0.0007335855810467006
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.004795564458150716,0.1271865106853205,0.0006995111440636962,0.005656033816039326
25,sett_exclude_features,sett_model,,,,,,,,0.00434195248840173,0.009963745017199113,0.0008722708920935905,0.0009233828667270526
36,sett_model,sett_preprocess_income,,,,,,,,0.00410118663851548,0.008163601525249094,0.0007243186322260256,0.0011268709410694779
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.004100850330071926,0.020710760725861914,0.0007774576506765636,0.002919488938021433
38,sett_model,sett_stratify_split,,,,,,,,0.0033865625786446618,0.377373869857463,0.000856240073446544,0.005741262783846223
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0033841618191057673,0.778081310991154,0.0013127262275616865,0.00945394143609515
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.00334919413406839,0.3918913795602657,0.0009281443351412446,0.006760345263696323
