,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3740614661823911,0.3740614661823911,0.005151121406558864,0.005151121406558864
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3049343709256428,0.7587215430675088,0.005344847538199944,0.007368482963281308
0,sett_cutoff,,,,,,,,,0.07972570595947481,0.07972570595947481,0.002761100166806105,0.002761100166806105
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007087380112784874,0.773184250553743,0.0012327209388492528,0.0076940357656410064
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.006669471960727246,0.8022143476243759,0.0014309180177002705,0.006855890074780455
25,sett_exclude_features,sett_model,,,,,,,,0.006058254485010435,0.01257543359672149,0.0013929037648721056,0.0015336345420942051
2,sett_exclude_features,,,,,,,,,0.005507910336672226,0.005507910336672226,0.0008049848790168409,0.0008049848790168409
36,sett_model,sett_preprocess_income,,,,,,,,0.0049895948392305114,0.00871870431914808,0.0010427346437636713,0.0013462964294397404
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.004620611730145373,0.10095173253342413,0.0011063587193503369,0.0038419820630977357
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0046020038960253515,0.08704755056037891,0.0009895452470642116,0.0024895099354705903
3,sett_exclude_subgroups,,,,,,,,,0.0041421080614499565,0.0041421080614499565,0.0006246790718174234,0.0006246790718174234
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0040506860314035754,0.8002497229064464,0.0007950873265439008,0.007825500352372243
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0037916790893481682,0.013441697487470351,0.0007051801750580243,0.0016122755498844822
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.003753950282428074,0.11980040237626753,0.0013891727326352705,0.007637689732404085
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0034693046248311906,0.3949742325161547,0.0011001169982518513,0.005011391507216085
12,sett_cutoff,sett_model,,,,,,,,0.003284706628630515,0.08401968136314417,0.0006943667842574658,0.002946782608247588
38,sett_model,sett_stratify_split,,,,,,,,0.003081351969779924,0.3781520869272099,0.0008337379659538158,0.004908969849057107
7,sett_scale,,,,,,,,,0.0029904682624638844,0.0029904682624638844,0.0006439370670126745,0.0006439370670126745
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0029011961993393107,0.01979051282936735,0.0009029898081691444,0.0036583054763348844
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0027953579912230846,0.7698993574185083,0.0007343382170839936,0.006962574109421963
6,sett_preprocess_income,,,,,,,,,0.0027198407048787416,0.0027198407048787416,0.0005910510998630678,0.0005910510998630678
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.002709277300944438,0.7702166697901415,0.0004453018083382213,0.006984979569140809
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0027041684683619276,0.09560794398212502,0.000733170858381929,0.0030113965180057975
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0026762191708209755,0.8357240212740131,0.0004994630313529269,0.007173875839124771
37,sett_model,sett_scale,,,,,,,,0.0026108540338439365,0.00661059107134665,0.0007184805892251618,0.0014300493787421284
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.002609454384905816,0.7687506543941063,0.0006614617730510002,0.0071715252246697505
42,sett_preprocess_income,sett_scale,,,,,,,,0.002569290014572138,0.008279598981914764,0.0008562702450964177,0.001543049435479152
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0024444745527613184,0.7898049358177603,0.000525956042670035,0.007264117863433664
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0023545348091635436,0.8373501854140016,0.0007983743512713945,0.007231837442673512
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0022663001845590067,0.41420722170079016,0.0005402619738854408,0.005712704215887377
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.002013975235800779,0.3932581499229948,0.0005164125901838667,0.00511785443916379
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0019543348749015968,0.3801579091187427,0.00036288572595905553,0.004918594465916937
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0019466652752659884,0.024049700806397116,0.0003981975535500696,0.0027338817767190563
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.001942404161628398,0.7888632314413986,0.0005037683979068941,0.00644733697577609
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0019299019665517264,0.8260260893458751,0.0005361736527377953,0.01117976384799639
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0019094530292912736,0.3892349803213946,0.0004422583838036564,0.005052958103659507
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.001786676142430954,0.3813560526614943,0.00037647866718153503,0.005151818616321084
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0016552516490646676,0.09832896771456473,0.000519668500127711,0.0029127233907210435
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0016034340498128888,0.8822702773358584,0.00039179848475992757,0.007081924417063507
30,sett_exclude_subgroups,sett_model,,,,,,,,0.0015938147836115158,0.0067451916201003,0.0003877605012946831,0.0009515883632555881
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0015241116796984333,0.3873664563268714,0.000440774639151581,0.0044491269528848555
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.001464004820784189,0.37824531170805403,0.0004603837666927888,0.005303525129749726
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0013873710266694731,0.8222769798413614,0.00036981974564493167,0.006540706992352308
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0013232140053401435,0.08519102802626491,0.0003374239283167866,0.002687983111107061
234,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0013164354753486321,0.4093901072909795,0.0005439964829625191,0.005531606139362285
302,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0011888205674645855,0.8103156508322682,0.00045057737259457273,0.007830377002965098
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.0011867042095154306,0.09676519154247398,0.00032237655289842656,0.002756863443303055
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.001149740522022742,0.8080654167256236,0.00029462528510505395,0.005248638662824629
97,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,,0.001092904936551967,0.019346422769009487,0.0003840372526330738,0.0020954712048710062
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.001089321930936209,0.781283469739449,0.0004597609171579622,0.007030545119375521
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0010878698806732552,0.0863214861768203,0.0004405085400058953,0.0027351203255082117
421,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,0.0010688206788618338,0.8636591201805723,0.00025360773364387426,0.0067542486945029925
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.001065041058680846,0.11440736711912551,0.0002202285294708926,0.0033777600465835765
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0010630721774691433,0.7824911408645892,0.00029380041047918334,0.006582011929325937
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.001050468446420475,0.7843782228327083,0.0003075537190311778,0.006034508551541156
222,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.0010500917273218251,0.03526909875626278,0.0003295258721258466,0.003603421896365182
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0010291729213487196,0.0921079911348945,0.0002448098724456325,0.0027105410587426127
