,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3784516449646659,0.3784516449646659,0.006387065261034446,0.006387065261034446
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3050438893904934,0.7631958254550832,0.005046909810552813,0.0077041444856724385
0,sett_cutoff,,,,,,,,,0.07970029109992405,0.07970029109992405,0.003326946222496887,0.003326946222496887
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007184056369970929,0.7782283315259906,0.0008388287960979442,0.007792498048687908
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.006618826742278643,0.10426378704535524,0.0013728873526681214,0.004597061879776816
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.005582102150625969,0.8037531487411039,0.0014918567224788827,0.009045057571211502
25,sett_exclude_features,sett_model,,,,,,,,0.005042869796509916,0.01077324597394063,0.0013643333330763663,0.001220537986882898
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.005010970240858989,0.12882536771447908,0.0010384739827414137,0.007125810327958977
2,sett_exclude_features,,,,,,,,,0.004978394680482303,0.004978394680482303,0.0008708472221638874,0.0008708472221638874
36,sett_model,sett_preprocess_income,,,,,,,,0.004696735203514323,0.009186673507049829,0.0009980036217015799,0.0012823104743249264
12,sett_cutoff,sett_model,,,,,,,,0.004523868355001916,0.08497614095187439,0.0009171798112063629,0.003405416280147312
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004234127341100796,0.08767237524761196,0.0011277534284985626,0.003093932298655626
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.003983213383934019,0.0991359818410998,0.0007648490189907813,0.0035357000264374695
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0039073298669761464,0.02281244162347336,0.0007918222315995788,0.002708895542086094
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0038636494002518744,0.7765471612128365,0.0010913618215340648,0.007110899419342678
6,sett_preprocess_income,,,,,,,,,0.0037379568065870963,0.0037379568065870963,0.0005958095394144201,0.0005958095394144201
7,sett_scale,,,,,,,,,0.0035900701674637086,0.0035900701674637086,0.0005342312203069059,0.0005342312203069059
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0034989679394389654,0.8084281138396205,0.0008498369650895327,0.008075988046283511
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0033865967693466866,0.3971498484917948,0.0008356332081683742,0.006989994313257763
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0033180876617642865,0.011546405588921982,0.0006320461277064626,0.0014316081754512555
42,sett_preprocess_income,sett_scale,,,,,,,,0.0032663845021848733,0.010594411476235679,0.0006512219670911337,0.0012220627749825318
3,sett_exclude_subgroups,,,,,,,,,0.003249923246675392,0.003249923246675392,0.0006116863634510332,0.0006116863634510332
37,sett_model,sett_scale,,,,,,,,0.002861983579798801,0.00720403524421092,0.0006952132949023564,0.0010716005570658718
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.002844932959673711,0.7935774869631856,0.00045926686497308616,0.006700435988778444
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.002761513570897317,0.8354754328653851,0.00048165208507202663,0.0075887805106907135
38,sett_model,sett_stratify_split,,,,,,,,0.0025725998489860465,0.3817762263106003,0.0004627459592288518,0.006195757700412795
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.002463077934712384,0.39642790215917245,0.0006237344793679656,0.007084033897198415
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.002397587282251444,0.7733841125831287,0.00041374417676161805,0.007898687632545252
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.002147208743585308,0.7717613663217455,0.0007234386005410828,0.007047669391632342
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0020339166706448905,0.39376043720116005,0.000906747040184458,0.005529822101237376
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.002009141051441924,0.41504392972471965,0.0004939941652869739,0.007579394945374694
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0020010127360166555,0.3837025809473579,0.0004682733615371101,0.006504829025379686
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0019657609348555658,0.3853958005800037,0.0005863738970973119,0.006794112284928868
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0019342467719174914,0.8402640340895746,0.0005762404327006691,0.010188182922835612
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0018241405710260948,0.020553331445276105,0.0005363608406995762,0.0022729393474908823
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0017547467593450948,0.790633269805394,0.00041794516378807823,0.006995940495317814
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.001640764039418411,0.39005586032458045,0.0005021568309286114,0.006349820861902589
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.001637099917344295,0.8401903430833733,0.0007790024259594263,0.010018693772468638
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0015156022098133882,0.38370520398106633,0.0003161722372695107,0.006076273812624222
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0013967195725971483,0.8825799981179535,0.00033118289676305066,0.007312519836907952
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0013896957801611443,0.7910606599955949,0.0006348678708855655,0.007019874868985735
30,sett_exclude_subgroups,sett_model,,,,,,,,0.0013879339918697019,0.005389838735493505,0.00035137381853005714,0.0009159297803017015
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0013249613705853438,0.09716891102990804,0.00046429766422689746,0.0034227317593149577
65,sett_cutoff,sett_model,sett_scale,,,,,,,0.00131769038800206,0.0933698236270442,0.0002871810239550946,0.003746203022197362
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0012533326746016593,0.8287706791058762,0.0003394971817687448,0.006268711006669241
302,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0012105034889261738,0.8116765534476384,0.0005101971865344206,0.010103766731924344
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0011802795522550449,0.8113790615760497,0.0004142410898576821,0.00642235878447515
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0011673961403849196,0.08411761048698436,0.0003196366175835814,0.0030271435646842823
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.0011477039997811155,0.09440834105946817,0.0002844396703291569,0.0028608157418392364
