,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.37180309081545615,0.37180309081545615,0.006508981089105111,0.006508981089105111
16,sett_cutoff,sett_stratify_split,,,,,,,,0.31166880170107825,0.7635373380835102,0.0069251635711377385,0.009181268643389043
0,sett_cutoff,,,,,,,,,0.08006544556697578,0.08006544556697578,0.002881653222001222,0.002881653222001222
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.0066369883048505475,0.776989599927439,0.0013519223862112047,0.010085217757356112
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.006361070693264919,0.8056505643892062,0.0018610305460425305,0.00900789468563931
25,sett_exclude_features,sett_model,,,,,,,,0.005775719933010799,0.011772824513057816,0.0014954757426495467,0.0020404807837060483
2,sett_exclude_features,,,,,,,,,0.005485194795801224,0.005485194795801224,0.0007411826655956866,0.0007411826655956866
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005083742615642238,0.1017250634736891,0.001167860381289275,0.004229474245295337
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004993199076602143,0.0877238468356981,0.0009391495230758121,0.003154566457935555
36,sett_model,sett_preprocess_income,,,,,,,,0.0047003576347089664,0.007877469611074928,0.0008293018053866032,0.0009895866798437798
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0037491049226234165,0.7742880873251755,0.0010166911613959382,0.008521370912330614
12,sett_cutoff,sett_model,,,,,,,,0.0037052066033940127,0.0842825619546156,0.0006323350150336105,0.0031427082038547253
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0037008248892998735,0.8041202302762653,0.0008835433361519385,0.011363395672932285
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0036748190778672293,0.11934258485866663,0.001181658032786025,0.006879928324149144
3,sett_exclude_subgroups,,,,,,,,,0.0034926056346841015,0.0034926056346841015,0.0004861778423300185,0.0004861778423300185
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0034538697869036495,0.8423826933723952,0.0009484479296451522,0.008866370147156823
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0034212087283846536,0.3920955231380865,0.0007212694871597306,0.006984038819636138
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0033705785323313218,0.012348378962816646,0.0007951303228542363,0.0016924700457875027
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.00313223428934675,0.7754681359703997,0.0008490189582827216,0.009317179070659067
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.002985128824473806,0.7955313682475386,0.0005706225544054897,0.009370611223927341
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0028274767099808144,0.09577906687489934,0.0009366572355501612,0.0035607887500197846
6,sett_preprocess_income,,,,,,,,,0.0026652021921201694,0.0026652021921201694,0.0005902823753362888,0.0005902823753362888
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.002662902343864927,0.01751145524097524,0.0008350521597105097,0.0023909346859039044
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0026162972998993676,0.39111598426705574,0.0008474190793604271,0.006213275227667564
38,sett_model,sett_stratify_split,,,,,,,,0.0025981571514384124,0.3749131577511403,0.0004310617316729964,0.006558680735741507
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.002500241929749492,0.3797885275410069,0.0005872458386612702,0.006293494255315932
7,sett_scale,,,,,,,,,0.002407285425242767,0.002407285425242767,0.0006017409111941399,0.0006017409111941399
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.00237929566550101,0.7750402459865209,0.00042769754449431394,0.008334974347596984
