,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3700394209678957,0.3700394209678957,0.005078173140675783,0.005078173140675783
16,sett_cutoff,sett_stratify_split,,,,,,,,0.31078337056135913,0.7586734663758071,0.008731291602594537,0.009879092119619754
0,sett_cutoff,,,,,,,,,0.07785067484655235,0.07785067484655235,0.0019169026980152312,0.0019169026980152312
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007461432390988537,0.7742763440328961,0.001058374364059843,0.010266361464622818
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.006239785556757376,0.10179526715780146,0.0010584557830539659,0.0026287663479117626
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.005668170036551776,0.8013219307462391,0.0014969585820376811,0.01106413547438935
25,sett_exclude_features,sett_model,,,,,,,,0.0053772759616605775,0.01121808874233027,0.0013194023636722483,0.0017136431063270146
36,sett_model,sett_preprocess_income,,,,,,,,0.005288680760685991,0.008789395255621356,0.0008411895912321912,0.001210328080321968
2,sett_exclude_features,,,,,,,,,0.005121703749534091,0.005121703749534091,0.000742021472107574,0.000742021472107574
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.004869934859723138,0.12463002020495738,0.0008696095604272773,0.004752160861823024
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004796497717427204,0.08542877802777933,0.0011598068483738295,0.0016830647729844561
12,sett_cutoff,sett_model,,,,,,,,0.0041189137814431655,0.08268869765913112,0.0005799629526244486,0.0020058724537887285
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0037094128952578544,0.02098572679611986,0.0008793054368847811,0.002962190875887683
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0036885785130936033,0.0954377895625111,0.0007640879694427732,0.0025500892441997283
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.003576701083762654,0.8038762699221684,0.0011045306385031044,0.009462207377712684
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0035659458071827634,0.39018215317248134,0.0008657072077549731,0.00542301242327564
38,sett_model,sett_stratify_split,,,,,,,,0.00330342245352162,0.3740619524525529,0.0005377336872472037,0.005145095868497569
37,sett_model,sett_scale,,,,,,,,0.0029324921952774948,0.006497810378733024,0.0005679179223257344,0.0009050381979223475
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0029140199867421397,0.01060413414387031,0.000525642511968154,0.0009372079165450747
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0028667189759760165,0.7712299793813377,0.0008608506104369641,0.009065151578395294
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0028620399894728693,0.7889246588245811,0.0006984360241053685,0.01046407735222335
7,sett_scale,,,,,,,,,0.002846209152319929,0.002846209152319929,0.00046159782726919375,0.00046159782726919375
6,sett_preprocess_income,,,,,,,,,0.0027816054637997637,0.0027816054637997637,0.000593276947474948,0.000593276947474948
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0027314221561796836,0.8326215466003828,0.0005511489072562161,0.012607093053238832
42,sett_preprocess_income,sett_scale,,,,,,,,0.0027082172976432266,0.008336031913762918,0.0007385251821180514,0.0014519078254278956
