,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.37337495336121423,0.37337495336121423,0.005847833961586177,0.005847833961586177
16,sett_cutoff,sett_stratify_split,,,,,,,,0.30516687801194364,0.7638774195080085,0.007259102648471089,0.011894800714333194
0,sett_cutoff,,,,,,,,,0.08533558813485062,0.08533558813485062,0.004269138262858854,0.004269138262858854
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007537946705439887,0.779683709830539,0.00121444258864928,0.011947387678018746
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.006889961437622731,0.11149512404016088,0.0011067399054352348,0.0038781420192236294
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005439257390133291,0.0944083837920201,0.0010703256453933351,0.004230512318697848
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.00526844646738318,0.1377879110009117,0.0008640789722133562,0.006031200036723839
36,sett_model,sett_preprocess_income,,,,,,,,0.005075123255347201,0.009434996705011117,0.0007120250134587031,0.0011604321885122784
2,sett_exclude_features,,,,,,,,,0.005038586007465521,0.005038586007465521,0.0007392891708216645,0.0007392891708216645
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.004784992705022405,0.8008014690168384,0.001359025730133865,0.012889783069532692
12,sett_cutoff,sett_model,,,,,,,,0.0043953203725431095,0.09045724369002148,0.00045986261341469985,0.004126488257807788
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0042965235166908455,0.02460178656589238,0.0009758511932263772,0.002859774534766377
42,sett_preprocess_income,sett_scale,,,,,,,,0.004231332870250473,0.011282507514475962,0.0009222845280586976,0.0015967836124628281
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0040720446450063195,0.7789558119199075,0.0021335933366168694,0.010909231010885293
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0038846145397604826,0.8125942165971379,0.001029623002093152,0.010753510141400455
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0037547294024183747,0.10655901891857239,0.0007913239028475794,0.004866289204613572
6,sett_preprocess_income,,,,,,,,,0.00363353826703618,0.00363353826703618,0.0008035529942120492,0.0008035529942120492
7,sett_scale,,,,,,,,,0.003417636377189309,0.003417636377189309,0.0005451129814326149,0.0005451129814326149
25,sett_exclude_features,sett_model,,,,,,,,0.0033045584831148398,0.009069479673208095,0.0007894847805294501,0.0013548665867881237
37,sett_model,sett_scale,,,,,,,,0.0032212970967506337,0.007365268656567678,0.0005658573874596287,0.0010038728872096712
38,sett_model,sett_stratify_split,,,,,,,,0.0031466880619198598,0.3772479766057618,0.0006261841693660812,0.005672769006765757
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0029228013912338527,0.01027210730695877,0.0005567259721652419,0.0011909155721203323
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.002406180643143719,0.38948083288773694,0.0006365609635435593,0.006069584101671485
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0023252994444092137,0.8262278556879715,0.0007277204749470703,0.014559090441003853
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0023125833634643845,0.7920783858085674,0.0009708193832139435,0.012674427727815294
3,sett_exclude_subgroups,,,,,,,,,0.0023107199082593954,0.0023107199082593954,0.0004937532886195449,0.0004937532886195449
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0020362814289546765,0.8461471847472095,0.0006142859764223162,0.010890818234578383
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.002018220106682839,0.7732091672789857,0.0004415849900695432,0.012056604223522952
