,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.37233588338130974,0.37233588338130974,0.004886811767871645,0.004886811767871645
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3079919611271772,0.7583378664469573,0.005390796687910288,0.007696116139449156
0,sett_cutoff,,,,,,,,,0.07801002193847052,0.07801002193847052,0.0026660254108986474,0.0026660254108986474
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007418925586664576,0.77340118191199,0.0008241270726297533,0.007622155696571245
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.00630119796271767,0.10221596217161166,0.0011405176852187788,0.004036243239919579
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.006262463027241585,0.799708829262943,0.001032025839241607,0.007491354148217237
25,sett_exclude_features,sett_model,,,,,,,,0.0054636177735713255,0.010918353413477945,0.001529177279586122,0.0016420350792189617
2,sett_exclude_features,,,,,,,,,0.004797561589430734,0.004797561589430734,0.000681937921207744,0.000681937921207744
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004753634121692396,0.08636060558787514,0.0009024473744753168,0.0030903661019101246
36,sett_model,sett_preprocess_income,,,,,,,,0.0045131266289551615,0.008767250207143272,0.0008137928930223272,0.0013728357063698955
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.004417540896247612,0.12646867685342766,0.000945114784524733,0.006403306725011215
12,sett_cutoff,sett_model,,,,,,,,0.004383857941587808,0.08305105393053422,0.0007744288976554233,0.0026841042056093534
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.003936848138130587,0.02299303912158491,0.0007583957268554406,0.0026360689262634046
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0037302117520614138,0.09801684303742392,0.0008607903354392105,0.003844904629542584
7,sett_scale,,,,,,,,,0.0036861630481688,0.0036861630481688,0.0005521814959425965,0.0005521814959425965
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0036791214102280907,0.390629932241206,0.0011422245752586288,0.005619258838756294
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0036683067139813576,0.8024195282865877,0.001017981891250979,0.00852877276046353
42,sett_preprocess_income,sett_scale,,,,,,,,0.003624067528751071,0.010907180104632094,0.000914090680441734,0.001598655741325972
6,sett_preprocess_income,,,,,,,,,0.0035969495277122236,0.0035969495277122236,0.0008239077665598528,0.0008239077665598528
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0035465642653901017,0.011574924094183585,0.0007746261052048863,0.001515940806432162
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.003365255978267924,0.7715328363878748,0.0007679680236087244,0.007886386618535053
