,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3733185941075771,0.3733185941075771,0.003923626213791882,0.003923626213791882
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3080208627977896,0.7583055413774308,0.008177643647087148,0.009721837572770991
0,sett_cutoff,,,,,,,,,0.0769660844720641,0.0769660844720641,0.0030507610258316575,0.0030507610258316575
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.00696167477112208,0.7730997225331044,0.0012793569597488316,0.010203015156052073
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005551981884674052,0.1007753960701445,0.0010006956898569125,0.0033705401425882615
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005492770143196624,0.08610339246701457,0.0007530921285725404,0.0035657252722737305
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.005488032439513623,0.7969201664577259,0.0018533777329602784,0.01148168361737754
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.004810523490909628,0.09875714848891523,0.0006249030249261182,0.003774780373719066
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.004774546560477364,0.12616795110442144,0.0009739174599202488,0.004734679658340614
36,sett_model,sett_preprocess_income,,,,,,,,0.004700276111879724,0.009398007161657018,0.0009485431975853903,0.0011381040532786304
25,sett_exclude_features,sett_model,,,,,,,,0.0046097116419065946,0.010139678113124839,0.0009706471257228552,0.0014068461833057777
2,sett_exclude_features,,,,,,,,,0.004476773273194799,0.004476773273194799,0.0006221841851116382,0.0006221841851116382
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0037391227044249586,0.772615850088336,0.0009759333021783973,0.009647235368333925
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.003680401472313385,0.8028291688097531,0.0010963197246205735,0.009817985292310042
