,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3763737209784599,0.3763737209784599,0.005120877923422881,0.005120877923422881
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3142242797762226,0.7708741403303645,0.004277602122684316,0.00470643845550331
0,sett_cutoff,,,,,,,,,0.080276139575682,0.080276139575682,0.0032727795364236607,0.0032727795364236607
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.006106889008218146,0.7842425485331235,0.0012173284073517616,0.004688636142738842
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005707641493610608,0.10328255930171498,0.001058390138222493,0.004632167981800495
2,sett_exclude_features,,,,,,,,,0.005112740106727419,0.005112740106727419,0.0006019231738632427,0.0006019231738632427
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004968426789493241,0.08841687520981871,0.000924777386413037,0.0036847309281922472
36,sett_model,sett_preprocess_income,,,,,,,,0.004853321179400452,0.008971167751499181,0.0007279735054550354,0.001361248537263667
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.004676177493200599,0.8070629106269033,0.001907779926409615,0.005078741650355438
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004674571057339286,0.8137036361764843,0.0014999482064486631,0.006130292762464254
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0046642842085278125,0.12528623703228334,0.0014083367623268048,0.008543165426651069
25,sett_exclude_features,sett_model,,,,,,,,0.004026756969821596,0.010085034804004273,0.0009408910057766605,0.0008795166175613165
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0035329722315478353,0.0984862445596624,0.0009511384980314614,0.0052389503139321225
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.003396278807321202,0.02084466309562366,0.000981357985188914,0.0040163655987270576
12,sett_cutoff,sett_model,,,,,,,,0.003359183691429947,0.08458086099456721,0.0003829703890054005,0.0036873600074903965
