,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.37586217143373346,0.37586217143373346,0.006651904166687054,0.006651904166687054
16,sett_cutoff,sett_stratify_split,,,,,,,,0.30951969442688926,0.7674657009245291,0.005502261272191119,0.008472423170676865
0,sett_cutoff,,,,,,,,,0.08208383506390636,0.08208383506390636,0.0033979917074333753,0.0033979917074333753
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.009490381950224901,0.785248736617641,0.0018121196433324856,0.007499756555528655
2,sett_exclude_features,,,,,,,,,0.005675432234278286,0.005675432234278286,0.0008992719971542781,0.0008992719971542781
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.0055573968308168685,0.8130958239114814,0.0012926027377067727,0.0074615265906742955
25,sett_exclude_features,sett_model,,,,,,,,0.004904471722632365,0.011281312393538877,0.001108156558627844,0.0015076250500211006
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.004875879513246082,0.10176133192747958,0.0010225997428033502,0.003194009246403312
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0044091614346023714,0.08945437030583583,0.0009151682813984081,0.0033317375844344205
38,sett_model,sett_stratify_split,,,,,,,,0.004365559762807733,0.38092913963316943,0.0009813140988062798,0.006344815555107235
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.004036737817010349,0.1221135495672425,0.0008870489097027116,0.005102674026811745
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.003799728153928231,0.39768618503825165,0.0007320441554558286,0.007025268601028914
36,sett_model,sett_preprocess_income,,,,,,,,0.0035039881283182688,0.007166770372273597,0.0009158774488438314,0.0009442976561233496
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.003427313993336157,0.810058090313714,0.0009532301610056694,0.00792549115144205
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.003312698320850576,0.09886556426839704,0.0009957538960119398,0.00402334184249015
12,sett_cutoff,sett_model,,,,,,,,0.003225685543451176,0.08601092904398576,0.0004924196684757572,0.003278517069512311
3,sett_exclude_subgroups,,,,,,,,,0.003099189326637237,0.003099189326637237,0.00046140399111692783,0.00046140399111692783
6,sett_preprocess_income,,,,,,,,,0.0029613738073271043,0.0029613738073271043,0.0006172731848801795,0.0006172731848801795
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0029048002371468923,0.018283856432853948,0.0006785471448197845,0.0026005237426148177
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0028801011766238773,0.776652980691041,0.0009551820684980042,0.008185091830203795
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0028732591106113174,0.01164788067152684,0.0006601781153764212,0.0012136424238358501
7,sett_scale,,,,,,,,,0.002801727223648921,0.002801727223648921,0.0006135026819216645,0.0006135026819216645
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0027426539030370595,0.8450223220752053,0.0006118668323452001,0.008171523943675051
37,sett_model,sett_scale,,,,,,,,0.002730959609639263,0.006234095269916407,0.0005065213260308738,0.001096296007003727
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0027165031686960557,0.7794140747900133,0.0007624353770196502,0.008020148836100112
42,sett_preprocess_income,sett_scale,,,,,,,,0.002679598990145277,0.008442700021121302,0.0007490299353686054,0.0014860401937459734
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.002654161321125896,0.8014461422158554,0.0007113941219313168,0.00719776273964845
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0025159340610939997,0.7786409529456886,0.000380365899725974,0.008392785939306818
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0023774132942432956,0.38391501696225505,0.0007577538665024788,0.006578969007163763
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.002257473234500222,0.41437296335687934,0.0007011894612746456,0.00818269722941191
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0021516057182254184,0.7966892739673783,0.0005739939970356924,0.0070560545143368136
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.002060268131226415,0.8372157307564473,0.0005891068877732726,0.00924249474276884
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.001920694129722243,0.389058126088304,0.0005034185900249159,0.006655508860452891
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.00190806331148598,0.3934339374558254,0.000471521933147887,0.006535606850033728
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0018269200400128829,0.3905102043269637,0.0005458194213220665,0.006402135675209394
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0016994869849016785,0.8439582703938583,0.00041982990034881843,0.007712629346612107
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0016384087448357916,0.3805997695052065,0.00029430388457734376,0.00666121021799006
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0016371167209784524,0.09940697489014153,0.00046035315314803217,0.003888889816920381
