,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.36905884467667954,0.36905884467667954,0.005198082439086674,0.005198082439086674
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3110671916071336,0.7596744956279439,0.004795806573013648,0.009413111325244103
0,sett_cutoff,,,,,,,,,0.07954845934413077,0.07954845934413077,0.0033033871587884217,0.0033033871587884217
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007106872844044758,0.7751033473621096,0.0009935203369092187,0.00884514774199792
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.006098702703347055,0.8013109226419127,0.0018024957933720758,0.009187034130376531
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005920652915879186,0.08790284756896061,0.0008462852274350709,0.0036651861318081893
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005750185540197784,0.10403672185516942,0.0010611105842402273,0.004010961622213366
36,sett_model,sett_preprocess_income,,,,,,,,0.005348955154785724,0.008805772425070541,0.0008650536042792567,0.000995824314675084
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.005291775524415081,0.12869368615984247,0.0008229635612840733,0.005118672710211208
25,sett_exclude_features,sett_model,,,,,,,,0.0051236427055302465,0.011212632605226888,0.001551796979215737,0.0016148275910985886
2,sett_exclude_features,,,,,,,,,0.005065907938362471,0.005065907938362471,0.0005842351920412646,0.0005842351920412646
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004296914929946247,0.8061692434056914,0.0008093176402520901,0.008854019667709705
12,sett_cutoff,sett_model,,,,,,,,0.004011651629891127,0.08458319293535607,0.0005941596267354912,0.0035218613026755854
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.003946287542770017,0.09898951874472217,0.0007146022929427176,0.0043373141880684645
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0038037075039594652,0.022160929026329285,0.0005464341768243639,0.0018016619156069236
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.003383355527401312,0.011639107364293473,0.0006275771332874509,0.0016136944382727926
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0033719410412573455,0.3887361955618793,0.001236237336236389,0.005219236223895838
38,sett_model,sett_stratify_split,,,,,,,,0.003287245298895693,0.37336917193690944,0.0007990877120427937,0.0048728897080751125
42,sett_preprocess_income,sett_scale,,,,,,,,0.0032823532122339153,0.008880482296131316,0.0005384164053507681,0.0011981466937696754
