,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3760135472788564,0.3760135472788564,0.0050417895737588,0.0050417895737588
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3140822872822462,0.772193954199383,0.006012774675389011,0.007998578971015649
0,sett_cutoff,,,,,,,,,0.0820981196382805,0.0820981196382805,0.0028408098009741613,0.0028408098009741613
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.00717590991751905,0.7869538253671731,0.0010160457290359147,0.008831576227017406
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.00585857116701144,0.10515536115638031,0.0014186336290247464,0.004717890592857395
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.005663975594446129,0.8106323515660919,0.00158207365672441,0.009027478266708118
36,sett_model,sett_preprocess_income,,,,,,,,0.005116061577796907,0.008736384260095792,0.000766072327936027,0.0011971770928447458
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005109045176427591,0.0898460583776668,0.0007337906263436812,0.003323867598407468
2,sett_exclude_features,,,,,,,,,0.004849831933446438,0.004849831933446438,0.001020135924167192,0.001020135924167192
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0043306592674825185,0.12712597842904444,0.0012443881748088503,0.0067881260983899344
25,sett_exclude_features,sett_model,,,,,,,,0.00423399726097371,0.010065258313760317,0.001083144983109732,0.0015475868874243385
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0036681334083922402,0.02146729247079802,0.0007603444791673278,0.0019765705753110093
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0035155800123545886,0.7846625585728575,0.0012583187975461945,0.007740591806137972
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0034853720985054057,0.8156938139090726,0.0011194900644446218,0.00963282510135805
12,sett_cutoff,sett_model,,,,,,,,0.0033532409145649944,0.08643278967218565,0.0005736906623404824,0.0030735767258744167
