,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.37857712939324495,0.37857712939324495,0.006178035536122568,0.006178035536122568
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3053319756357431,0.7666961418218045,0.00816394463276871,0.008682994921202227
0,sett_cutoff,,,,,,,,,0.08278703679281635,0.08278703679281635,0.0033768574059148473,0.0033768574059148473
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.0072868914112573235,0.10874767583725738,0.0009701177702278744,0.004256240067811663
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.006886130380989037,0.781162406102738,0.0009566252683954257,0.00903837288381022
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005756587013556873,0.09262044522513922,0.00112967484414667,0.0037691508688897186
2,sett_exclude_features,,,,,,,,,0.00518632049259476,0.00518632049259476,0.0007875733978908406,0.0007875733978908406
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.004988441386785666,0.8042253110912481,0.0015465043120321514,0.009885053290487633
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.004810042577193731,0.1338021149594625,0.0010290751989320496,0.006513779701173409
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.004455716709583684,0.10458896351432156,0.001207186590243174,0.004716093433525967
36,sett_model,sett_preprocess_income,,,,,,,,0.004190715494249974,0.008909866865750609,0.0009013335798093962,0.0015255692427809686
6,sett_preprocess_income,,,,,,,,,0.004076821418766023,0.004076821418766023,0.0010435964876081233,0.0010435964876081233
12,sett_cutoff,sett_model,,,,,,,,0.004007293753876231,0.08743666049942718,0.00050344112478458,0.003478621193807848
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0038075301313567397,0.8133397281716739,0.000991813338324968,0.006539290289605518
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0037905370264544715,0.02287553251461838,0.0008536247290825488,0.0033561424186465635
25,sett_exclude_features,sett_model,,,,,,,,0.0037325166212919406,0.009561167066621312,0.0009008587072700534,0.001210262185841885
42,sett_preprocess_income,sett_scale,,,,,,,,0.0034338961736200225,0.010835069088295821,0.0008571025489617409,0.0020675085239023135
37,sett_model,sett_scale,,,,,,,,0.003416880952883502,0.0073835624015278906,0.0007467343878052509,0.0012458901291454833
7,sett_scale,,,,,,,,,0.0033243514959097773,0.0033243514959097773,0.0008292740275256198,0.0008292740275256198
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.003256432749993948,0.7815031260336587,0.001901347848178131,0.006991726899872052
3,sett_exclude_subgroups,,,,,,,,,0.0032073210926845427,0.0032073210926845427,0.0005859625565624417,0.0005859625565624417
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.003024854535034877,0.8343058770171994,0.0011675460920685962,0.010809183482675028
38,sett_model,sett_stratify_split,,,,,,,,0.002930510193333789,0.38214996953931335,0.00049780206270678,0.00621827676031913
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.002823350450769007,0.7964673112334446,0.0008125511032657892,0.009189914244265443
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.002793596488626687,0.7776236794405929,0.0007875157765416063,0.009539716903499898
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.00275476674195793,0.011148408327237232,0.0004032477426802057,0.001281826145862043
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0022334798330380643,0.39523863213746646,0.0004445409566112071,0.006985909069714937
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.002085200820217419,0.39421985030208423,0.0007491551873013486,0.0062187147188505045
