,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.37047552953727714,0.37047552953727714,0.004938569457480604,0.004938569457480604
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3045057213981641,0.755027305278388,0.008950223120290953,0.009615680541526195
0,sett_cutoff,,,,,,,,,0.08004605434294665,0.08004605434294665,0.0023027107175430856,0.0023027107175430856
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.006160590233840912,0.7683213566727125,0.0009364759146223814,0.01015013990617324
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005620990537571763,0.08856695675556306,0.0010826378720565663,0.0027814840360962036
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005456136136825553,0.10359971569089307,0.0008678205030285658,0.003157179374407122
36,sett_model,sett_preprocess_income,,,,,,,,0.0050210877892450535,0.009003009692307726,0.0012627895408175809,0.0016048986029690046
2,sett_exclude_features,,,,,,,,,0.004951722665562104,0.004951722665562104,0.0008279100718300014,0.0008279100718300014
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.004750276715947985,0.1257803239628313,0.001459934779798678,0.0066370262361865025
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.00471027831110217,0.7922603250239749,0.0015512597044537596,0.011201681691103714
25,sett_exclude_features,sett_model,,,,,,,,0.004687785940878538,0.010721518634458662,0.0011978850026306469,0.0014189371513778004
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0043382436762413774,0.799111396615446,0.001433030021625084,0.008823085374164964
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.003659425634590421,0.021392695717994008,0.0012045352598619738,0.003763163203236189
12,sett_cutoff,sett_model,,,,,,,,0.003473524981241389,0.08460158935220605,0.0007312127826722433,0.0024921800180258
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.003408455301737558,0.09806574240939935,0.0008679887453647143,0.0037229614677358105
7,sett_scale,,,,,,,,,0.0033762368871312846,0.0033762368871312846,0.0007181307571069282,0.0007181307571069282
