,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.373709154945965,0.373709154945965,0.004775210156681048,0.004775210156681048
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3066115877652999,0.7611970583898977,0.00776062077250076,0.009432800970092988
0,sett_cutoff,,,,,,,,,0.08087631567863267,0.08087631567863267,0.0036104885146561847,0.0036104885146561847
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.006688941799753534,0.8009725493990492,0.0022356303406020454,0.012646382998448934
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.0065824763152439215,0.7749803383155434,0.001128104394618284,0.010160320029320106
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005974011841593612,0.08973834091296529,0.0013262218636732107,0.003429325511432689
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005536455345559913,0.10406779335612501,0.0009844010463488334,0.0038564120580651786
2,sett_exclude_features,,,,,,,,,0.005053239808316585,0.005053239808316585,0.0007632220533180177,0.0007632220533180177
36,sett_model,sett_preprocess_income,,,,,,,,0.004535059934437233,0.008176424509711715,0.00085867310803945,0.0010665004596078515
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.00451628981171551,0.8055134520024215,0.0009698140907847845,0.008526588188636715
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.004318470264132207,0.126268910006228,0.0010162550245135457,0.00597256687679278
25,sett_exclude_features,sett_model,,,,,,,,0.004266341952918688,0.010072932943770742,0.0008800986602676064,0.0011675237321545698
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0036392979069574992,0.021234880703781243,0.0009147021867497816,0.002961463788894165
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0035505125373823812,0.775444182285475,0.0013297436148008203,0.00828089717189609
12,sett_cutoff,sett_model,,,,,,,,0.00350458598062711,0.08513425284179524,0.0006703619773060262,0.0037195076795598224
