,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.37821061585009774,0.37821061585009774,0.0034495491062776886,0.0034495491062776886
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3105915470094456,0.7720486429517142,0.0068995381475045895,0.008756286824662115
0,sett_cutoff,,,,,,,,,0.0832464800921708,0.0832464800921708,0.0027643816790364857,0.0027643816790364857
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.0065239859768049125,0.7854000778271557,0.0011243468557996295,0.009208469459186422
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.006260064837068077,0.8124549376729194,0.0017284883731403505,0.011564277973338574
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005582037286328145,0.10523765000214705,0.001028934479775823,0.0032976465437221897
2,sett_exclude_features,,,,,,,,,0.005245109721574262,0.005245109721574262,0.0007548704975200928,0.0007548704975200928
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004896762450931844,0.09206597438128362,0.0008437185776541991,0.002674990390501171
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.004843537632456625,0.13031494031189905,0.0009155340735615802,0.005526009879979003
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.004415473244274673,0.10478832097044505,0.0008511180711817901,0.0032202488991798298
36,sett_model,sett_preprocess_income,,,,,,,,0.004274957528831251,0.0087399614715965,0.0010344070373959821,0.0015131411360651337
25,sett_exclude_features,sett_model,,,,,,,,0.004199494660132284,0.009986876486290801,0.0012480380686250828,0.0015752747593174646
6,sett_preprocess_income,,,,,,,,,0.003922731838180995,0.003922731838180995,0.000730288866273015,0.000730288866273015
7,sett_scale,,,,,,,,,0.0037641482195704054,0.0037641482195704054,0.0005679818095847744,0.0005679818095847744
42,sett_preprocess_income,sett_scale,,,,,,,,0.0036413262620998026,0.011328206319851203,0.0008027286076613333,0.001791010584500599
38,sett_model,sett_stratify_split,,,,,,,,0.003512768092932673,0.3822656560476147,0.0007674053837348174,0.0034637668354930485
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.00347251883917992,0.022451323668142273,0.0006694637860638099,0.00343567995159461
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.003434964859304915,0.39787545523266676,0.0008302851533117168,0.0048097999721002024
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.003423594018022445,0.8135397730558913,0.0008180823340530649,0.007801360808632164
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0032898201705908103,0.7852864016288723,0.0014983552676140054,0.00687417139921315
37,sett_model,sett_scale,,,,,,,,0.0028333688756956433,0.007139789199850305,0.0005288027546121336,0.0010603509556930478
12,sett_cutoff,sett_model,,,,,,,,0.0027724087011197795,0.08656116089787483,0.00047858149458744425,0.0028688915621724272
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0027302299440406463,0.38618595551571266,0.0007290052630043237,0.0036608711307814673
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0027094233950794872,0.783701394172676,0.0004936414798471287,0.009229179454036496
