,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.37791878297344295,0.37791878297344295,0.00503990358310862,0.00503990358310862
16,sett_cutoff,sett_stratify_split,,,,,,,,0.31014593239103205,0.7675049778420082,0.004537580233299978,0.006311691455591476
0,sett_cutoff,,,,,,,,,0.07944026247753326,0.07944026247753326,0.002929513031425436,0.002929513031425436
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.00762445118646835,0.7825530520232347,0.0010756598050741257,0.0060922283590392175
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005663629487944796,0.1028454298113489,0.0008980236208618893,0.003667429137638649
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.005469419853654879,0.8082384403772186,0.0015944369511046723,0.007153459559016644
25,sett_exclude_features,sett_model,,,,,,,,0.005419163487760806,0.01116073751384743,0.0010297122410843037,0.0010935108405169388
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005289836536322644,0.08843845124227981,0.001078549432457302,0.0027777438145554553
2,sett_exclude_features,,,,,,,,,0.0051287541244261735,0.0051287541244261735,0.0007069739038085124,0.0007069739038085124
36,sett_model,sett_preprocess_income,,,,,,,,0.004564932543446949,0.008886104673531296,0.0007516371029343815,0.0011455763495284701
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.004563497693389693,0.10059510216039605,0.000932507256069832,0.003443346179290216
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004422297145445543,0.8118036392665507,0.0011221971351276286,0.0071771390906198345
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.00433546621799501,0.12713565840974803,0.000725905482446091,0.0052704727404105515
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0037176344358457857,0.022226265955729074,0.0009489635269017895,0.0028452555320320674
6,sett_preprocess_income,,,,,,,,,0.003708352228423897,0.003708352228423897,0.0005898611469459373,0.0005898611469459373
42,sett_preprocess_income,sett_scale,,,,,,,,0.0035724378684255697,0.010528971044370353,0.0008881310143155495,0.0016969959871251331
12,sett_cutoff,sett_model,,,,,,,,0.0035655966360169083,0.08361867901521061,0.0006795886892835089,0.0032894147493795025
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0033115726202386864,0.39750021385278417,0.0007966947030253345,0.004515918626947621
7,sett_scale,,,,,,,,,0.0032481809475208862,0.0032481809475208862,0.0007801741682252703,0.0007801741682252703
38,sett_model,sett_stratify_split,,,,,,,,0.0032452064570808225,0.38177680933218416,0.0006966805338302348,0.004961251404740678
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.00297416598271864,0.7975008418469517,0.0007647556452610862,0.0060048126538290855
37,sett_model,sett_scale,,,,,,,,0.0028019080304055354,0.006662908879586872,0.0006116731048356237,0.001041570828102623
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0027771435591328296,0.010676154722349023,0.0004700382752226085,0.0012525011779142012
3,sett_exclude_subgroups,,,,,,,,,0.0027702570387900197,0.0027702570387900197,0.0005884484533523752,0.0005884484533523752
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0026859181596279812,0.7801924186773634,0.0008141674537299454,0.006118912792704742
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.002378793119824303,0.843267904919778,0.0005867516866537274,0.005494748667629557
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0023397572466209676,0.836699752719081,0.0007558148107846836,0.00823694259075485
