,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.36618463689632885,0.36618463689632885,0.005587059765560617,0.005587059765560617
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3101896608952809,0.7581587875306035,0.0072786878075063845,0.010696196269408972
0,sett_cutoff,,,,,,,,,0.08178448973899383,0.08178448973899383,0.0025322258203690352,0.0025322258203690352
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.0072051142514055425,0.7737782011690426,0.001039512418070898,0.010142417511003015
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.005828239934831229,0.7968364954407937,0.001686661873954657,0.009888243992905115
36,sett_model,sett_preprocess_income,,,,,,,,0.005552989592594948,0.009030645238492268,0.0011310085675354774,0.0011195761024865689
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005454599827218853,0.0897523051962102,0.0010335838018321905,0.0026492741431860295
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005312626271998303,0.10582355515337424,0.0011258817982443688,0.0040751812138550515
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0043837524306960755,0.13051231723609683,0.0010761430401364865,0.006823061465962681
12,sett_cutoff,sett_model,,,,,,,,0.004241194076671001,0.08699012383156463,0.0007836242705071405,0.002794413249566212
2,sett_exclude_features,,,,,,,,,0.0041938169983806225,0.0041938169983806225,0.0006043289737561978,0.0006043289737561978
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.00409663889482975,0.10198832759881026,0.0010083225847624072,0.003727372980403984
25,sett_exclude_features,sett_model,,,,,,,,0.003968728712643765,0.009126985726924174,0.001051017982209091,0.0013123294371685506
42,sett_preprocess_income,sett_scale,,,,,,,,0.003853593022014123,0.009773460807115913,0.0011537546678673865,0.0014301040235908434
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0037621563454396266,0.023006594736971978,0.00087153981971816,0.0032161067673206443
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0035774940385578068,0.7716897526469829,0.0014048960425605014,0.009826742565556502
7,sett_scale,,,,,,,,,0.0034066521551042606,0.0034066521551042606,0.00045554412529970166,0.00045554412529970166
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0032255154976476184,0.8033408874890272,0.0007144882741545422,0.009982568539674644
38,sett_model,sett_stratify_split,,,,,,,,0.003208665294462783,0.3703577422066914,0.0007835211099333279,0.005393478233214606
37,sett_model,sett_scale,,,,,,,,0.0029535479759217023,0.007324640146925752,0.0005724043120635088,0.0009395443142621013
3,sett_exclude_subgroups,,,,,,,,,0.002869158718900933,0.002869158718900933,0.0005601298152764822,0.0005601298152764822
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0028623122248452844,0.8262331747004634,0.0008320378332274537,0.009843576430486172
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0026929610461824596,0.7676725484164532,0.0006536616287293535,0.010320540274228055
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0026786313991028227,0.009741607116384379,0.0006870597800597527,0.0013105060109464316
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0025545547716904708,0.7665257864109969,0.0007804808721537517,0.010346553486100703
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0025427230368939564,0.38260233805132954,0.0005698069603540118,0.00529945353764145
6,sett_preprocess_income,,,,,,,,,0.00251321562999753,0.00251321562999753,0.0005633256834375732,0.0005633256834375732
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0023658733657780607,0.7883634126097743,0.0009500257250425649,0.009902139163033551
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0021785660528758186,0.783964052818789,0.00048173495866047093,0.009538371619269837
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0019856556206051916,0.3706835081469315,0.0006281769518558506,0.005889304210375496
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0019405898413643327,0.3823501928912534,0.0007017818576013573,0.005620042923612197
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.001865195066571164,0.8349562738281641,0.0006814809659806363,0.011068345185658267
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0018482178915761281,0.3809927955385705,0.0005410932946975876,0.0052559084556918515
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.001833708039797045,0.8321128538491493,0.0007707495801285373,0.009586221238191533
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0016790065375613453,0.3707328021527911,0.00043955878706617444,0.0054335030327446925
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0016438715021297253,0.37798193857895224,0.00036919942951840464,0.005192586654120546
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.001631418742018811,0.39773569737054437,0.00045726790422657515,0.005071457169656877
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.001576929777531913,0.8233111514633833,0.0004372940716541979,0.009240732647260606
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0015393270967198327,0.3719177809914293,0.00047581885504026844,0.005714767625517259
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0014924803143419921,0.7867583926095929,0.0005974467659227409,0.009503995729046538
421,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,0.0014377782402681077,0.8555508133240927,0.00046545453039467124,0.009059501605354847
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.001437388936993872,0.8724002843395269,0.0004681370373687173,0.009971012610187553
30,sett_exclude_subgroups,sett_model,,,,,,,,0.0014321596136688433,0.005265758348469565,0.00038478163579849144,0.0007941144231497356
65,sett_cutoff,sett_model,sett_scale,,,,,,,0.0013532829280651325,0.09558274522130764,0.0003438890235640227,0.0031518275728092153
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.001350894914256215,0.017457830372852992,0.0003575751410419402,0.002434427657446605
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0012642788522405648,0.08591792731013533,0.00029026783588807905,0.0025296382305215683
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.0012190901783876804,0.09509712163057318,0.0002869438458698039,0.002921972739218368
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0012048417015324232,0.09744516698868816,0.0004199132670511587,0.003003598818150936
315,sett_cutoff,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,0.0012044904543018113,0.8063303097439942,0.00038647639047547223,0.010453781396142984
180,sett_cutoff,sett_model,sett_scale,sett_stratify_split,,,,,,0.0011268411623517975,0.7851501331485288,0.0003443952376102779,0.010198412677734185
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.0011140130758515482,0.7781017465397488,0.00044532269755653164,0.01011018482816377
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0011130700491211692,0.7822569899437016,0.0003450703903119777,0.009311690069320571
321,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0011003441484519817,0.8119188952366434,0.00038337557851686867,0.009900758120385178
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0010876557445667423,0.08706596248194118,0.0002930625899502039,0.0025719656630129686
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.0010709622097915049,0.007346773083796699,0.00036724574108785974,0.0008393099012673892
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.0010423364158753654,0.11007802515988227,0.000274550663756926,0.0040549783060092074
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0010172834754202456,0.8040646440104854,0.00038636275185954973,0.008116404953755717
4,sett_model,,,,,,,,,0.0009644400158997889,0.0009644400158997889,0.0002657115409944454,0.0002657115409944454
174,sett_cutoff,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,,0.0009538152206182107,0.7751619431418646,0.0004243387430483505,0.010360736209374506
299,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,0.0009284478806103503,0.7977855464996907,0.00035311920250178665,0.009007448162723843
312,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0009268756446077781,0.7961341360631317,0.0004341306651066554,0.010491996653522724
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.0009043669534364124,0.783290025144562,0.00028367269885330883,0.009295711686894643
427,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0008948832092286001,0.8467507996271015,0.00035273879882474426,0.010060977440113233
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.0008938148461107042,0.7601341598189647,0.0003507055985916055,0.010610607644613012
118,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,,,0.0008900168212515073,0.3765458407141975,0.0004613620342744039,0.005374197525610023
302,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0008802820978693162,0.804085197032294,0.00027034992007253067,0.01012049428423911
15,sett_cutoff,sett_scale,,,,,,,,0.0008791383306519247,0.08607028022475,0.00029309088311201134,0.00260004471913997
245,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,,0.0008715962983062319,0.3889451234894509,0.00047768206505447526,0.0052782633609926915
418,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,0.0008595135400326279,0.8400868508228876,0.0003588075973213848,0.011477760298268082
305,sett_cutoff,sett_exclude_features,sett_model,sett_scale,sett_stratify_split,,,,,0.0008589273632270586,0.8129517056608098,0.0002655786616636816,0.009770479364557135
365,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,0.000840972474998427,0.4145441840048101,0.0002647118362237647,0.00473088706273063
28,sett_exclude_features,sett_scale,,,,,,,,0.0008338500387335543,0.008434319192218438,0.00031015568263568924,0.0007415638234181472
432,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0008300855398534102,0.8386518324098655,0.000220146708769249,0.00981073129084179
143,sett_cutoff,sett_encode_categorical,sett_model,sett_stratify_split,,,,,,0.0008160935230596704,0.7760158265248994,0.00025711762220139757,0.010029932826948992
222,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.000789606698050706,0.028576739548549734,0.0003077728051167626,0.0029905133136141427
229,sett_exclude_features,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,,0.0007841561591522344,0.38979140430998516,0.0002781706975853839,0.004858489202146476
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0007763080787616759,0.09333202909513663,0.00021952106529556998,0.002972638419062578
284,sett_cutoff,sett_encode_categorical,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.000776171126284608,0.8089616003536867,0.000172765797961168,0.010041027691903742
434,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,0.0007695869810439446,0.8644381776807122,0.00027077132281264445,0.009624345737190168
364,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0007368364761325909,0.41539639998652456,0.00030181319654069415,0.005892905722030367
97,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,,0.0007268427956337602,0.01577991431564746,0.00027195699225005855,0.0012992846670993729
111,sett_exclude_subgroups,sett_model,sett_scale,,,,,,,0.0007220273256274058,0.013418948014914438,0.00024499904697183314,0.0012699918415290865
489,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,0.0007218700491173967,0.9305415101926666,0.0002552326407659476,0.005538021430622888
317,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0007198457371504801,0.7889568542162739,0.0002634755091271687,0.009345809618822136
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.0007187121478944411,0.11806933227198453,0.00027948655143699667,0.004680230610455128
429,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,0.0007159636482359669,0.8712351538875894,0.00022734817476738258,0.009852875671933884
182,sett_cutoff,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.0007024978868599932,0.7754032624599232,0.00020546504000899823,0.00975367516244117
