,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3732685717045617,0.3732685717045617,0.004463772644610026,0.004463772644610026
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3064558619056569,0.7604826857767429,0.005272939899473607,0.0067162539116450305
0,sett_cutoff,,,,,,,,,0.08075825216652424,0.08075825216652424,0.0032709779978603213,0.0032709779978603213
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.006556274223315605,0.7745430484940001,0.0006147103413713798,0.0062772126806822995
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005544985222614087,0.1030593333304801,0.001200871195765035,0.003112454228804187
25,sett_exclude_features,sett_model,,,,,,,,0.005321660740134324,0.011277901518714946,0.0013161148421858338,0.001787867860656203
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.005317829885768448,0.8002364857672647,0.0010579100159938276,0.005317295300169266
2,sett_exclude_features,,,,,,,,,0.005150770943234431,0.005150770943234431,0.0007848283790484993,0.0007848283790484993
36,sett_model,sett_preprocess_income,,,,,,,,0.004857868094066813,0.008382792866860857,0.0009013988408892911,0.0012127801341627537
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004641147053216717,0.08811885415718881,0.0006587563994423427,0.0032699397946402324
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0044894410166397055,0.1251305837344574,0.0013109762807374087,0.005356969293206156
12,sett_cutoff,sett_model,,,,,,,,0.0037321560212641904,0.08529587802313462,0.0005126565464421088,0.003299304092221997
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.003498081350921383,0.8013006479298215,0.0008228144871447463,0.005430038144254797
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0034659256752145855,0.09856581501354998,0.0007880037912576817,0.002818990613256366
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0034609554433338045,0.020749315579906683,0.0007981136678668671,0.002999434225213584
3,sett_exclude_subgroups,,,,,,,,,0.0034065305866573725,0.0034065305866573725,0.0005945171252991067,0.0005945171252991067
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0033456164062524514,0.3926636363477954,0.00079460459603548,0.004369763067249377
42,sett_preprocess_income,sett_scale,,,,,,,,0.0032012923271223445,0.009103030716306974,0.0009798243756053095,0.0018107383997512947
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0031877135707583694,0.011745015100650173,0.0006155623555310857,0.0017106625825610649
7,sett_scale,,,,,,,,,0.0031822834517367727,0.0031822834517367727,0.0006407221112404896,0.0006407221112404896
38,sett_model,sett_stratify_split,,,,,,,,0.0029664626373314337,0.37704050417723933,0.0005232428773495432,0.0044284097123619415
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0029269575886543063,0.83325054382608,0.0008342015578147637,0.007833028204977291
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0028837421017370458,0.79080366620248,0.000984588071713098,0.006413057963365676
6,sett_preprocess_income,,,,,,,,,0.002719454937447856,0.002719454937447856,0.0007297557052587748,0.0007297557052587748
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.002666846173441533,0.7697057402071228,0.0006997304886630754,0.006552009187205397
