,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3730802923936688,0.3730802923936688,0.005080570019998825,0.005080570019998825
16,sett_cutoff,sett_stratify_split,,,,,,,,0.309208269967527,0.7636248839984258,0.005028028608673151,0.0052666041803962095
0,sett_cutoff,,,,,,,,,0.08133632163722994,0.08133632163722994,0.0029686457435236656,0.0029686457435236656
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007338052716308629,0.7789341688848039,0.0009498032939831071,0.005891887054101952
2,sett_exclude_features,,,,,,,,,0.005779320100558162,0.005779320100558162,0.0006564790916572537,0.0006564790916572537
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005736538420372677,0.1041760773170721,0.0008103817238876047,0.003491758693326221
25,sett_exclude_features,sett_model,,,,,,,,0.005692815394637469,0.012346777201889848,0.001274278341281624,0.0010456634818685345
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.0051614594647793315,0.8060532567920382,0.001770418286341864,0.006015487192092628
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004825631877763078,0.0894075597736585,0.0005252855074536731,0.0029438539528090593
36,sett_model,sett_preprocess_income,,,,,,,,0.00460802138597787,0.008728269351337567,0.0006091514614372625,0.0010773239859682394
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.004098877128147738,0.1004428449738737,0.0009729909133862077,0.003679979788489126
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.004039691936879973,0.12631423127148045,0.0008863510061598169,0.005323567515311976
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0039027226471436893,0.807455336450011,0.0006168162071881195,0.006718998761679176
12,sett_cutoff,sett_model,,,,,,,,0.0035493160303688366,0.085760279374293,0.0006489029210541978,0.003198744445818765
38,sett_model,sett_stratify_split,,,,,,,,0.0035472744330065737,0.3775022085333696,0.0009087918946657824,0.005193356215076863
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0032574943668932173,0.3949756722491997,0.0008856995874262131,0.005263568595033684
6,sett_preprocess_income,,,,,,,,,0.003245606258665478,0.003245606258665478,0.0005747152015472491,0.0005747152015472491
7,sett_scale,,,,,,,,,0.0032244197685401444,0.0032244197685401444,0.0003405438944438115,0.0003405438944438115
