,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.37317764408253906,0.37317764408253906,0.005908430524533293,0.005908430524533293
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3074690106588127,0.7605014884180478,0.004891215229265827,0.0060286569764987485
0,sett_cutoff,,,,,,,,,0.079854833676696,0.079854833676696,0.0022435530926777467,0.0022435530926777467
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007424873109037398,0.7753750489496131,0.000733815776370829,0.0060109553115255615
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.006203204188569668,0.8033187361561196,0.0014626108824109868,0.007062085268972036
25,sett_exclude_features,sett_model,,,,,,,,0.005737512167609914,0.011921474740547007,0.0010381458273506761,0.001304956031131738
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005516759138760012,0.10328893515698853,0.0009014701243187422,0.002890065646626406
36,sett_model,sett_preprocess_income,,,,,,,,0.0052311459934426836,0.009674347742447707,0.0010152534903902402,0.0011871050997115233
2,sett_exclude_features,,,,,,,,,0.005076037636382286,0.005076037636382286,0.0008148896682824431,0.0008148896682824431
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.00492933534801745,0.127151924073819,0.0007703857486330732,0.004937300570247714
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004712302050263607,0.08790241253940984,0.0009193105473370501,0.0021038894334801
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0041691948960049605,0.8047553152828051,0.001179985147829233,0.007499790465049898
7,sett_scale,,,,,,,,,0.0036762396435614515,0.0036762396435614515,0.0008514537996706971,0.0008514537996706971
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0036361984283663764,0.09905273908582461,0.0007096258022101482,0.003498171942176102
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.003544435858091103,0.02329776544016886,0.0005007918905324598,0.0022410144581188644
12,sett_cutoff,sett_model,,,,,,,,0.003530692548821196,0.08449345116207202,0.0006001616109444682,0.0023938610519881037
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0034147850263665435,0.39331517754065626,0.0006164477749142995,0.00604943673667191
3,sett_exclude_subgroups,,,,,,,,,0.0033565314494293946,0.0033565314494293946,0.0005670864364715572,0.0005670864364715572
6,sett_preprocess_income,,,,,,,,,0.0033352768124502168,0.0033352768124502168,0.000703359533415222,0.000703359533415222
42,sett_preprocess_income,sett_scale,,,,,,,,0.0032943535462022196,0.010305870002213887,0.0008667810476641542,0.0013769500752742747
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.003132688680974895,0.8340744973737033,0.0008667307397222004,0.007053474768776021
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.003110563528346285,0.011543132614157965,0.000695852660759386,0.0017060775054697122
37,sett_model,sett_scale,,,,,,,,0.003108388649866378,0.007892553229982637,0.0007378716617939371,0.0013664356127157358
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0029316004894868273,0.7731615419644164,0.0007152923709734737,0.006074587204861553
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.002910787329198715,0.77148454307632,0.0005841325444195924,0.00536397600796612
38,sett_model,sett_stratify_split,,,,,,,,0.00281006993715197,0.37709563895624576,0.0005945803992461132,0.005659775059992686
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0027960818682455264,0.7904421206863093,0.0005028978279982998,0.006030796844751627
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0026068341235783877,0.7690939831411805,0.0009227841129370035,0.0058738767293701356
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0020735345493332227,0.836204390658198,0.0005429426417303126,0.008433115391867106
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.00206156893285044,0.7883681525735974,0.0006602313649258123,0.005063352778434909
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0020213277474501095,0.8399971390705979,0.0007944528197681423,0.009957315128841659
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0019912037540517516,0.380244885472973,0.000689167462069009,0.006092555784968692
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0018171394091895108,0.7875335413923576,0.0005815085920536243,0.006278736690822298
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0018064775906536865,0.38992143958196895,0.0004904321259476457,0.005753903663279703
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.001803112758615578,0.3891460487149224,0.0005760536213125645,0.005739998975080312
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0016808741941680702,0.3781937950891573,0.000491747075226587,0.005880632302523921
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0016740706357679389,0.40879374860838585,0.0005654188399403711,0.005910544059100772
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.001633257398109037,0.8253879941603937,0.00039838748662010586,0.007626958143120027
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0016051311656881601,0.09791715807039184,0.00046608753647498706,0.0023022139448777936
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.001457632822203128,0.8819200992936206,0.0003797006837637524,0.009531951176571902
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0014434162233336605,0.021129334648639187,0.0003667663128600664,0.00230303882968607
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.001402981540566529,0.37793715707253495,0.0003429041192108971,0.005657560929453322
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.001387181392649216,0.38453968204587374,0.00044747798355193233,0.0054132691506266675
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.0013125047222941717,0.09494164456134614,0.00041295117558349923,0.002123067135746384
30,sett_exclude_subgroups,sett_model,,,,,,,,0.001297348706982842,0.005761805092967046,0.0004036804654575039,0.0007544826654416485
421,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,0.0012562344029872934,0.8616885320331906,0.0004752046042596326,0.006422192783279949
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0012261476095585286,0.08443751273568394,0.00032969587817776165,0.002282311667331598
315,sett_cutoff,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,0.0012198999709570825,0.807283619723631,0.0005818296834973367,0.005510647461786828
234,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.001194670934539626,0.4083250674689062,0.0005696881963753241,0.006251054439341184
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.0011473991666663816,0.11180503452268889,0.00032437457569049484,0.002629356025597481
65,sett_cutoff,sett_model,sett_scale,,,,,,,0.0011305025144407676,0.09295211689822533,0.0003141927825484371,0.0031216979569220443
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.001111080631125955,0.7869970627281633,0.00040750282240076816,0.005782275909787457
4,sett_model,,,,,,,,,0.0011079249365548087,0.0011079249365548087,0.0002715041452105451,0.0002715041452105451
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0010330864292272756,0.8083369536299096,0.00033168814443272496,0.005509024853833488
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0010050259386394642,0.08593589725171775,0.00045544046837891247,0.00188834556020648
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.000993965045685788,0.09136744397372856,0.0003311572334707383,0.0025199707047093103
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.000979442549982003,0.7792372582845034,0.0002450997334735693,0.005556569983074593
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0009685604309359852,0.7838877790051273,0.00025663558678349355,0.006087029279335888
28,sett_exclude_features,sett_scale,,,,,,,,0.0009597663966606426,0.00971204367660438,0.00024102013707944794,0.0012358849811366954
