,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.36959989114022146,0.36959989114022146,0.006375705449499478,0.006375705449499478
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3068615831128333,0.7553970713316618,0.006375368973974323,0.007564825866518887
0,sett_cutoff,,,,,,,,,0.07893559707860692,0.07893559707860692,0.003263382396618554,0.003263382396618554
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.008403752612639207,0.7731367881239544,0.0010258276368252748,0.007286341773539829
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.006123168847865265,0.8007931132440211,0.0014870799319310845,0.00832790839118256
25,sett_exclude_features,sett_model,,,,,,,,0.005625527682887772,0.011614776404156826,0.0012890460903709896,0.001570404567904787
36,sett_model,sett_preprocess_income,,,,,,,,0.005049988504904058,0.00942675096365142,0.0012887742126819531,0.0021043128806642226
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.004935950156088099,0.10221122846935189,0.0009241524901206746,0.004604205827449789
2,sett_exclude_features,,,,,,,,,0.004924416776031587,0.004924416776031587,0.0005762057110414715,0.0005762057110414715
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004791393782983789,0.08703892137510061,0.0009440220482182228,0.0031448802855752202
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.004497711244722617,0.12547120155370467,0.001406890515271496,0.00729559412976221
38,sett_model,sett_stratify_split,,,,,,,,0.004149595746394316,0.3748143188318533,0.0006921841697312999,0.0060382741159144175
12,sett_cutoff,sett_model,,,,,,,,0.004121536488021658,0.08412196551186604,0.000566075502106323,0.003369127132309365
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.003582090026440065,0.023190966489824938,0.000994430869587048,0.0032557117916269074
42,sett_preprocess_income,sett_scale,,,,,,,,0.003522918689775705,0.010350015622515724,0.0008025437146502003,0.0014854355420657447
7,sett_scale,,,,,,,,,0.0035151664192301243,0.0035151664192301243,0.0006195893231294848,0.0006195893231294848
3,sett_exclude_subgroups,,,,,,,,,0.0034822997653601397,0.0034822997653601397,0.000794250991055959,0.000794250991055959
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0034361898109272868,0.09802652750044066,0.0010044981201267763,0.003430578215742975
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.003407693974089731,0.8005634783238147,0.0009876362305769764,0.007430595147558679
6,sett_preprocess_income,,,,,,,,,0.0033119305135098937,0.0033119305135098937,0.0007069434458647203,0.0007069434458647203
