,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.37447866086126097,0.37447866086126097,0.005917770160520669,0.005917770160520669
16,sett_cutoff,sett_stratify_split,,,,,,,,0.30739315818445534,0.7630995302678989,0.0065093493902237875,0.007997817771871274
0,sett_cutoff,,,,,,,,,0.08122771122218242,0.08122771122218242,0.002699789168483512,0.002699789168483512
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.0074057883826182044,0.7789148756060189,0.0009038980326084135,0.008130139318114788
2,sett_exclude_features,,,,,,,,,0.00604051439947428,0.00604051439947428,0.0006769981246658239,0.0006769981246658239
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.005695257468293144,0.8061365424401805,0.001302943277342074,0.009221092808786458
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005150092267840347,0.10461410457521618,0.0007999218852449854,0.003375821265981667
36,sett_model,sett_preprocess_income,,,,,,,,0.004964152268043649,0.009410694555212542,0.0007833765475093633,0.0011672684847894937
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0049535892517328945,0.08960912159025802,0.000614667390078119,0.002674727719762193
25,sett_exclude_features,sett_model,,,,,,,,0.004950824777101187,0.012010060347401649,0.001295890611411665,0.0016314447631047356
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.004415702023841797,0.1268193445585274,0.0007644902311420686,0.005477689573526594
12,sett_cutoff,sett_model,,,,,,,,0.003872017278247974,0.08611844967125656,0.0006089598051591169,0.0030132883301161612
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0037076137120254284,0.7765484684593293,0.0014713333982978997,0.006520315910102396
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0037020822229894895,0.022083961019054372,0.00097548175522323,0.002675144042622746
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.003692550879579268,0.8079753716309779,0.000729946143391522,0.005793716173911924
38,sett_model,sett_stratify_split,,,,,,,,0.003518818506427716,0.37901620053851487,0.00083067595251094,0.005950848672968931
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.00348240459013244,0.09939762459988385,0.0007988691389589906,0.003121969607937359
3,sett_exclude_subgroups,,,,,,,,,0.003449168446339838,0.003449168446339838,0.0005997248898479342,0.0005997248898479342
6,sett_preprocess_income,,,,,,,,,0.003427821116342711,0.003427821116342711,0.0008716249005628723,0.0008716249005628723
7,sett_scale,,,,,,,,,0.003228965632713133,0.003228965632713133,0.000435454871389965,0.000435454871389965
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0031213339066601866,0.3956547094397108,0.0006144507398841289,0.006419139406281317
37,sett_model,sett_scale,,,,,,,,0.0031175745569741106,0.007365261360513426,0.0008311959529232956,0.0011116557588316117
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0030140907705581825,0.836842693817268,0.0006108749668357478,0.009683198118116621
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.00271584002295193,0.012205522868766049,0.0005970591590569962,0.0013126210495090524
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.002667315818610575,0.7753342668367703,0.0005547089141552323,0.008130093752156347
42,sett_preprocess_income,sett_scale,,,,,,,,0.0026246440511650962,0.009281430800220938,0.0006181967759917384,0.001107335643281445
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0025472850175178776,0.7942214370275451,0.000485596113576228,0.007492318940723215
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0025258358179603055,0.3830450110786956,0.0004745386912774404,0.005832041254197268
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.002343016213273981,0.7720533342103225,0.0004440929465248309,0.007557122840016037
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.001921157189202844,0.41192013386708737,0.000489789654123886,0.006849656770173993
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0018668671179040905,0.8371619351616397,0.0005468499750537224,0.006406066226735459
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0018047624180652082,0.39057285045229595,0.000438860284513789,0.0058448659998256375
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0018022488834064658,0.3927822170690135,0.0005602578877279755,0.005944717070294126
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0017810415997893871,0.021346470372447593,0.0005086570711372073,0.002690670571025259
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.001769948637619724,0.3796977779452205,0.00042053288086009357,0.005739932167816665
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0017230473275635723,0.7916657395481135,0.00042405608101658186,0.007804057030333805
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0016766706440348562,0.841041222292185,0.0005400923093609759,0.0064373660991237066
