,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3693586972026589,0.3693586972026589,0.005425444632863488,0.005425444632863488
16,sett_cutoff,sett_stratify_split,,,,,,,,0.30455604002064146,0.755066919537223,0.003787844572635758,0.006450634631181923
0,sett_cutoff,,,,,,,,,0.08115218231392263,0.08115218231392263,0.0036923471939315517,0.0036923471939315517
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007342059887160985,0.7710368746386087,0.0010971893362719633,0.006777867153511363
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.006121099116103095,0.0903269867270711,0.0006719643059052668,0.0038626460748524983
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005728594064407416,0.1067842930738897,0.0007564081663540654,0.004168913775408562
36,sett_model,sett_preprocess_income,,,,,,,,0.005630462442516037,0.009846456423422512,0.0008423118156328983,0.0013895495277669746
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.005618342835469477,0.7955548564288881,0.001859102610062668,0.007479785066963213
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.005338491899443704,0.13224230968392597,0.0009967743352227538,0.005597916674064865
25,sett_exclude_features,sett_model,,,,,,,,0.005138091591789261,0.010969316094213085,0.001462066228563315,0.0019806315173802186
2,sett_exclude_features,,,,,,,,,0.004668935818562727,0.004668935818562727,0.0006843137688972377,0.0006843137688972377
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.004278080208422209,0.7701797227353882,0.0012768030174960354,0.006053212466087965
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.003939154890726776,0.8035472885164299,0.0010063390071720802,0.007264278072400292
42,sett_preprocess_income,sett_scale,,,,,,,,0.003937371767601386,0.010912556925714164,0.0007049133536903971,0.0015578192436946604
12,sett_cutoff,sett_model,,,,,,,,0.003935961156034072,0.08625043215381778,0.0005958641776335541,0.0035848435526953004
7,sett_scale,,,,,,,,,0.003921479861067398,0.003921479861067398,0.000765749351933402,0.000765749351933402
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.003655849063703474,0.1023383389755059,0.0006275268663936288,0.004266392935167418
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.00357612240296441,0.02453111031525771,0.0006426540249835329,0.0030329950727688466
38,sett_model,sett_stratify_split,,,,,,,,0.003529645374329664,0.3740506312608496,0.0007443927063657716,0.005725861966393406
37,sett_model,sett_scale,,,,,,,,0.003249679860202004,0.008333448405130499,0.0006793750975660931,0.001494823982516666
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0030792467458921773,0.010437793671394477,0.000764790705134591,0.00166000880508546
6,sett_preprocess_income,,,,,,,,,0.003053705297045379,0.003053705297045379,0.0005856811000880489,0.0005856811000880489
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0028544741209338893,0.3882373157045269,0.0008993318986232519,0.005742652574728762
3,sett_exclude_subgroups,,,,,,,,,0.0026896111069395733,0.0026896111069395733,0.0005846016668333232,0.0005846016668333232
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0026547938443024005,0.8235170800663585,0.0006600104880721705,0.008489883954658715
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0024238560537278696,0.7646157300831091,0.0009738499488368309,0.006532108883769294
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0023238475310850383,0.83574436551932,0.0005674536787443135,0.007135452365632884
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0022908251205329784,0.7842104118911579,0.0007432274703017483,0.006027764131980415
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.002234032530621102,0.7863589812357474,0.0010423260253749076,0.006448393370064384
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.002099399282005786,0.38649411685901125,0.0006313190818882131,0.005971165071100602
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0020634772309082615,0.7799309073173872,0.0004356352755461254,0.005758814012340861
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0019090680682969144,0.8372604444249248,0.0003709783189747419,0.008174514265395607
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.001847404186264418,0.7622233327087453,0.00037488092895049255,0.006057906185248275
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0017510785065471541,0.38456089248267633,0.0004983880154631103,0.005092437287369814
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0016599185765944417,0.37407232107629873,0.00048456636127383823,0.0052362925070425295
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0015548604304753072,0.8752038973507728,0.0003885111161112697,0.007521695489702492
30,sett_exclude_subgroups,sett_model,,,,,,,,0.0015402036958970453,0.005392103486697716,0.0005747693446265606,0.0011770410521509732
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.001525182912391396,0.375552815933613,0.0004367537943674765,0.005382420312993901
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0014881401896844585,0.3735364484992829,0.00034119735738057506,0.005161948495775524
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0014876836315016577,0.8222362244684691,0.00039992220728237533,0.006873449508608801
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0014395092059557302,0.40275457014819516,0.0003162055671463989,0.0063677271800589835
234,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.001379248869286191,0.40361213165967463,0.0003879195986326541,0.006180229877460633
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0013582626962005116,0.09834655802157444,0.0003774884568282052,0.0029725975725966693
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0013233769025041329,0.019601754545446014,0.0004068839717426376,0.0037208336089306756
65,sett_cutoff,sett_model,sett_scale,,,,,,,0.0012823701989913392,0.09520061363014107,0.00029691716804140545,0.0036517284919706148
