,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.37142961326598123,0.37142961326598123,0.005810665359209873,0.005810665359209873
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3063726066666637,0.7566208050111173,0.0074182019002068675,0.011180420536912716
0,sett_cutoff,,,,,,,,,0.07881858507847234,0.07881858507847234,0.0035808609691630536,0.0035808609691630536
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.007882024460602315,0.8017940246295543,0.001401256293968922,0.010363946291962469
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.0076221802842636474,0.7718079225541545,0.0010832621523432524,0.010502103990208973
25,sett_exclude_features,sett_model,,,,,,,,0.006026429058102638,0.012174341994062051,0.0016228181318680833,0.0020076741698714174
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005385157746799701,0.1013928028766283,0.0011114642871893148,0.0045565602289147225
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005370169289287069,0.08711648261415614,0.0013626182774023833,0.0036864279093258624
2,sett_exclude_features,,,,,,,,,0.005203111347665023,0.005203111347665023,0.0007569785501861755,0.0007569785501861755
36,sett_model,sett_preprocess_income,,,,,,,,0.004494148001354732,0.00836667783604585,0.001170704915085821,0.001124261531923887
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004297148989935242,0.8009262621639016,0.0009382563881306078,0.011703586627031012
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.004215397477860505,0.8397668778635854,0.0010742237307712283,0.008448081050925269
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.004194687387699937,0.12332013571657582,0.001254334777832613,0.008753976733713713
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0037784821677808744,0.3924956705568041,0.0009702470049447586,0.006063385263574376
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0037487198934542734,0.7904280874292329,0.0009947576536682749,0.009429046008828433
3,sett_exclude_subgroups,,,,,,,,,0.0035338383563378265,0.0035338383563378265,0.0008201109863732076,0.0008201109863732076
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.003491295757642188,0.09803156152406799,0.0009720929709270134,0.004922865954050826
12,sett_cutoff,sett_model,,,,,,,,0.0034522129260233323,0.08321559959279007,0.0007440947160094574,0.0034413480162968123
7,sett_scale,,,,,,,,,0.003403193842313629,0.003403193842313629,0.0006272411322887989,0.0006272411322887989
42,sett_preprocess_income,sett_scale,,,,,,,,0.00338354190369056,0.009714463992400918,0.0008154311651036186,0.0021388596935615453
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.003366474556887095,0.012103424260889945,0.0007022846914974079,0.0014969802725263773
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0032441767631948945,0.020627866925664026,0.0010793656624412276,0.0035983129497864077
38,sett_model,sett_stratify_split,,,,,,,,0.0031679227444558243,0.37554233759873146,0.0005067644082596438,0.005717854749908203
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0030560823470200896,0.7667206516059208,0.0007240492033586545,0.010590090207211718
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0030471210548939217,0.7695471768390933,0.000678291745628085,0.011641223346011073
