,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3723775087674378,0.3723775087674378,0.005161287725554605,0.005161287725554605
16,sett_cutoff,sett_stratify_split,,,,,,,,0.30612210566070636,0.756427104976616,0.0048272961441537,0.006963136640539719
0,sett_cutoff,,,,,,,,,0.07792749054847177,0.07792749054847177,0.003060801960095647,0.003060801960095647
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.006535363981443101,0.7704244369224216,0.0010725363704501578,0.007527812382009837
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.006148964885011135,0.08702811527065563,0.0012125160861926226,0.003118847324767941
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005710729008733817,0.10251932546279181,0.0007875557749309959,0.0037151429902240736
2,sett_exclude_features,,,,,,,,,0.005235671394466346,0.005235671394466346,0.0007584952967729083,0.0007584952967729083
36,sett_model,sett_preprocess_income,,,,,,,,0.005070091577982724,0.008875532695557235,0.0014655526212944319,0.0015688911588677586
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.005050661189504775,0.7939956083840849,0.0016458342047085555,0.009532132295774135
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.004952071771102311,0.12657815331803485,0.0009454187441455043,0.004809699222447097
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004227358808803929,0.8009216353192714,0.0008135232244387118,0.008030563227003748
25,sett_exclude_features,sett_model,,,,,,,,0.004018920411234356,0.01010837308610249,0.0011312781366275594,0.0009250371813719391
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.00397082531959286,0.0984821423053642,0.0008388447760151785,0.003069941560309596
12,sett_cutoff,sett_model,,,,,,,,0.0038566083250178578,0.08263788015389142,0.0006324961346698121,0.0031071833718334507
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.003569144216363578,0.021751056275383717,0.0008868267936123226,0.0031841015780892552
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0034801438752533158,0.7864784247157746,0.0009779050491893423,0.008142927075855563
7,sett_scale,,,,,,,,,0.0034614758996838507,0.0034614758996838507,0.0005584656716149918,0.0005584656716149918
