,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3705311671814512,0.3705311671814512,0.006171993519139075,0.006171993519139075
16,sett_cutoff,sett_stratify_split,,,,,,,,0.30246010639498455,0.755553659284993,0.009032039872977194,0.012409806253414665
0,sett_cutoff,,,,,,,,,0.08256238570855709,0.08256238570855709,0.002377219858529252,0.002377219858529252
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007714825657163159,0.7726775741827068,0.0013029792253295446,0.01198948987927742
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.0064056703608877715,0.7993628934879015,0.001980611095999918,0.012270766394257183
36,sett_model,sett_preprocess_income,,,,,,,,0.005847231524128202,0.010036608125334611,0.00120612287680964,0.0017182665110851757
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005660154112682218,0.10716716436470011,0.0010208231167366673,0.0043064284257648905
2,sett_exclude_features,,,,,,,,,0.005141594703043482,0.005141594703043482,0.0007063677812479578,0.0007063677812479578
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.005126815481300751,0.13120929020879424,0.0006936114441475338,0.005122070840042905
25,sett_exclude_features,sett_model,,,,,,,,0.005096100913176575,0.011503222563110992,0.0010163105661351217,0.001445344397494634
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004724864619673084,0.09021109998254564,0.0008974974486167172,0.0028894826392302417
42,sett_preprocess_income,sett_scale,,,,,,,,0.004270644971513558,0.010934313583409475,0.001079762844049593,0.001752688953987716
12,sett_cutoff,sett_model,,,,,,,,0.004183151798453109,0.08801106445390114,0.0005515080181463667,0.0027139474716368667
38,sett_model,sett_stratify_split,,,,,,,,0.003960410495206712,0.37575710462354883,0.0008934584136443003,0.00604930518214196
7,sett_scale,,,,,,,,,0.003739818957580446,0.003739818957580446,0.0005598252677246547,0.0005598252677246547
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0036234412829530237,0.8025072677060335,0.0008444948362757375,0.010652899592519381
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0034949590134373035,0.3914444518980007,0.0006769812131785949,0.006148099046329236
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0033859026216484164,0.024027309829017775,0.0006238395888212805,0.0028056167311298376
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.003367854117804172,0.7683414687082043,0.0016013570734537419,0.011093860601190136
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.003081292213814011,0.10183629903423391,0.0006355867126935006,0.003505846776434556
6,sett_preprocess_income,,,,,,,,,0.0029238496543154717,0.0029238496543154717,0.0007589105408770325,0.0007589105408770325
3,sett_exclude_subgroups,,,,,,,,,0.0028566686220802716,0.0028566686220802716,0.0005680771780030763,0.0005680771780030763
37,sett_model,sett_scale,,,,,,,,0.002594335152940743,0.007599681057412126,0.0004969232722510989,0.001006569355657572
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.002574603567380259,0.7872764085226098,0.0009202549065374094,0.012334153760432546
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.002552135763139541,0.8278949000568794,0.001043595815381142,0.013266707810939943
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0025100680883916324,0.010508331413515386,0.00044360461847147564,0.0011234913381452194
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0024049957600431604,0.7657345540514505,0.0007939701584187518,0.011923725232933039
