,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3725507655183452,0.3725507655183452,0.0033380595198770125,0.0033380595198770125
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3097740625698045,0.7628565502576412,0.00273098541352748,0.004286517063217351
0,sett_cutoff,,,,,,,,,0.0805317221694915,0.0805317221694915,0.0018745097819079005,0.0018745097819079005
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007615205078064447,0.7793732818414152,0.0006768516850036129,0.0044609577679088006
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.006307815884772642,0.10641673386502293,0.0005535867827181291,0.0020903468894982557
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.006220702907857636,0.8073039661687484,0.000918964496067647,0.005051734104996249
25,sett_exclude_features,sett_model,,,,,,,,0.005819519673592026,0.012135176694795358,0.0008128933843871407,0.000861539175551766
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005790527607337689,0.08934875469533679,0.0005380819122604072,0.001986798095035134
36,sett_model,sett_preprocess_income,,,,,,,,0.005440050669801343,0.00941400097822106,0.0005406761386559252,0.0006868069028542734
2,sett_exclude_features,,,,,,,,,0.00536821163129119,0.00536821163129119,0.00045800304927702437,0.00045800304927702437
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.005130354940679296,0.13282272708528559,0.00047292677903345437,0.002873507884544767
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.004608735076483936,0.024992549602466305,0.000540158513949918,0.0015641568630608278
12,sett_cutoff,sett_model,,,,,,,,0.0043726672252000325,0.08585183478460369,0.00029305619502450916,0.0019310665379160734
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004347043971760285,0.8108683786085191,0.0008592805487064092,0.004583657033442129
42,sett_preprocess_income,sett_scale,,,,,,,,0.0038324551607794685,0.010487760567583555,0.0005503422826520545,0.001290487073016726
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.003761286530428856,0.39382156937924784,0.0005657486176316458,0.003962946149285283
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.003735726084752578,0.1011804640184076,0.0003382899716950397,0.002339715199382701
7,sett_scale,,,,,,,,,0.0036288004882965097,0.0036288004882965097,0.00041431074695486746,0.00041431074695486746
38,sett_model,sett_stratify_split,,,,,,,,0.003581413890597412,0.37707962479885476,0.00032152107496502075,0.0034411056276962035
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0035573037707746467,0.012097575629440492,0.0005004858607740479,0.0007547023601488082
37,sett_model,sett_scale,,,,,,,,0.0035085578986853317,0.008084803776893981,0.0003295162369931385,0.0006373649039046717
3,sett_exclude_subgroups,,,,,,,,,0.003172060227374655,0.003172060227374655,0.00036352692541824765,0.00036352692541824765
6,sett_preprocess_income,,,,,,,,,0.0030265049185075766,0.0030265049185075766,0.0004798847533452927,0.0004798847533452927
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0028325431718571174,0.7762851653869078,0.00046012404237941304,0.004342307673302509
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0025978401267757584,0.8380585920777169,0.0004804402386827298,0.004527662619782089
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.002433532758988018,0.39055606863339376,0.00046500460809667895,0.003640843031361104
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0023203601824537783,0.7938656174769037,0.0003980314828597465,0.003913536260412373
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.002263639585237811,0.773198975122224,0.00042776309352847284,0.004288394879416967
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.002026491477851597,0.7709986942935777,0.0004356623886725685,0.003943998348323384
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0019929337187151158,0.41191118545761846,0.0004719562028149211,0.004782620125938622
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.001977472579348228,0.022516952360218015,0.0003074176223616304,0.0014633605098594768
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.001971571111503096,0.38929679093023095,0.0003383193744682368,0.003407614742475337
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.001969074815918634,0.8435936477129289,0.00028967799484756263,0.004881668091664808
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.001814430532627337,0.8449045291075094,0.0003559571583847623,0.004967155485095468
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.001792926745080995,0.3797119038947174,0.00023852988005604629,0.0033095336900089162
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0017867503508718465,0.0997439633433316,0.0004911605494957702,0.0019142976415729195
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0017790394315641768,0.37735630986841695,0.0004359861351032826,0.003399196821065923
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0016812679815390724,0.3774040937272589,0.00029131941489216675,0.0035588609558784307
30,sett_exclude_subgroups,sett_model,,,,,,,,0.001674939087925128,0.005794444705211923,0.00022848652746822266,0.0005214633501741865
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0016001059537057694,0.38520799804939937,0.00027376518845598723,0.003767651757633203
