,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3733664884808603,0.3733664884808603,0.003599257383241231,0.003599257383241231
16,sett_cutoff,sett_stratify_split,,,,,,,,0.31130924801482507,0.7646690485093761,0.0021135323603660647,0.004307852937534126
0,sett_cutoff,,,,,,,,,0.07999331201369089,0.07999331201369089,0.0017708242748686273,0.0017708242748686273
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.0068246535098443525,0.7799603408099809,0.0006604256451971036,0.004153863553044876
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.006281654288807473,0.10481152491762184,0.0008108387696641568,0.0021446602848655054
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.0058664949580395885,0.8057871446234863,0.0011666883434906467,0.004081028004935727
36,sett_model,sett_preprocess_income,,,,,,,,0.005498063721445486,0.00916970666450362,0.0007222090296432987,0.0008270626990266443
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0051165751775859416,0.13075615569253296,0.0007437609540362815,0.00350516986533798
25,sett_exclude_features,sett_model,,,,,,,,0.005053826598297544,0.010645992983941189,0.0005320036381115819,0.0006404060788633147
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005020224556288644,0.08797294870366323,0.000322598097202548,0.0017942296439261022
2,sett_exclude_features,,,,,,,,,0.004879935576269206,0.004879935576269206,0.0003662586688120894,0.0003662586688120894
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0046051789177734455,0.02449575545590071,0.0006566107758818557,0.0016472085946250073
12,sett_cutoff,sett_model,,,,,,,,0.004346627394331216,0.08505217021739654,0.000333687129945578,0.0017143348902541157
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004165704029076651,0.8096898963804972,0.0006477028446481714,0.003891101147550524
7,sett_scale,,,,,,,,,0.0036089436617253324,0.0036089436617253324,0.0003651420709203845,0.0003651420709203845
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0036055795260576985,0.0993193431208928,0.0004751954411168502,0.0019411066830428256
42,sett_preprocess_income,sett_scale,,,,,,,,0.0035757324078372022,0.01014408820324623,0.0003209992970429067,0.0006751991286957967
37,sett_model,sett_scale,,,,,,,,0.0035361938040611085,0.00785736827516088,0.00022000493324582243,0.00048090270855257177
38,sett_model,sett_stratify_split,,,,,,,,0.003407780587054583,0.37748649987728927,0.0004759764201798911,0.00358760555108335
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0032238155056999915,0.011281454603258665,0.00038826002508850086,0.0006748979917332411
3,sett_exclude_subgroups,,,,,,,,,0.0031777035212894665,0.0031777035212894665,0.00027820057405508183,0.00027820057405508183
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.003145065068482945,0.39217621059333135,0.00044668046376270876,0.0037231590308574305
6,sett_preprocess_income,,,,,,,,,0.002959412133683695,0.002959412133683695,0.00033768522328368495,0.00033768522328368495
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.002735854827708436,0.8364872910784424,0.0004708647476255053,0.004506085304638015
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.002432269338907599,0.7746695352423396,0.0002479693259779114,0.0042652607099076985
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0022781768800042342,0.7765598950245239,0.00043493177807639476,0.004205655582529115
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0021513087774259754,0.4098981140475284,0.0003926874625373621,0.003928411474122775
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0021326832183692673,0.3900912615825509,0.00041758342714040623,0.0037043004688175596
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.002122260911880566,0.7730372513069683,0.00035737279567438056,0.0038806799239862032
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.00210390020749398,0.020850731306731922,0.000271994629015208,0.001242177460580182
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0020443844282910647,0.7943633026868517,0.00043896081072464016,0.0037678762014438844
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0019323247426675401,0.8417598960209981,0.0005288900808900539,0.004163189488772699
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0018932870160390273,0.3894702956936287,0.0003969193179483156,0.0038019081073700544
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0017609304557221843,0.09782426119247967,0.00029068443160597143,0.0016898205999362394
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0016997518070704077,0.3782439438092201,0.00032712586894693063,0.00331910148106766
30,sett_exclude_subgroups,sett_model,,,,,,,,0.001699319088307294,0.0055892534189711995,0.00021027995360745785,0.0004045775185496536
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0016466304330880453,0.7912158197673387,0.00032180943879524005,0.003962136313513688
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0016330329451711765,0.3779589335597151,0.00031305072662860217,0.003747739339354794
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0016108834729923719,0.3798573075301218,0.0003001077464651611,0.0037738781340315047
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0015334213285406418,0.3855966956224971,0.0003240021907991114,0.0032497765940293108
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0014464177733380756,0.7904402192506215,0.0003804289344419503,0.004158832992119512
143,sett_cutoff,sett_encode_categorical,sett_model,sett_stratify_split,,,,,,0.0014022047475012898,0.7830868854361288,0.00031640167790475534,0.004336915852745828
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0013684865573516639,0.08453950209233202,0.00030749615967122853,0.0016914003270518659
65,sett_cutoff,sett_model,sett_scale,,,,,,,0.0013402884582610556,0.09409373496305339,0.00017437254613727272,0.0018348862156236066
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.001310745455073411,0.8785326436186317,0.0002846408169743348,0.005021069533101847
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0012799022599517206,0.8398056424935819,0.0002678319537717014,0.004485705864291022
