,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.37438283770476527,0.37438283770476527,0.0031838615575409982,0.0031838615575409982
16,sett_cutoff,sett_stratify_split,,,,,,,,0.31260105726878595,0.7677293633427074,0.0016228855092969758,0.004162758311350361
0,sett_cutoff,,,,,,,,,0.08074546836915607,0.08074546836915607,0.0020435021520135523,0.0020435021520135523
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007097133055335101,0.7829324929201884,0.0006512956814845285,0.004079602679668282
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.006478892293954193,0.8097503674912017,0.000838817569887885,0.005055250772606004
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.00638651172785326,0.10633084398118847,0.0007642694707586249,0.002237976749838322
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005777088857006593,0.08971863653729513,0.0004340489476526411,0.002079050662733217
36,sett_model,sett_preprocess_income,,,,,,,,0.005512250947505931,0.00956660808077537,0.0005334103979085415,0.0006727559576428418
25,sett_exclude_features,sett_model,,,,,,,,0.0053589710630048,0.011265920885340161,0.0007318934402484517,0.0008414429163585416
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0050756450293438045,0.133472571875982,0.0005446893448859614,0.0029054707871818803
2,sett_exclude_features,,,,,,,,,0.005048672000198385,0.005048672000198385,0.0004981947396826471,0.0004981947396826471
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.004912185525327038,0.025747475330286144,0.0005331374905212354,0.0010974697833222625
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004184401995465619,0.8148861373939597,0.0005485062900764859,0.0037676624791535785
42,sett_preprocess_income,sett_scale,,,,,,,,0.004119110617392091,0.010957837062473786,0.0003446605639391252,0.0006921601035907535
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0039086550824381635,0.10201942136736648,0.0004269880976609996,0.0022219760495423182
12,sett_cutoff,sett_model,,,,,,,,0.0038551669463971847,0.08545891313769023,0.0002819795477935446,0.002101794298764853
7,sett_scale,,,,,,,,,0.0036426471339492334,0.0036426471339492334,0.00032614569891953126,0.00032614569891953126
37,sett_model,sett_scale,,,,,,,,0.003506923972842413,0.008007848928928625,0.0004084047366436473,0.0006111406131742898
38,sett_model,sett_stratify_split,,,,,,,,0.003392551753611813,0.37863366728051406,0.0005802387678688344,0.00311747337195189
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.003338455704138825,0.39412008350208555,0.0007242617295661467,0.003395758301933988
6,sett_preprocess_income,,,,,,,,,0.00319607931113246,0.00319607931113246,0.000446925412669956,0.000446925412669956
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.003186437531955453,0.7816281389909386,0.0005273448062015937,0.00391247611271778
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0030435814289403234,0.011086423017664257,0.000340170632867271,0.0008231470691788655
3,sett_exclude_subgroups,,,,,,,,,0.0029941695885255496,0.0029941695885255496,0.00031174285431315825,0.00031174285431315825
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.002655914814923354,0.8372066847688759,0.00046318328382533984,0.00577983985365821
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.002281554726060577,0.7959809507587738,0.0004968040665642885,0.004126040738806594
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.002141134138222541,0.7776206641776581,0.00028519876839413854,0.0041774208011232305
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0020224272424630664,0.8486219091257825,0.0004844377212839516,0.0043913666422982925
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.001998717695630589,0.39077205487441824,0.0003510050052506024,0.003236553482961696
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0019717041547151724,0.3910528716420045,0.00035984703990789453,0.0029745681882204244
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0019251819125924575,0.7752706768188926,0.00032479051372890933,0.00409522339549413
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0017979594495338993,0.8471101553687759,0.000425168007927773,0.0050027549750268985
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0017502546749647674,0.09857798811815854,0.00045377909498568546,0.002524272700343035
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0017403174542295157,0.3811718271591932,0.000285177871068626,0.0031548333559408373
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0017391699481368603,0.3793180869640346,0.00025642467126801887,0.0031204954992576856
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0016650098750891117,0.7968043067752082,0.0005452919296773104,0.004292318892106502
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0016138008356187375,0.7928660326293839,0.0002291974212816542,0.0040326531719803715
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0015958968888782825,0.40938211906199207,0.00029784776235300864,0.004264492650857019
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.001563759002128613,0.3789407662954194,0.00021612047611482997,0.0031638498151752895
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0015482198243614623,0.02007526972036744,0.0003089048270765958,0.0015597643483344391
143,sett_cutoff,sett_encode_categorical,sett_model,sett_stratify_split,,,,,,0.001541667766553535,0.7861821291699795,0.00023279380709677794,0.00402876536433959
65,sett_cutoff,sett_model,sett_scale,,,,,,,0.0013461885372089322,0.09458504477798267,0.00016967321427566973,0.002223512097431487
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0012943131382417298,0.38570928700260987,0.00034831431485288255,0.0033768391090666055
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0012746698569670563,0.8827021288867244,0.0002754100563171071,0.006052037076607774
30,sett_exclude_subgroups,sett_model,,,,,,,,0.0012233779931999382,0.005075825403862467,0.00026565193815070534,0.00040142982766365806
321,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0012176622759757232,0.8220860198940606,0.0002037494786644612,0.0037035179856493633
427,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0011785767245683946,0.8607075758618634,0.0003456083282772562,0.006026778477415782
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.00115573312740552,0.831887831104664,0.0003265091121040119,0.0034425863767257813
148,sett_cutoff,sett_encode_categorical,sett_preprocess_income,sett_stratify_split,,,,,,0.0011027415927688695,0.7846026037329679,0.00025661430372436527,0.0037071318731970145
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.001058202972938602,0.08479784093062022,0.00019426626330452105,0.0020468662959965437
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.0010479550153510804,0.09489922661741038,0.00018424093765534254,0.002201476597413321
421,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,0.001028005841990335,0.8639745717264135,0.0001748263032639789,0.006246338998499354
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0009611772423003649,0.08675531761165481,0.00020403587909349324,0.002211258667715111
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.0009037729353848937,0.11110516638175842,0.00013999253138824585,0.0028449628935139828
315,sett_cutoff,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,0.0008908207592452969,0.8128535301214226,0.0002012121110576171,0.004680773706400048
28,sett_exclude_features,sett_scale,,,,,,,,0.0008899736586280964,0.009581292792775715,0.00018636786416755376,0.0006953788084762849
302,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0008851567514668776,0.8154315777405543,0.0002038279335916904,0.005448296543318507
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.00087926074438287,0.7860408959471832,0.00022784262336582054,0.004029575956497392
4,sett_model,,,,,,,,,0.0008582778221369785,0.0008582778221369785,0.00013860527429044735,0.00013860527429044735
111,sett_exclude_subgroups,sett_model,sett_scale,,,,,,,0.000854536318194539,0.013890940465823584,0.00018418192709217108,0.0008884464715432805
487,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,0.0008534077889846006,0.9058553747681365,0.000148070193196316,0.006625135171810056
222,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.0008468031388873935,0.0320906608568161,0.00017606228736626901,0.001978499762043187
97,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,,0.0008344893457628747,0.017264540792979392,0.0001031705591169567,0.0009635433857786307
234,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0008316010478564948,0.4085426961857681,0.0002888062803839789,0.0034631045803229545
299,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,0.0008212099791846926,0.8054687138351185,0.00016655984684515283,0.00467180794641104
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.000811007636974931,0.007447824359449714,0.00017054672372589607,0.0004446345059279726
180,sett_cutoff,sett_model,sett_scale,sett_stratify_split,,,,,,0.0008071928086763162,0.7945345137706605,0.0002417690407462461,0.004390884452263033
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.0007964529951923158,0.793427390690498,0.00027944587663469096,0.0038275755902085723
432,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.000777215548606068,0.8433993621076219,0.00021870831200806215,0.003212589028646224
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0007755027459676819,0.7907292285963361,0.0002942510027551388,0.003547433022953221
174,sett_cutoff,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,,0.000759602397872279,0.78311067257538,0.0001968225055472161,0.0044747249336895304
365,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,0.0007467670583555143,0.42596252386864986,0.00014895569740201408,0.004620524457409808
305,sett_cutoff,sett_exclude_features,sett_model,sett_scale,sett_stratify_split,,,,,0.0007225321625493012,0.8255821410463666,0.0001912060340344745,0.005402187841270265
245,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,,0.0007202021871245351,0.39683504564212896,0.0001331917360033122,0.0036531821214268
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0007078985048980287,0.09144256219725234,0.00013002058365498156,0.002045628114816573
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0006847555762298501,0.8116774680931276,0.0002210676356000654,0.0035128968280102547
418,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,0.0006835005826172967,0.8469086974872845,0.00016908740504032358,0.006514067632691934
364,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0006747949449053457,0.4265733353651725,0.00016369500518334794,0.00453358622199142
284,sett_cutoff,sett_encode_categorical,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0006652499822615802,0.8224388305153616,0.00013939289219185182,0.0034408058008205704
