,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3745606515998513,0.3745606515998513,0.0029649312310171773,0.0029649312310171773
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3111648188119331,0.7650266023476473,0.0024687106621054506,0.0038680104434034037
0,sett_cutoff,,,,,,,,,0.07930113193586288,0.07930113193586288,0.0016277879946607092,0.0016277879946607092
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.006968445009746613,0.78058651838255,0.0004359726147275248,0.003385454740169172
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.006390084750721293,0.8081145303753645,0.0012831721926444696,0.004482826196935549
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.006049126441642472,0.104002885278048,0.0008284677116227375,0.0018159424493848083
25,sett_exclude_features,sett_model,,,,,,,,0.005589025538368344,0.01138798654273153,0.0005877162504025981,0.000723381231124644
36,sett_model,sett_preprocess_income,,,,,,,,0.005431458135757857,0.009506712728265644,0.0005905216523887212,0.0006917421141645565
2,sett_exclude_features,,,,,,,,,0.005189244493829995,0.005189244493829995,0.0005903887289161553,0.0005903887289161553
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004950645944805251,0.08771731596264273,0.00048536319050229514,0.0015652768736457942
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0047798119189798784,0.12962660111202087,0.000603073958332748,0.003227021174071087
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.004551925570142985,0.024910525265292957,0.000542071136402841,0.0016255145787084724
12,sett_cutoff,sett_model,,,,,,,,0.004195268227471752,0.08410611667386783,0.00046272137978378274,0.0015886900638964932
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004120466841653759,0.8108885697518196,0.0004904762571009588,0.003093894942571911
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0038501909808562017,0.012272874869429285,0.00025677673843040575,0.0006672104981699248
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.00379917141048337,0.3952047675246368,0.0006984489010363248,0.002825795828352411
38,sett_model,sett_stratify_split,,,,,,,,0.0037864862871511834,0.3789568543975357,0.0004682670686206603,0.0028066843254298318
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.003680269591479118,0.09920270772705679,0.0005180168798484466,0.0020003538624575722
37,sett_model,sett_scale,,,,,,,,0.0036554413488558996,0.007818391807094944,0.0003379463520868917,0.0005468478386993552
42,sett_preprocess_income,sett_scale,,,,,,,,0.0036432116703225747,0.010661983700003022,0.000495175312116351,0.0008889323547104148
7,sett_scale,,,,,,,,,0.0035532339477058524,0.0035532339477058524,0.0002543513958110015,0.0002543513958110015
6,sett_preprocess_income,,,,,,,,,0.0034655380819745957,0.0034655380819745957,0.000527811203716247,0.000527811203716247
3,sett_exclude_subgroups,,,,,,,,,0.003233439394743089,0.003233439394743089,0.0002128861358856529,0.0002128861358856529
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.002796165061201697,0.8396030532609425,0.00040567947796133153,0.0049309278326088776
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.002490102298462562,0.3926261660132393,0.0004366477219108279,0.0030951937147073137
