,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.37556727378718413,0.37556727378718413,0.0038043122362727147,0.0038043122362727147
16,sett_cutoff,sett_stratify_split,,,,,,,,0.31113738349001124,0.7675260089801912,0.002379850180571335,0.004660623158024376
0,sett_cutoff,,,,,,,,,0.08082135170299577,0.08082135170299577,0.0016231739087064945,0.0016231739087064945
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.006804491734690373,0.7825427781754491,0.0005536894542511129,0.004550819369562416
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.006255597100459934,0.10622745269239467,0.0007325056378885167,0.0019815595587892657
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.006103152642792523,0.8085555338674559,0.0012478195086834615,0.005321759190029286
36,sett_model,sett_preprocess_income,,,,,,,,0.005744035908253715,0.010082101146619522,0.000616616997944361,0.0006830595755514741
25,sett_exclude_features,sett_model,,,,,,,,0.0053076432284867685,0.011119042676569975,0.0009436474893667528,0.0010121981578970292
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.005082088477227966,0.13341044930175716,0.0007538711347048094,0.0030295996626122524
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004989689510917825,0.08925722823013645,0.0005335885165242999,0.0014765754674317159
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.004928837775507931,0.026499687915359664,0.0005532742723331362,0.0012964396695164943
2,sett_exclude_features,,,,,,,,,0.004919521225940245,0.004919521225940245,0.00029295868396416147,0.00029295868396416147
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004150862156190682,0.8128633138791992,0.0009498110301118447,0.00501498181723003
12,sett_cutoff,sett_model,,,,,,,,0.004078713231401613,0.08579194315654035,0.00027705311349348564,0.0015230604094729641
42,sett_preprocess_income,sett_scale,,,,,,,,0.004016619822009727,0.011369333291950584,0.0005564765586240417,0.0009336823651436894
7,sett_scale,,,,,,,,,0.00390652645371801,0.00390652645371801,0.00034452132242521145,0.00034452132242521145
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.003773168076315287,0.1014583990526216,0.0003341732081037582,0.0013774294928731005
37,sett_model,sett_scale,,,,,,,,0.003565602717504471,0.008364007393365444,0.0004271746080378586,0.0004559685142932481
6,sett_preprocess_income,,,,,,,,,0.0034461870162228467,0.0034461870162228467,0.0003536563055782215,0.0003536563055782215
38,sett_model,sett_stratify_split,,,,,,,,0.0032416860070229553,0.3797008380163501,0.0004560860414605273,0.0037916420816446316
