,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3752521069766699,0.3752521069766699,0.0031832661222660585,0.0031832661222660585
16,sett_cutoff,sett_stratify_split,,,,,,,,0.30850545224721004,0.7633194205758457,0.004109822022832827,0.006053392014622915
0,sett_cutoff,,,,,,,,,0.07956186135196575,0.07956186135196575,0.0015455668159618042,0.0015455668159618042
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007285854243996422,0.7794658934376681,0.0005733815281545549,0.006078665090184905
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.007038916735847443,0.8080263026599936,0.0009099152335016488,0.005654976058230577
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005986093525339357,0.10496846353488415,0.0007392399152137988,0.001751263619459367
25,sett_exclude_features,sett_model,,,,,,,,0.005930747607983157,0.012075367853000464,0.0007295769302314035,0.00089028651461758
36,sett_model,sett_preprocess_income,,,,,,,,0.005563326536584948,0.01003927523166782,0.000708788290982961,0.0008886040267317833
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005299816624259588,0.08832755122962654,0.00048716550429836285,0.0015697280071013777
2,sett_exclude_features,,,,,,,,,0.005134544803335658,0.005134544803335658,0.00031958682829062615,0.00031958682829062615
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0051268546361013505,0.13161168962955538,0.0006041953502374062,0.0027361016120924396
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.004640164659062013,0.02605376161009696,0.0005431930038105431,0.0017668648559575142
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004233620106993661,0.8100622268352402,0.0007862299590429975,0.005765734987538665
12,sett_cutoff,sett_model,,,,,,,,0.0040814168016516505,0.08465335359529903,0.00036871620485888143,0.0016674145857632928
7,sett_scale,,,,,,,,,0.003930418209907921,0.003930418209907921,0.0005018995332712618,0.0005018995332712618
38,sett_model,sett_stratify_split,,,,,,,,0.0037691263744928276,0.3800313087928443,0.0005693992183805882,0.0033243707305437515
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.003757349512140096,0.10028663494252749,0.0003980716615500154,0.001992683039873287
42,sett_preprocess_income,sett_scale,,,,,,,,0.003723165113995894,0.01111945657730504,0.0005811847982604711,0.0011142038187250479
37,sett_model,sett_scale,,,,,,,,0.0037207383954633117,0.00866123204705288,0.0003347976715433139,0.0006861278844789196
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0036690121961182984,0.3964235053481714,0.0006724422878123073,0.003340432589889447
6,sett_preprocess_income,,,,,,,,,0.003465873253401224,0.003465873253401224,0.000514323832103864,0.000514323832103864
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.003387833596953456,0.011815641415584218,0.00044774701460232637,0.0006189028756313006
3,sett_exclude_subgroups,,,,,,,,,0.003293263015295103,0.003293263015295103,0.0002869828000298263,0.0002869828000298263
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.002708707741902379,0.776281846553097,0.0004778959089656438,0.005733731944111395
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.002654387076987759,0.8377134147454277,0.0005124955273759934,0.006051041219371365
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0024112457127418723,0.7735251782529089,0.0003321996041895489,0.0062261847891255375
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.002361351662467237,0.7936630027784706,0.0004994532290963978,0.006389029711000872
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0020633304163113477,0.39260826535685633,0.00024059321104486628,0.0033910132935392194
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.002060514919558271,0.022369462222105303,0.00026844901539492555,0.0013920680292125844
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.00200253287490841,0.41408367225744924,0.00037410635762448306,0.004198507378945951
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.001946077070097539,0.8436319336309743,0.0004773590961974821,0.006693605839808837
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.001942796869261613,0.844890924899248,0.0004785539761607823,0.004850460941920154
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0018508672514026684,0.39239940419192126,0.00034107385400937337,0.003356220561081783
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0018192946004009143,0.3803646645923659,0.0003384744979344719,0.0034196632575408522
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0018036815947420684,0.7714159868850559,0.0002462829011887743,0.0062889282957076745
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.001770234083224304,0.7913814900806051,0.0004928314404958634,0.00596083239660615
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0017159750053133776,0.09843669622502693,0.0004367081920849572,0.0018277875906610689
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0016578919478899517,0.3820445437278954,0.00023810385737590615,0.0032166567574616707
30,sett_exclude_subgroups,sett_model,,,,,,,,0.001552482837298007,0.005855821294274758,0.00022125658497655328,0.00034372115875714974
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0014880283576881187,0.3802060085877592,0.00032948516857492547,0.0033050424461354123
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0014809146485523427,0.3881772638943907,0.0003653852585432802,0.0036671290799490863
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0014225679135569222,0.8834658950050207,0.00038537666196676384,0.0048269515875975465
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.001421961258169784,0.7894937306616758,0.00022534161802957096,0.006247744610264791
143,sett_cutoff,sett_encode_categorical,sett_model,sett_stratify_split,,,,,,0.0013797396932519275,0.7825409169952487,0.00027411528791776386,0.006122393510754364
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.001341054432407355,0.8283474124126315,0.00028994120899981924,0.005911473219549318
