,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.37177001297493883,0.37177001297493883,0.0030435651451646167,0.0030435651451646167
16,sett_cutoff,sett_stratify_split,,,,,,,,0.31355426217404114,0.7677861654240101,0.002362504365636694,0.002444839841688821
0,sett_cutoff,,,,,,,,,0.08246189027503004,0.08246189027503004,0.002241218637049908,0.002241218637049908
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.007291642375981995,0.7842454457661489,0.0006752373832914226,0.0025276273576698978
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.006605402641129056,0.10819253919614717,0.0005481731359289279,0.0024407473428206474
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.006400682465563244,0.8104783360501657,0.0007604257902804419,0.002985365234438508
25,sett_exclude_features,sett_model,,,,,,,,0.00563616416659588,0.011428976148947891,0.0004524277876202307,0.0005202160285929086
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.005262926289964636,0.13435316543595344,0.0006580806900297605,0.0033526501774125235
36,sett_model,sett_preprocess_income,,,,,,,,0.00516836696691822,0.009573364946731774,0.0006447121130869287,0.000643796422966504
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.00497851636533461,0.09087339681587481,0.0005151411320861957,0.0023206932292077964
2,sett_exclude_features,,,,,,,,,0.0048208041780486155,0.0048208041780486155,0.00037459876454059324,0.00037459876454059324
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004805504568588913,0.8150978090190367,0.0009250932817349884,0.003123106727049311
12,sett_cutoff,sett_model,,,,,,,,0.004573364967921696,0.08800726304725512,0.0003640457857212261,0.002321331319596134
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.004511537851641514,0.024849496243417746,0.0005161238066770725,0.001827678647267076
42,sett_preprocess_income,sett_scale,,,,,,,,0.0038401139194053735,0.010700543268632031,0.0004248574675244916,0.0008492552025947742
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.003682033084570315,0.1024073096050295,0.0004865361326211413,0.002440962172766547
38,sett_model,sett_stratify_split,,,,,,,,0.0036222651939317135,0.37636428597317395,0.0006182001585671844,0.002905025726547574
37,sett_model,sett_scale,,,,,,,,0.0034970403519225864,0.00789648732994248,0.00042785855248814853,0.0006214878368414906
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0034544758699382077,0.3919525239383568,0.0004442186340672319,0.002547931170477065
6,sett_preprocess_income,,,,,,,,,0.003432990175510159,0.003432990175510159,0.0003195357874074698,0.0003195357874074698
7,sett_scale,,,,,,,,,0.0034274391737164995,0.0034274391737164995,0.00036333585145988985,0.00036333585145988985
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0031900465724608263,0.011098760461887,0.0003347013101340004,0.0007138493418032336
3,sett_exclude_subgroups,,,,,,,,,0.0030879097113775578,0.0030879097113775578,0.0003010278731893483,0.0003010278731893483
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0027789726567748804,0.7801874796457455,0.0004618549706136373,0.002853029453828982
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.002587740215306186,0.8395725440482943,0.0004979319842397277,0.00346982476046335
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.00233997970305882,0.7984686868832183,0.0005612058970234284,0.002762662253617383
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.002156887073104154,0.7757295450899582,0.0005331348170614768,0.0022461294187282547
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0020764126329184942,0.7771746075201575,0.0003317624798077393,0.002154069386022386
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0020069870890011077,0.3881617393915654,0.0002566898588724512,0.0025799283059317214
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.001982010784854432,0.8474669876070948,0.00039155215515537014,0.004153670897270552
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0018717748545161055,0.3880482529942344,0.0003926845619825957,0.0030916675022514854
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.001853509179704872,0.7931825499697476,0.00042599543086577023,0.0018585745599497903
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0018026498128741976,0.40850185731061334,0.00021421787546769918,0.002393046683974603
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0017416529039567265,0.3843086495672649,0.00036519180245948526,0.0027089963169674653
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.00167679375060014,0.3782676109035876,0.0003929538719713011,0.0028561676632617005
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0016091851151382654,0.3764671078014547,0.0003014896511279507,0.0028976963845977624
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0016052863038294612,0.020817834600234127,0.00022857213790882227,0.0009538809672584741
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.001511636407091076,0.846394990101749,0.0004098197186408841,0.004402546168358335
30,sett_exclude_subgroups,sett_model,,,,,,,,0.0015056158636183878,0.005565533379299341,0.00021208544207853712,0.00045060236457042927
65,sett_cutoff,sett_model,sett_scale,,,,,,,0.0013552089571228399,0.09687127814147956,0.0002483528327392496,0.0022058505799009824
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0013531256857720437,0.10063178861225186,0.0002786424954651339,0.0027412161756886653
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0012252384096009625,0.7941892680410689,0.00026040073490973353,0.0033256562868502902
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.001210835024115891,0.37641383817456486,0.0002803663789764507,0.0030970565273731013
143,sett_cutoff,sett_encode_categorical,sett_model,sett_stratify_split,,,,,,0.0011616278543431081,0.7870526771057178,0.0002617401235265702,0.0023830258262148157
321,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0011580587092097792,0.8240341615382705,0.00025636945968904963,0.0038542857732369235
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.0011067999356162532,0.7890985476537865,0.00029911947396873056,0.0031179487628676564
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0010893977663282363,0.08663919775273583,0.00012298885842054378,0.0023108283512991603
