,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.37513204329140604,0.37513204329140604,0.00359955997903568,0.00359955997903568
16,sett_cutoff,sett_stratify_split,,,,,,,,0.31162941923335263,0.7686307989769998,0.0016042322740005522,0.003917396426181929
0,sett_cutoff,,,,,,,,,0.08186933645224112,0.08186933645224112,0.0018430378457257963,0.0018430378457257963
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.006747847393507185,0.7838364875408961,0.0007622008518173925,0.0037607646985415434
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.006667794349389781,0.10725829987125099,0.0009295445699683472,0.002100256713056138
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.006051700108210433,0.8093070080918452,0.0013256858159719817,0.004821711873679559
2,sett_exclude_features,,,,,,,,,0.005176327486802102,0.005176327486802102,0.00040588818353898054,0.00040588818353898054
36,sett_model,sett_preprocess_income,,,,,,,,0.0051449192387545365,0.009620482221225342,0.00045234937406660305,0.0005075540981313142
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.00509473862084325,0.1340126107293836,0.0007227704915175946,0.002750349182170433
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005049819872025253,0.09055702050550883,0.0005086012457098887,0.0018429692243244794
25,sett_exclude_features,sett_model,,,,,,,,0.005028343652444432,0.011042369940474889,0.0007861203188308369,0.0007126890073069268
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.004625339375253324,0.025534089567944715,0.0004461397216622636,0.001290492564708705
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004534002294627439,0.8149216995216108,0.000733269339992503,0.00385875624065867
42,sett_preprocess_income,sett_scale,,,,,,,,0.0043251166576968834,0.011630363121488373,0.0005456748875811328,0.0008636193720674942
12,sett_cutoff,sett_model,,,,,,,,0.004050866976369483,0.08675790222983897,0.0003501469749218184,0.002111599931801213
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.003734633972793571,0.10290373945509546,0.0002651096143394354,0.0016965958897907575
7,sett_scale,,,,,,,,,0.0036673822825490374,0.0036673822825490374,0.0003080650724324968,0.0003080650724324968
6,sett_preprocess_income,,,,,,,,,0.003637864181242452,0.003637864181242452,0.000332485114951922,0.000332485114951922
38,sett_model,sett_stratify_split,,,,,,,,0.0035692753927911605,0.37953901748542557,0.00045850431477931886,0.003366372483407791
3,sett_exclude_subgroups,,,,,,,,,0.003305847025042179,0.003305847025042179,0.00033850825920017375,0.00033850825920017375
37,sett_model,sett_scale,,,,,,,,0.0032957690312201272,0.007800850114997518,0.000284264365507012,0.0005399756591915477
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.003210431116845002,0.011692605628689283,0.0003950590494944544,0.0005282911471523946
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.002956042151209498,0.39429283335769977,0.0006669071273083855,0.0030532731167005247
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0028528221474095157,0.7816721945261427,0.0004694400415459287,0.0037086743136410887
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0025721350797771074,0.8392531298728705,0.00042664442555919607,0.004773616945488697
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0025406537387798345,0.7987703991361607,0.0005882471835788024,0.003589028711260913
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0024295740120308207,0.7788169814955197,0.0003025901754219087,0.003872484359376461
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.002203692185756617,0.848588544899848,0.00039163231463990446,0.0050555289805638065
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0021722140974106264,0.3923925555135862,0.0003958177745306487,0.003406839010084379
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0019178020601637049,0.411994857766546,0.00037415606415208577,0.00308363733356292
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0018510632989588017,0.7767181591430896,0.00032220076569322483,0.00388198710389213
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0018025899142620823,0.38024048023071033,0.0002829073655554667,0.0037739137172726435
