,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.37554960823871886,0.37554960823871886,0.003345350775039063,0.003345350775039063
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3104868512520187,0.7678787790703465,0.004345796773352676,0.005058959137954194
0,sett_cutoff,,,,,,,,,0.0818423195796089,0.0818423195796089,0.0019341329665886434,0.0019341329665886434
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.00717195412083226,0.7833932186136822,0.000632817570633749,0.005237123165587
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.006836196477617703,0.8111010590054888,0.0007689790190793739,0.003779264346998252
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.006069533129790437,0.10665165920695507,0.000581193311799995,0.0028012382588179395
25,sett_exclude_features,sett_model,,,,,,,,0.005774665327153061,0.011385930247819098,0.0008599470411126606,0.001019006628600974
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005356731644394367,0.09036436118135344,0.0005420235707250529,0.002056542308504988
36,sett_model,sett_preprocess_income,,,,,,,,0.005242591316639648,0.009285002072940144,0.0007571321276620529,0.0007460403030064663
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.004987809223873031,0.13206620548060505,0.0006996128834548804,0.004288071801294529
2,sett_exclude_features,,,,,,,,,0.004734164121715713,0.004734164121715713,0.0004551200704537843,0.0004551200704537843
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004458652777797554,0.8143098080955267,0.0007520536934735478,0.00527192662259123
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.004406881687512738,0.023934280546973864,0.0007591147793876723,0.002125597985992223
12,sett_cutoff,sett_model,,,,,,,,0.004098072780221233,0.08681749315878046,0.00048069533835568885,0.0022113882467008927
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0038255451274029247,0.10169322488375297,0.00043888227471684284,0.0020533741879708227
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.003702847719825875,0.3955138106173599,0.0004875574439028803,0.003208792368170758
42,sett_preprocess_income,sett_scale,,,,,,,,0.00351329217081255,0.010040429730950786,0.0004981701196056338,0.0007504799030578336
38,sett_model,sett_stratify_split,,,,,,,,0.003367311843331839,0.379794020881001,0.00036690810148270466,0.0032976451401048306
37,sett_model,sett_scale,,,,,,,,0.0033672770129203698,0.0076062054146587565,0.00039265574210884963,0.0006032322932863575
7,sett_scale,,,,,,,,,0.0033618276027880638,0.0033618276027880638,0.0004036279650620977,0.0004036279650620977
6,sett_preprocess_income,,,,,,,,,0.003165309957350172,0.003165309957350172,0.00041127712841558447,0.00041127712841558447
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0031236613705676103,0.01096881855264663,0.0004190749860368759,0.000827712629746415
3,sett_exclude_subgroups,,,,,,,,,0.0031109930603633066,0.0031109930603633066,0.00034344680019386865,0.00034344680019386865
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0029294962138590986,0.7812011543354835,0.0003514748374842728,0.00493701371613658
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0025717247356155755,0.7778048643507254,0.0002824759468433599,0.004611726917874777
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0025498203154622964,0.8397018171288455,0.0003583338379012296,0.00379513446971155
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.002067339948711616,0.7758088573114378,0.0003309915421999179,0.004958677635185901
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0020519887824282995,0.3916850395824203,0.0003105720583552322,0.003083250387623253
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0019629842353539356,0.7971191528229286,0.0003826741629151213,0.004955785637230027
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.001957057154087962,0.8460946599751565,0.0004096355590636802,0.0063858407126989305
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0018708374495334896,0.38058575564560254,0.0004304770461731734,0.0032099284902836174
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0018624468482397877,0.41226468953949014,0.00036084354010433535,0.0034685068199734027
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0018234369924797073,0.39189619659700403,0.0003774801457264408,0.003125747343520124
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0018203304964315606,0.84778075270557,0.00048300776609414253,0.003631284561603203
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.001776567664076579,0.020944764849205363,0.0003807819769320861,0.0017608036333461384
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0016942634983048133,0.7935844856388026,0.00039188803661401966,0.004436040546708837
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0016710972491136688,0.38773023513781896,0.0002900066943719704,0.0031383385407312094
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0016065114409621868,0.3802671127400444,0.00017075797684151746,0.003323561357983888
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0016005025675192002,0.7951448739485182,0.0004405730466748664,0.005428651834086825
143,sett_cutoff,sett_encode_categorical,sett_model,sett_stratify_split,,,,,,0.0015619403356499266,0.7869004295361853,0.0003419132883069005,0.00537586002856823
30,sett_exclude_subgroups,sett_model,,,,,,,,0.0015476125063787673,0.005535706365692398,0.0003268799000888837,0.00043367916446972725
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0015081125676642676,0.3817918849280988,0.0003388251094113833,0.0032775263038901515
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0014680455868311647,0.09990645204986369,0.00027858437575569345,0.0022703664677721823
65,sett_cutoff,sett_model,sett_scale,,,,,,,0.0013237146469442908,0.09549851122282918,0.0002876263725786385,0.0021549880620274128
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0013196857132236812,0.8846735711091755,0.000309563194657921,0.003661767622373342
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0011755379939184935,0.8319782869561837,0.00021198586820428327,0.005139323357916709
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0011452337910542235,0.08609854643102643,0.00019597133543302922,0.0019175739351621015
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0011120838553832922,0.0876885675567079,0.0001501734915994798,0.0018812674409740176
427,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0010804792496697632,0.8609470092960678,0.0002495109737163763,0.00427365057603769
234,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0010226859784647636,0.4099860653144546,0.0002304160097200819,0.0031957799640146287
321,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0010141367112831514,0.8212411023809506,0.0002628119581577767,0.005069661699197229
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.000979629395685189,0.09604808517437824,0.00014528079905014543,0.0019055186016681887
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.0009656605478217451,0.786875956140276,0.0003455776429346136,0.005013917683131778
487,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,0.0009016104627513253,0.9077106299062382,0.00015299642937292455,0.004529231381119336
302,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0009003547573103936,0.8171407972402962,0.0002011148823408486,0.0036244618893592367
4,sett_model,,,,,,,,,0.0008771007989503241,0.0008771007989503241,0.00014014264726173136,0.00014014264726173136
97,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,,0.000869608358911939,0.016832649334055823,0.00016805257431112288,0.0012875455777153373
111,sett_exclude_subgroups,sett_model,sett_scale,,,,,,,0.0008687304561626509,0.013951816421790511,0.00021593817166882826,0.0010364421602313152
421,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,0.0008672146427407518,0.8649645927883817,0.00016103820269161906,0.003867455533408435
148,sett_cutoff,sett_encode_categorical,sett_preprocess_income,sett_stratify_split,,,,,,0.0008446931214399912,0.7838245681326159,0.00025343485300343105,0.00508158679414774
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.0008364460393458083,0.11304075785464385,0.00013975828716352443,0.0026647808618164466
222,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.0008201254032803335,0.03250627673145176,0.00024283334722123535,0.002585198097487643
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.0008182749842270299,0.0072910956473784,0.0001806615886176106,0.0006505328239734568
28,sett_exclude_features,sett_scale,,,,,,,,0.000814119835482159,0.008910111559985934,0.00019123922163361516,0.0007590209557200649
