,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.37610392223663136,0.37610392223663136,0.003558585354860694,0.003558585354860694
16,sett_cutoff,sett_stratify_split,,,,,,,,0.3105965528612489,0.7649764631972625,0.0027891520012847254,0.0036944176163100618
0,sett_cutoff,,,,,,,,,0.07827598809938223,0.07827598809938223,0.0020196284234804494,0.0020196284234804494
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.006670868595914332,0.7799412937814507,0.0006966918190871332,0.003831115839429962
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.0065788246863345105,0.8077623725792531,0.0010213010862497927,0.0042113331044361865
36,sett_model,sett_preprocess_income,,,,,,,,0.006481850010645733,0.010825160285786808,0.0006626027680421718,0.0005675632374768184
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.0062531461753143405,0.10508489585865827,0.00040578285939922164,0.0022193955581586385
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005537555458814762,0.08751471708134648,0.0005849549304611443,0.0022060885618188585
25,sett_exclude_features,sett_model,,,,,,,,0.005486441135581871,0.011386515035595273,0.0006548524974718773,0.000544517260227804
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.005316043439222695,0.13312843456357581,0.0004798630689361501,0.003270456859886239
2,sett_exclude_features,,,,,,,,,0.005257937148021809,0.005257937148021809,0.0003535090973718609,0.0003535090973718609
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.005201823053040166,0.02768787230596093,0.0005395020137261453,0.001655454428896543
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.004496052286016716,0.8134289830831283,0.0008739356429558489,0.003452762394600831
12,sett_cutoff,sett_model,,,,,,,,0.0041930458393601225,0.08311117069073395,0.0002010590798330099,0.001978676260270779
42,sett_preprocess_income,sett_scale,,,,,,,,0.00414986502188972,0.011670672046430727,0.0005647331078487637,0.0009070020448284491
7,sett_scale,,,,,,,,,0.003819633501391523,0.003819633501391523,0.0003142297874997813,0.0003142297874997813
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.003816159109278296,0.09994014305485754,0.0005005778772230927,0.0023798271840335516
6,sett_preprocess_income,,,,,,,,,0.003701173523149484,0.003701173523149484,0.00047678894782279076,0.00047678894782279076
37,sett_model,sett_scale,,,,,,,,0.0036913904438527134,0.008153160697235828,0.0002565442452505278,0.0005326162667304994
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.003682808650262693,0.3965365098620546,0.0006242801118002729,0.0033307592666032065
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0035841509670808897,0.7794957760760459,0.0005405536737476345,0.003298222025167881
38,sett_model,sett_stratify_split,,,,,,,,0.0034587793969222316,0.3802048383855452,0.0005601010374957294,0.0033702479920500517
3,sett_exclude_subgroups,,,,,,,,,0.0034385737397544395,0.0034385737397544395,0.0002783267035897583,0.0002783267035897583
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.003386693479729869,0.01208320436750612,0.0003203236400156096,0.0006813491266781666
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.002599585295286962,0.837792032674086,0.00036488076270860395,0.0039026513124188872
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0024423121636537887,0.7754822034309772,0.0002676297193228336,0.003900193416692578
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.002177929469402876,0.7735487069839545,0.0003180501524550481,0.0036142315460954144
323,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.002176426746555175,0.8483265831562891,0.00042265227055637204,0.0028372378824393515
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0021436738859048196,0.7948075593694378,0.00034586045628823845,0.003635254949389314
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.001954403367559549,0.4142295287573441,0.0002453095186533095,0.0034402499788652326
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0019205825361569631,0.39371734396379865,0.0002722377509538797,0.003752215209341055
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0019044845426430114,0.3832663439272962,0.0003778171617706644,0.003680783279997773
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0019006602840053355,0.02183986401262378,0.00026845065067618876,0.0008571689108844397
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0017807930087045294,0.7949161245205605,0.0004939089912994287,0.0029225139715170468
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0017410798698219536,0.8476532435658185,0.0004444468023086845,0.004839173445458874
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0017373279509172667,0.39382162279999594,0.0003715743760271089,0.003113524125182335
30,sett_exclude_subgroups,sett_model,,,,,,,,0.0017274214735388642,0.005808131965284896,0.00018933549884017894,0.00035764768847334696
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0017051502808611758,0.381247646257247,0.00019360423244322545,0.0034624878361193124
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0016964329297382732,0.38150152868951914,0.00027129331266249396,0.0035189174365049224
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0016595337336833156,0.388735517613383,0.00028643331727779594,0.0032733776955671564
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0015672640919084835,0.09632381944564218,0.0003101000292926494,0.002215558313381138
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0014375262397310897,0.7918272000799526,0.00021912095716590904,0.003658607208542564
143,sett_cutoff,sett_encode_categorical,sett_model,sett_stratify_split,,,,,,0.0014334392470984705,0.7831012456133408,0.0003486786899176301,0.003858546636041967
65,sett_cutoff,sett_model,sett_scale,,,,,,,0.0014088557952909016,0.09267081877222062,0.00020071942673975253,0.0019048456105118037
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0012505902966735171,0.08296515213581018,0.0002084989608093604,0.0019718297262994425
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.001238346074276538,0.8855287400896619,0.00020449074678779855,0.004741690588532486
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.001130910178610504,0.8320134243760908,0.00035234371210714427,0.003635039067901035
234,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0011197366334630234,0.41298647087204765,0.00032582187632144765,0.0033514142807755695
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.001027950606665436,0.09353873974962337,0.00013386579186976783,0.0021221848889783537
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.001022927393972437,0.008281134635118401,0.00020414024639469296,0.0005016512220559501
427,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0009988721170239591,0.859720007675913,0.00027765827373254674,0.006101684616435933
421,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,0.000994422051617462,0.8648866488896423,0.0003155067308435973,0.004064885270610814
222,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.000982445392050672,0.034868036765893576,0.00022136964203423685,0.0015135637897517509
97,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,,0.0009777647527134225,0.018740335076791893,0.00023311658703753613,0.0009545788016318533
111,sett_exclude_subgroups,sett_model,sett_scale,,,,,,,0.0009374291852278476,0.015279512489729415,9.028769182275564e-05,0.0007860266933047278
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.00093599269771077,0.11075509473188841,0.00016528402736486642,0.002326890060603261
321,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0009332590729418395,0.8197798149033259,0.00025839481814793813,0.003482676371510859
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0009010063793960725,0.08443493162680012,0.0001976198090943838,0.0022148939385548522
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.0008634960376559324,0.7828419588490073,0.0002686960139628585,0.0035912839635411403
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.0008518850345670848,0.7924807859600284,0.00021519760759017132,0.0036214497348839906
28,sett_exclude_features,sett_scale,,,,,,,,0.0008368050612083904,0.009914375710621723,0.00013856094910098512,0.0004601749167714654
